
=== GRAPH INFO ===
Nodi: 48543
Archi: 713365
Duration (sec): 180270620 = 5y in interval [1569020031, 1749290651]
Delta (sec): 2239 = 37min19s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 138454

size 2 → 50782 pattern
size 3 → 49989 pattern
size 4 → 11721 pattern
size 5 → 6465 pattern
size 6 → 4643 pattern
size 7 → 2998 pattern
size 8 → 2137 pattern
size 9 → 1598 pattern
size 10 → 1298 pattern
size 11 → 922 pattern
size 12 → 981 pattern
size 13 → 609 pattern
size 14 → 477 pattern
size 15 → 452 pattern
size 16 → 398 pattern
size 17 → 346 pattern
size 18 → 272 pattern
size 19 → 221 pattern
size 20 → 209 pattern
size 21 → 182 pattern
size 22 → 142 pattern
size 23 → 146 pattern
size 24 → 145 pattern
size 25 → 96 pattern
size 26 → 89 pattern
size 27 → 93 pattern
size 28 → 79 pattern
size 29 → 62 pattern
size 30 → 92 pattern
size 31 → 40 pattern
size 32 → 50 pattern
size 33 → 54 pattern
size 34 → 45 pattern
size 35 → 36 pattern
size 36 → 36 pattern
size 37 → 29 pattern
size 38 → 33 pattern
size 39 → 22 pattern
size 40 → 35 pattern
size 41 → 19 pattern
size 42 → 20 pattern
size 43 → 27 pattern
size 44 → 21 pattern
size 45 → 19 pattern
size 46 → 17 pattern
size 47 → 9 pattern
size 48 → 19 pattern
size 49 → 7 pattern
size 50 → 10 pattern
size 51 → 7 pattern
size 52 → 7 pattern
size 53 → 5 pattern
size 54 → 13 pattern
size 55 → 10 pattern
size 56 → 8 pattern
size 57 → 4 pattern
size 58 → 5 pattern
size 59 → 4 pattern
size 60 → 21 pattern
size 61 → 5 pattern
size 62 → 7 pattern
size 63 → 9 pattern
size 64 → 3 pattern
size 65 → 3 pattern
size 66 → 8 pattern
size 67 → 5 pattern
size 68 → 3 pattern
size 69 → 2 pattern
size 70 → 4 pattern
size 71 → 3 pattern
size 72 → 6 pattern
size 73 → 2 pattern
size 74 → 4 pattern
size 75 → 4 pattern
size 76 → 4 pattern
size 77 → 3 pattern
size 79 → 2 pattern
size 80 → 3 pattern
size 81 → 4 pattern
size 82 → 2 pattern
size 83 → 1 pattern
size 84 → 4 pattern
size 85 → 5 pattern
size 86 → 2 pattern
size 87 → 2 pattern
size 89 → 4 pattern
size 90 → 7 pattern
size 91 → 4 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 96 → 2 pattern
size 97 → 2 pattern
size 98 → 3 pattern
size 99 → 2 pattern
size 100 → 3 pattern
size 101 → 1 pattern
size 102 → 1 pattern
size 103 → 1 pattern
size 106 → 1 pattern
size 109 → 2 pattern
size 110 → 1 pattern
size 111 → 1 pattern
size 116 → 1 pattern
size 117 → 1 pattern
size 119 → 1 pattern
size 120 → 2 pattern
size 121 → 1 pattern
size 122 → 1 pattern
size 124 → 1 pattern
size 125 → 1 pattern
size 126 → 1 pattern
size 129 → 1 pattern
size 130 → 2 pattern
size 131 → 1 pattern
size 132 → 1 pattern
size 135 → 2 pattern
size 136 → 1 pattern
size 146 → 1 pattern
size 147 → 1 pattern
size 154 → 1 pattern
size 161 → 1 pattern
size 172 → 1 pattern
size 176 → 1 pattern
size 186 → 1 pattern
size 200 → 1 pattern
size 205 → 1 pattern
size 213 → 1 pattern
size 221 → 1 pattern
size 226 → 1 pattern
size 227 → 1 pattern
size 240 → 1 pattern
size 242 → 1 pattern
size 245 → 1 pattern
size 266 → 1 pattern
size 268 → 1 pattern
size 286 → 1 pattern
size 364 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 48848

size 2 → 42984 pattern
size 4 → 4941 pattern
size 6 → 756 pattern
size 8 → 135 pattern
size 10 → 24 pattern
size 12 → 6 pattern
size 14 → 2 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 58255

size 2 → 52025 pattern
size 4 → 5238 pattern
size 6 → 817 pattern
size 8 → 143 pattern
size 10 → 25 pattern
size 12 → 5 pattern
size 14 → 2 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 8471

size 2 → 8146 pattern
size 4 → 282 pattern
size 6 → 34 pattern
size 8 → 2 pattern
size 10 → 6 pattern
size 12 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 235392
Archi: 713365
Delta (sec): 2239


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 33722

size 2 → 31699 pattern
size 3 → 1820 pattern
size 4 → 174 pattern
size 5 → 19 pattern
size 6 → 6 pattern
size 7 → 2 pattern
size 8 → 2 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 33722

size 2 → 31699 pattern
size 3 → 1820 pattern
size 4 → 174 pattern
size 5 → 19 pattern
size 6 → 6 pattern
size 7 → 2 pattern
size 8 → 2 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 18175

size 2 → 18103 pattern
size 3 → 70 pattern
size 4 → 2 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 18175

size 2 → 18103 pattern
size 3 → 70 pattern
size 4 → 2 pattern
