
=== GRAPH INFO ===
Nodi: 29427
Archi: 259367
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 3907 = 1h5min7s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 21731

size 2 → 8246 pattern
size 3 → 2953 pattern
size 4 → 2743 pattern
size 5 → 1113 pattern
size 6 → 1025 pattern
size 7 → 557 pattern
size 8 → 650 pattern
size 9 → 500 pattern
size 10 → 441 pattern
size 11 → 227 pattern
size 12 → 427 pattern
size 13 → 165 pattern
size 14 → 188 pattern
size 15 → 170 pattern
size 16 → 203 pattern
size 17 → 82 pattern
size 18 → 125 pattern
size 19 → 96 pattern
size 20 → 216 pattern
size 21 → 76 pattern
size 22 → 70 pattern
size 23 → 61 pattern
size 24 → 106 pattern
size 25 → 132 pattern
size 26 → 54 pattern
size 27 → 36 pattern
size 28 → 42 pattern
size 29 → 36 pattern
size 30 → 68 pattern
size 31 → 37 pattern
size 32 → 35 pattern
size 33 → 16 pattern
size 34 → 30 pattern
size 35 → 39 pattern
size 36 → 39 pattern
size 37 → 32 pattern
size 38 → 26 pattern
size 39 → 16 pattern
size 40 → 31 pattern
size 41 → 16 pattern
size 42 → 23 pattern
size 43 → 13 pattern
size 44 → 20 pattern
size 45 → 16 pattern
size 46 → 5 pattern
size 47 → 12 pattern
size 48 → 12 pattern
size 49 → 11 pattern
size 50 → 25 pattern
size 51 → 11 pattern
size 52 → 15 pattern
size 53 → 15 pattern
size 54 → 11 pattern
size 55 → 9 pattern
size 56 → 10 pattern
size 57 → 8 pattern
size 58 → 6 pattern
size 59 → 3 pattern
size 60 → 19 pattern
size 61 → 8 pattern
size 62 → 3 pattern
size 63 → 1 pattern
size 64 → 7 pattern
size 65 → 5 pattern
size 66 → 4 pattern
size 67 → 5 pattern
size 68 → 5 pattern
size 69 → 2 pattern
size 70 → 5 pattern
size 71 → 3 pattern
size 72 → 7 pattern
size 73 → 2 pattern
size 74 → 2 pattern
size 75 → 2 pattern
size 76 → 4 pattern
size 77 → 1 pattern
size 78 → 1 pattern
size 79 → 1 pattern
size 80 → 11 pattern
size 81 → 7 pattern
size 82 → 4 pattern
size 83 → 2 pattern
size 84 → 7 pattern
size 85 → 3 pattern
size 86 → 2 pattern
size 87 → 1 pattern
size 88 → 3 pattern
size 89 → 4 pattern
size 90 → 3 pattern
size 91 → 4 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 95 → 1 pattern
size 96 → 2 pattern
size 97 → 4 pattern
size 98 → 1 pattern
size 99 → 4 pattern
size 100 → 9 pattern
size 101 → 4 pattern
size 102 → 2 pattern
size 103 → 2 pattern
size 104 → 1 pattern
size 105 → 3 pattern
size 106 → 4 pattern
size 107 → 1 pattern
size 108 → 3 pattern
size 109 → 2 pattern
size 110 → 2 pattern
size 112 → 1 pattern
size 113 → 1 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 119 → 3 pattern
size 120 → 5 pattern
size 123 → 1 pattern
size 127 → 2 pattern
size 130 → 1 pattern
size 133 → 1 pattern
size 134 → 1 pattern
size 135 → 1 pattern
