
=== GRAPH INFO ===
Nodi: 39429
Archi: 421050
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 1462 = 24min22s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 37224

size 2 → 15796 pattern
size 3 → 5986 pattern
size 4 → 4116 pattern
size 5 → 2092 pattern
size 6 → 1576 pattern
size 7 → 866 pattern
size 8 → 883 pattern
size 9 → 688 pattern
size 10 → 647 pattern
size 11 → 326 pattern
size 12 → 567 pattern
size 13 → 246 pattern
size 14 → 224 pattern
size 15 → 212 pattern
size 16 → 255 pattern
size 17 → 120 pattern
size 18 → 152 pattern
size 19 → 123 pattern
size 20 → 267 pattern
size 21 → 106 pattern
size 22 → 83 pattern
size 23 → 71 pattern
size 24 → 133 pattern
size 25 → 140 pattern
size 26 → 65 pattern
size 27 → 44 pattern
size 28 → 49 pattern
size 29 → 36 pattern
size 30 → 90 pattern
size 31 → 37 pattern
size 32 → 37 pattern
size 33 → 28 pattern
size 34 → 27 pattern
size 35 → 49 pattern
size 36 → 44 pattern
size 37 → 25 pattern
size 38 → 28 pattern
size 39 → 11 pattern
size 40 → 60 pattern
size 41 → 22 pattern
size 42 → 17 pattern
size 43 → 14 pattern
size 44 → 16 pattern
size 45 → 17 pattern
size 46 → 7 pattern
size 47 → 11 pattern
size 48 → 10 pattern
size 49 → 10 pattern
size 50 → 25 pattern
size 51 → 5 pattern
size 52 → 17 pattern
size 53 → 18 pattern
size 54 → 6 pattern
size 55 → 9 pattern
size 56 → 13 pattern
size 57 → 9 pattern
size 58 → 8 pattern
size 59 → 8 pattern
size 60 → 50 pattern
size 61 → 9 pattern
size 62 → 7 pattern
size 63 → 2 pattern
size 64 → 6 pattern
size 65 → 6 pattern
size 66 → 8 pattern
size 67 → 6 pattern
size 68 → 3 pattern
size 69 → 4 pattern
size 70 → 9 pattern
size 71 → 5 pattern
size 72 → 7 pattern
size 74 → 1 pattern
size 75 → 6 pattern
size 76 → 3 pattern
size 77 → 3 pattern
size 79 → 3 pattern
size 80 → 30 pattern
size 81 → 6 pattern
size 82 → 2 pattern
size 83 → 3 pattern
size 84 → 5 pattern
size 85 → 3 pattern
size 86 → 1 pattern
size 87 → 4 pattern
size 88 → 3 pattern
size 89 → 1 pattern
size 90 → 13 pattern
size 91 → 2 pattern
size 92 → 5 pattern
size 93 → 2 pattern
size 95 → 1 pattern
size 96 → 2 pattern
size 98 → 1 pattern
size 99 → 3 pattern
size 100 → 20 pattern
size 101 → 5 pattern
size 102 → 2 pattern
size 103 → 1 pattern
size 105 → 5 pattern
size 106 → 2 pattern
size 107 → 1 pattern
size 108 → 1 pattern
size 109 → 3 pattern
size 111 → 2 pattern
size 113 → 1 pattern
size 114 → 1 pattern
size 115 → 4 pattern
size 116 → 1 pattern
size 118 → 1 pattern
size 119 → 4 pattern
size 120 → 22 pattern
size 121 → 1 pattern
size 122 → 1 pattern
size 124 → 2 pattern
size 125 → 2 pattern
size 127 → 1 pattern
size 128 → 2 pattern
size 130 → 1 pattern
size 134 → 1 pattern
size 135 → 8 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 139 → 1 pattern
size 140 → 8 pattern
