
=== GRAPH INFO ===
Nodi: 185648
Archi: 590122
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 84 = 1min24s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 45575

size 2 → 26516 pattern
size 3 → 7308 pattern
size 4 → 3359 pattern
size 5 → 2266 pattern
size 6 → 1153 pattern
size 7 → 716 pattern
size 8 → 466 pattern
size 9 → 1257 pattern
size 10 → 388 pattern
size 11 → 193 pattern
size 12 → 156 pattern
size 13 → 107 pattern
size 14 → 123 pattern
size 15 → 87 pattern
size 16 → 106 pattern
size 17 → 53 pattern
size 18 → 139 pattern
size 19 → 64 pattern
size 20 → 247 pattern
size 21 → 30 pattern
size 22 → 29 pattern
size 23 → 22 pattern
size 24 → 22 pattern
size 25 → 29 pattern
size 26 → 24 pattern
size 27 → 44 pattern
size 28 → 16 pattern
size 29 → 14 pattern
size 30 → 35 pattern
size 31 → 12 pattern
size 32 → 12 pattern
size 33 → 9 pattern
size 34 → 7 pattern
size 35 → 18 pattern
size 36 → 115 pattern
size 37 → 22 pattern
size 38 → 14 pattern
size 39 → 4 pattern
size 40 → 62 pattern
size 41 → 7 pattern
size 42 → 5 pattern
size 43 → 5 pattern
size 44 → 8 pattern
size 45 → 13 pattern
size 46 → 5 pattern
size 47 → 8 pattern
size 48 → 6 pattern
size 49 → 3 pattern
size 50 → 41 pattern
size 51 → 6 pattern
size 52 → 2 pattern
size 53 → 5 pattern
size 54 → 8 pattern
size 55 → 5 pattern
size 56 → 5 pattern
size 57 → 2 pattern
size 58 → 2 pattern
size 59 → 4 pattern
size 60 → 6 pattern
size 61 → 2 pattern
size 63 → 7 pattern
size 65 → 2 pattern
size 66 → 6 pattern
size 67 → 2 pattern
size 69 → 1 pattern
size 70 → 1 pattern
size 72 → 12 pattern
size 73 → 3 pattern
size 74 → 6 pattern
size 75 → 1 pattern
size 77 → 1 pattern
size 78 → 2 pattern
size 79 → 1 pattern
size 80 → 3 pattern
size 81 → 1 pattern
size 82 → 1 pattern
size 83 → 1 pattern
size 84 → 3 pattern
size 85 → 1 pattern
size 87 → 1 pattern
size 89 → 2 pattern
size 90 → 2 pattern
size 91 → 1 pattern
size 96 → 2 pattern
size 99 → 1 pattern
size 100 → 5 pattern
size 101 → 1 pattern
size 103 → 1 pattern
size 104 → 1 pattern
size 105 → 1 pattern
size 111 → 1 pattern
size 113 → 1 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 117 → 1 pattern
size 122 → 1 pattern
size 125 → 1 pattern
size 131 → 1 pattern
size 132 → 1 pattern
size 135 → 1 pattern
size 144 → 32 pattern
size 145 → 2 pattern
size 146 → 1 pattern
size 147 → 1 pattern
size 149 → 1 pattern
size 150 → 1 pattern
size 151 → 2 pattern
size 152 → 1 pattern
size 155 → 1 pattern
size 157 → 1 pattern
size 165 → 1 pattern
size 170 → 1 pattern
size 176 → 2 pattern
size 179 → 1 pattern
size 180 → 1 pattern
size 182 → 3 pattern
size 184 → 2 pattern
size 189 → 1 pattern
size 200 → 1 pattern
size 201 → 1 pattern
size 210 → 1 pattern
size 214 → 1 pattern
size 236 → 1 pattern
size 247 → 2 pattern
