=== non-contiguous nft : chains ===
Found 186426 chain interruption in 32223 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0.0:	1 1 1 2 2 1 1 1 2 1 1 2 1 
1.0:	1 1 1 2 2 1 1 1 2 1 3 1 
1.0000061885287646e+77:	2 
1.0000102690098073e+77:	3 
1.0000244363696052e+77:	1 
1.0000808687848583e+77:	1 
1.0000989630945717e+77:	3 
1.0001229728570278e+77:	1 
1.000126611066323e+77:	2 
1.0001824783134169e+77:	1 
1.0002113096829849e+77:	3 
1.0003390979784256e+77:	2 
1.0003967081352243e+77:	1 
1.0005481841713928e+77:	1 
1.0006461610139e+77:	1 
1.0006846992366846e+77:	2 
1.0008627397850717e+77:	1 
1.0009524370728405e+77:	1 
1.0010584090012655e+77:	2 
1.0010828942508759e+77:	1 
1.0011312470865751e+77:	1 
1.0011324026266448e+77:	1 
1.0011849093036781e+77:	8 
1.0011889817685214e+77:	1 
1.0012378969900933e+77:	1 
1.0012821174111658e+76:	2 
1.0013742542483988e+77:	3 
1.0014352691664022e+77:	1 
1.0014364489924027e+77:	2 
1.001479269061603e+75:	1 
1.0015421814700151e+77:	1 
1.0015778729076497e+75:	1 
1.0019279179246349e+76:	1 
1.0019924933616888e+77:	2 
1.0020817037398635e+77:	1 
1.002159927580159e+77:	2 
1.0021829334066896e+77:	1 
1.002544846967343e+77:	1 
1.0026010845474751e+77:	3 
1.0029230227309696e+77:	1 
1.0030357954265348e+77:	1 
1.0031094291934536e+77:	2 
1.0032019478201629e+77:	1 
1.0032284867233872e+77:	2 
1.0032447783797487e+77:	1 
1.0033060438032419e+76:	1 
1.003635890244146e+77:	1 
1.003668400718397e+77:	2 
1.0036733318698906e+76:	1 
1.0037028146429973e+77:	1 
1.0038123237379246e+77:	1 
1.0038302950435793e+77:	1 
1.0038960981764489e+76:	1 
1.0040944191466913e+76:	2 
1.0041026177240641e+77:	8 
1.0041664608741842e+77:	4 
1.0041920439924073e+77:	1 
1.0042077038041575e+77:	2 
1.0043603810743027e+77:	1 
1.0043702250955847e+77:	1 
1.0044372125031684e+77:	1 
1.0044426245107189e+77:	1 
1.0044713832057162e+77:	2 
1.0045724974617922e+77:	1 
1.0047524831793915e+77:	1 
1.0049314214309845e+77:	1 
1.0049704710292019e+77:	2 
1.005002866418952e+77:	1 
1.005026826427751e+77:	4 
1.0050462826916129e+77:	1 
1.0050867209514317e+77:	1 
1.00521196714207e+77:	1 
1.0052391391453103e+77:	1 
1.0052513886990956e+77:	1 
1.0054603076816957e+77:	3 
1.0055423887750274e+77:	1 
1.0055693581141008e+77:	1 
1.0055780060126829e+77:	1 
1.0058130305673142e+77:	1 
1.0059265624642153e+77:	1 
1.006003676827828e+77:	1 
1.0060491614199723e+77:	2 
1.006096337303582e+77:	1 
1.0061289769977946e+77:	1 
1.0062082537196346e+76:	3 
1.0062530546180007e+77:	1 
1.0063138526126966e+76:	1 
1.0063290916786962e+77:	2 
1.0063303814035346e+77:	1 
1.0063339384997233e+77:	1 
1.0064430461782302e+76:	4 
1.0064537244444055e+77:	2 
1.00645893659708e+77:	1 
1.0066100730043205e+77:	1 
1.0066820170490512e+77:	2 
1.0067164116384763e+77:	1 
1.006787061295313e+77:	1 
1.0068459874499102e+77:	1 
1.0069627470648967e+77:	1 
1.0069661168041885e+77:	1 
1.0070024416375734e+77:	1 
1.0070102071896002e+77:	1 
