
=== GRAPH INFO ===
Nodi: 185648
Archi: 590122
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 1868 = 31min8s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 52189

size 2 → 26472 pattern
size 3 → 8673 pattern
size 4 → 4806 pattern
size 5 → 3462 pattern
size 6 → 2125 pattern
size 7 → 1084 pattern
size 8 → 740 pattern
size 9 → 1334 pattern
size 10 → 550 pattern
size 11 → 353 pattern
size 12 → 328 pattern
size 13 → 194 pattern
size 14 → 174 pattern
size 15 → 153 pattern
size 16 → 122 pattern
size 17 → 92 pattern
size 18 → 146 pattern
size 19 → 93 pattern
size 20 → 115 pattern
size 21 → 55 pattern
size 22 → 39 pattern
size 23 → 40 pattern
size 24 → 28 pattern
size 25 → 37 pattern
size 26 → 34 pattern
size 27 → 57 pattern
size 28 → 27 pattern
size 29 → 20 pattern
size 30 → 48 pattern
size 31 → 24 pattern
size 32 → 34 pattern
size 33 → 20 pattern
size 34 → 14 pattern
size 35 → 21 pattern
size 36 → 152 pattern
size 37 → 36 pattern
size 38 → 15 pattern
size 39 → 11 pattern
size 40 → 14 pattern
size 41 → 8 pattern
size 42 → 5 pattern
size 43 → 15 pattern
size 44 → 9 pattern
size 45 → 17 pattern
size 46 → 7 pattern
size 47 → 6 pattern
size 48 → 11 pattern
size 49 → 7 pattern
size 50 → 10 pattern
size 51 → 11 pattern
size 52 → 8 pattern
size 53 → 4 pattern
size 54 → 7 pattern
size 55 → 7 pattern
size 56 → 10 pattern
size 57 → 2 pattern
size 58 → 3 pattern
size 59 → 9 pattern
size 60 → 6 pattern
size 61 → 2 pattern
size 62 → 2 pattern
size 63 → 4 pattern
size 64 → 4 pattern
size 65 → 2 pattern
size 66 → 6 pattern
size 67 → 1 pattern
size 68 → 4 pattern
size 70 → 2 pattern
size 71 → 5 pattern
size 72 → 8 pattern
size 73 → 4 pattern
size 74 → 6 pattern
size 75 → 6 pattern
size 76 → 2 pattern
size 77 → 1 pattern
size 78 → 2 pattern
size 79 → 1 pattern
size 80 → 4 pattern
size 81 → 3 pattern
size 82 → 2 pattern
size 83 → 4 pattern
size 84 → 2 pattern
size 85 → 1 pattern
size 86 → 1 pattern
size 87 → 2 pattern
size 88 → 2 pattern
size 89 → 3 pattern
size 90 → 2 pattern
size 91 → 4 pattern
size 93 → 2 pattern
size 94 → 1 pattern
size 95 → 1 pattern
size 96 → 3 pattern
size 98 → 2 pattern
size 99 → 3 pattern
size 100 → 4 pattern
size 101 → 5 pattern
size 102 → 2 pattern
size 103 → 2 pattern
size 104 → 2 pattern
size 106 → 1 pattern
size 107 → 4 pattern
size 108 → 1 pattern
size 109 → 1 pattern
size 111 → 4 pattern
size 114 → 1 pattern
size 115 → 2 pattern
size 116 → 2 pattern
size 117 → 1 pattern
size 120 → 1 pattern
size 121 → 3 pattern
size 122 → 1 pattern
size 123 → 1 pattern
size 131 → 2 pattern
size 132 → 4 pattern
size 133 → 1 pattern
size 134 → 2 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 138 → 2 pattern
size 140 → 1 pattern
size 141 → 3 pattern
size 142 → 2 pattern
size 143 → 3 pattern
