
=== GRAPH INFO ===
Nodi: 29490
Archi: 259733
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 3970 = 1h6min10s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 21743

size 2 → 8261 pattern
size 3 → 2958 pattern
size 4 → 2742 pattern
size 5 → 1105 pattern
size 6 → 1023 pattern
size 7 → 554 pattern
size 8 → 657 pattern
size 9 → 497 pattern
size 10 → 448 pattern
size 11 → 216 pattern
size 12 → 433 pattern
size 13 → 163 pattern
size 14 → 184 pattern
size 15 → 172 pattern
size 16 → 204 pattern
size 17 → 83 pattern
size 18 → 127 pattern
size 19 → 95 pattern
size 20 → 214 pattern
size 21 → 76 pattern
size 22 → 75 pattern
size 23 → 59 pattern
size 24 → 106 pattern
size 25 → 133 pattern
size 26 → 52 pattern
size 27 → 36 pattern
size 28 → 44 pattern
size 29 → 34 pattern
size 30 → 70 pattern
size 31 → 38 pattern
size 32 → 36 pattern
size 33 → 17 pattern
size 34 → 30 pattern
size 35 → 36 pattern
size 36 → 40 pattern
size 37 → 30 pattern
size 38 → 27 pattern
size 39 → 18 pattern
size 40 → 29 pattern
size 41 → 15 pattern
size 42 → 21 pattern
size 43 → 15 pattern
size 44 → 19 pattern
size 45 → 16 pattern
size 46 → 6 pattern
size 47 → 10 pattern
size 48 → 10 pattern
size 49 → 13 pattern
size 50 → 25 pattern
size 51 → 8 pattern
size 52 → 18 pattern
size 53 → 15 pattern
size 54 → 12 pattern
size 55 → 8 pattern
size 56 → 9 pattern
size 57 → 8 pattern
size 58 → 5 pattern
size 59 → 3 pattern
size 60 → 18 pattern
size 61 → 9 pattern
size 62 → 3 pattern
size 63 → 1 pattern
size 64 → 7 pattern
size 65 → 5 pattern
size 66 → 4 pattern
size 67 → 6 pattern
size 68 → 4 pattern
size 69 → 2 pattern
size 70 → 6 pattern
size 71 → 3 pattern
size 72 → 8 pattern
size 73 → 2 pattern
size 74 → 3 pattern
size 75 → 2 pattern
size 76 → 5 pattern
size 77 → 1 pattern
size 78 → 1 pattern
size 79 → 1 pattern
size 80 → 11 pattern
size 81 → 7 pattern
size 82 → 3 pattern
size 83 → 2 pattern
size 84 → 6 pattern
size 85 → 3 pattern
size 86 → 2 pattern
size 87 → 1 pattern
size 88 → 3 pattern
size 89 → 4 pattern
size 90 → 2 pattern
size 91 → 5 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 95 → 2 pattern
size 96 → 2 pattern
size 97 → 4 pattern
size 98 → 1 pattern
size 99 → 4 pattern
size 100 → 9 pattern
size 101 → 4 pattern
size 102 → 2 pattern
size 103 → 2 pattern
size 104 → 1 pattern
size 105 → 4 pattern
size 106 → 4 pattern
size 107 → 2 pattern
size 108 → 3 pattern
size 109 → 2 pattern
size 110 → 2 pattern
size 113 → 1 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 119 → 3 pattern
size 120 → 4 pattern
size 121 → 1 pattern
size 122 → 1 pattern
size 123 → 1 pattern
size 127 → 1 pattern
size 130 → 1 pattern
size 133 → 2 pattern
size 135 → 2 pattern
size 136 → 3 pattern
