
=== GRAPH INFO ===
Nodi: 29490
Archi: 259733
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 176550 = 2d1h2min30s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 18869

size 2 → 6733 pattern
size 3 → 2692 pattern
size 4 → 2220 pattern
size 5 → 1073 pattern
size 6 → 878 pattern
size 7 → 506 pattern
size 8 → 544 pattern
size 9 → 391 pattern
size 10 → 413 pattern
size 11 → 245 pattern
size 12 → 326 pattern
size 13 → 184 pattern
size 14 → 179 pattern
size 15 → 155 pattern
size 16 → 184 pattern
size 17 → 98 pattern
size 18 → 132 pattern
size 19 → 77 pattern
size 20 → 182 pattern
size 21 → 89 pattern
size 22 → 83 pattern
size 23 → 58 pattern
size 24 → 91 pattern
size 25 → 124 pattern
size 26 → 55 pattern
size 27 → 35 pattern
size 28 → 43 pattern
size 29 → 46 pattern
size 30 → 61 pattern
size 31 → 29 pattern
size 32 → 34 pattern
size 33 → 20 pattern
size 34 → 38 pattern
size 35 → 28 pattern
size 36 → 32 pattern
size 37 → 32 pattern
size 38 → 21 pattern
size 39 → 23 pattern
size 40 → 25 pattern
size 41 → 16 pattern
size 42 → 20 pattern
size 43 → 14 pattern
size 44 → 17 pattern
size 45 → 14 pattern
size 46 → 19 pattern
size 47 → 17 pattern
size 48 → 13 pattern
size 49 → 10 pattern
size 50 → 21 pattern
size 51 → 10 pattern
size 52 → 17 pattern
size 53 → 16 pattern
size 54 → 15 pattern
size 55 → 8 pattern
size 56 → 8 pattern
size 57 → 9 pattern
size 58 → 8 pattern
size 59 → 9 pattern
size 60 → 15 pattern
size 61 → 9 pattern
size 62 → 8 pattern
size 63 → 4 pattern
size 64 → 9 pattern
size 65 → 4 pattern
size 66 → 8 pattern
size 67 → 2 pattern
size 68 → 6 pattern
size 69 → 4 pattern
size 70 → 9 pattern
size 71 → 10 pattern
size 72 → 2 pattern
size 73 → 5 pattern
size 74 → 11 pattern
size 75 → 3 pattern
size 76 → 1 pattern
size 77 → 8 pattern
size 78 → 4 pattern
size 79 → 2 pattern
size 80 → 6 pattern
size 81 → 8 pattern
size 82 → 1 pattern
size 83 → 5 pattern
size 84 → 3 pattern
size 85 → 7 pattern
size 86 → 2 pattern
size 87 → 1 pattern
size 88 → 6 pattern
size 89 → 8 pattern
size 90 → 1 pattern
size 91 → 2 pattern
size 92 → 6 pattern
size 93 → 2 pattern
size 94 → 4 pattern
size 95 → 4 pattern
size 96 → 3 pattern
size 97 → 5 pattern
size 98 → 1 pattern
size 99 → 5 pattern
size 100 → 7 pattern
size 101 → 6 pattern
size 102 → 4 pattern
size 103 → 3 pattern
size 104 → 2 pattern
size 105 → 3 pattern
size 106 → 5 pattern
size 107 → 4 pattern
size 108 → 3 pattern
size 109 → 4 pattern
size 110 → 2 pattern
size 111 → 1 pattern
size 112 → 3 pattern
size 113 → 1 pattern
size 114 → 3 pattern
size 115 → 2 pattern
size 118 → 1 pattern
size 119 → 6 pattern
size 120 → 1 pattern
size 121 → 3 pattern
size 122 → 2 pattern
size 123 → 1 pattern
size 125 → 1 pattern
size 126 → 1 pattern
size 127 → 1 pattern
