
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 358020 = 4d3h27min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 57141

size 2 → 29202 pattern
size 3 → 9579 pattern
size 4 → 5166 pattern
size 5 → 3671 pattern
size 6 → 2402 pattern
size 7 → 1255 pattern
size 8 → 860 pattern
size 9 → 1221 pattern
size 10 → 612 pattern
size 11 → 451 pattern
size 12 → 346 pattern
size 13 → 225 pattern
size 14 → 209 pattern
size 15 → 180 pattern
size 16 → 160 pattern
size 17 → 98 pattern
size 18 → 157 pattern
size 19 → 83 pattern
size 20 → 85 pattern
size 21 → 60 pattern
size 22 → 44 pattern
size 23 → 49 pattern
size 24 → 34 pattern
size 25 → 37 pattern
size 26 → 39 pattern
size 27 → 44 pattern
size 28 → 38 pattern
size 29 → 35 pattern
size 30 → 28 pattern
size 31 → 24 pattern
size 32 → 26 pattern
size 33 → 24 pattern
size 34 → 16 pattern
size 35 → 22 pattern
size 36 → 123 pattern
size 37 → 28 pattern
size 38 → 10 pattern
size 39 → 18 pattern
size 40 → 20 pattern
size 41 → 13 pattern
size 42 → 13 pattern
size 43 → 8 pattern
size 44 → 16 pattern
size 45 → 15 pattern
size 46 → 6 pattern
size 47 → 9 pattern
size 48 → 8 pattern
size 49 → 2 pattern
size 50 → 9 pattern
size 51 → 8 pattern
size 52 → 6 pattern
size 53 → 6 pattern
size 54 → 7 pattern
size 55 → 5 pattern
size 56 → 5 pattern
size 57 → 3 pattern
size 58 → 2 pattern
size 59 → 4 pattern
size 60 → 7 pattern
size 61 → 3 pattern
size 62 → 8 pattern
size 63 → 9 pattern
size 64 → 8 pattern
size 65 → 9 pattern
size 66 → 5 pattern
size 67 → 1 pattern
size 68 → 2 pattern
size 69 → 2 pattern
size 70 → 2 pattern
size 71 → 2 pattern
size 72 → 10 pattern
size 73 → 2 pattern
size 74 → 4 pattern
size 75 → 1 pattern
size 76 → 3 pattern
size 77 → 4 pattern
size 78 → 4 pattern
size 79 → 1 pattern
size 80 → 2 pattern
size 81 → 5 pattern
size 82 → 4 pattern
size 83 → 1 pattern
size 85 → 2 pattern
size 86 → 1 pattern
size 88 → 2 pattern
size 89 → 4 pattern
size 90 → 6 pattern
size 91 → 3 pattern
size 92 → 1 pattern
size 93 → 1 pattern
size 94 → 1 pattern
size 95 → 1 pattern
size 96 → 2 pattern
size 97 → 1 pattern
size 98 → 1 pattern
size 99 → 1 pattern
size 100 → 2 pattern
size 101 → 1 pattern
size 103 → 5 pattern
size 104 → 1 pattern
size 105 → 1 pattern
size 107 → 1 pattern
size 108 → 1 pattern
size 111 → 3 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 117 → 1 pattern
size 120 → 1 pattern
size 121 → 1 pattern
size 122 → 1 pattern
size 123 → 2 pattern
size 124 → 1 pattern
size 125 → 2 pattern
size 128 → 2 pattern
size 132 → 1 pattern
size 134 → 1 pattern
size 135 → 1 pattern
size 136 → 2 pattern
size 138 → 1 pattern
size 139 → 1 pattern
size 141 → 4 pattern
size 142 → 2 pattern
