
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 152482687 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 62132

size 2 → 26549 pattern
size 3 → 10894 pattern
size 4 → 6119 pattern
size 5 → 4083 pattern
size 6 → 3143 pattern
size 7 → 1937 pattern
size 8 → 1321 pattern
size 9 → 1622 pattern
size 10 → 1043 pattern
size 11 → 714 pattern
size 12 → 550 pattern
size 13 → 447 pattern
size 14 → 412 pattern
size 15 → 314 pattern
size 16 → 270 pattern
size 17 → 210 pattern
size 18 → 248 pattern
size 19 → 188 pattern
size 20 → 165 pattern
size 21 → 127 pattern
size 22 → 109 pattern
size 23 → 89 pattern
size 24 → 82 pattern
size 25 → 78 pattern
size 26 → 67 pattern
size 27 → 90 pattern
size 28 → 66 pattern
size 29 → 63 pattern
size 30 → 60 pattern
size 31 → 53 pattern
size 32 → 50 pattern
size 33 → 43 pattern
size 34 → 35 pattern
size 35 → 30 pattern
size 36 → 118 pattern
size 37 → 52 pattern
size 38 → 20 pattern
size 39 → 27 pattern
size 40 → 28 pattern
size 41 → 17 pattern
size 42 → 24 pattern
size 43 → 24 pattern
size 44 → 24 pattern
size 45 → 30 pattern
size 46 → 12 pattern
size 47 → 13 pattern
size 48 → 19 pattern
size 49 → 12 pattern
size 50 → 8 pattern
size 51 → 19 pattern
size 52 → 7 pattern
size 53 → 8 pattern
size 54 → 9 pattern
size 55 → 15 pattern
size 56 → 11 pattern
size 57 → 6 pattern
size 58 → 9 pattern
size 59 → 5 pattern
size 60 → 13 pattern
size 61 → 3 pattern
size 62 → 11 pattern
size 63 → 6 pattern
size 64 → 10 pattern
size 65 → 9 pattern
size 66 → 10 pattern
size 67 → 7 pattern
size 68 → 7 pattern
size 69 → 4 pattern
size 70 → 2 pattern
size 71 → 4 pattern
size 72 → 13 pattern
size 73 → 7 pattern
size 74 → 5 pattern
size 75 → 4 pattern
size 76 → 3 pattern
size 77 → 4 pattern
size 78 → 4 pattern
size 80 → 1 pattern
size 81 → 6 pattern
size 82 → 3 pattern
size 83 → 4 pattern
size 84 → 1 pattern
size 85 → 3 pattern
size 86 → 4 pattern
size 87 → 4 pattern
size 88 → 3 pattern
size 89 → 4 pattern
size 90 → 2 pattern
size 91 → 2 pattern
size 92 → 3 pattern
size 93 → 1 pattern
size 94 → 4 pattern
size 95 → 2 pattern
size 97 → 3 pattern
size 98 → 2 pattern
size 99 → 2 pattern
size 100 → 4 pattern
size 101 → 2 pattern
size 103 → 4 pattern
size 104 → 2 pattern
size 105 → 1 pattern
size 106 → 3 pattern
size 107 → 2 pattern
size 108 → 1 pattern
size 110 → 1 pattern
size 111 → 2 pattern
size 112 → 1 pattern
size 113 → 2 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 117 → 1 pattern
size 120 → 1 pattern
size 121 → 1 pattern
size 123 → 1 pattern
size 128 → 1 pattern
size 131 → 3 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 141 → 1 pattern
size 142 → 2 pattern
size 143 → 2 pattern
size 144 → 35 pattern
size 145 → 1 pattern
