
=== GRAPH INFO ===
Nodi: 48520
Archi: 523524
Duration (sec): 180268021 = 5y in interval [1569022630, 1749290651]
Delta (sec): 124673360 = 3y11m2w3d23h29min20s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 106013

size 2 → 23898 pattern
size 3 → 46065 pattern
size 4 → 12879 pattern
size 5 → 6352 pattern
size 6 → 4478 pattern
size 7 → 2524 pattern
size 8 → 1754 pattern
size 9 → 1323 pattern
size 10 → 1529 pattern
size 11 → 897 pattern
size 12 → 712 pattern
size 13 → 480 pattern
size 14 → 377 pattern
size 15 → 299 pattern
size 16 → 301 pattern
size 17 → 235 pattern
size 18 → 184 pattern
size 19 → 174 pattern
size 20 → 182 pattern
size 21 → 122 pattern
size 22 → 122 pattern
size 23 → 105 pattern
size 24 → 88 pattern
size 25 → 69 pattern
size 26 → 55 pattern
size 27 → 70 pattern
size 28 → 48 pattern
size 29 → 37 pattern
size 30 → 45 pattern
size 31 → 36 pattern
size 32 → 34 pattern
size 33 → 45 pattern
size 34 → 28 pattern
size 35 → 33 pattern
size 36 → 17 pattern
size 37 → 14 pattern
size 38 → 26 pattern
size 39 → 17 pattern
size 40 → 14 pattern
size 41 → 15 pattern
size 42 → 17 pattern
size 43 → 22 pattern
size 44 → 18 pattern
size 45 → 12 pattern
size 46 → 17 pattern
size 47 → 12 pattern
size 48 → 12 pattern
size 49 → 3 pattern
size 50 → 8 pattern
size 51 → 7 pattern
size 52 → 3 pattern
size 53 → 4 pattern
size 54 → 7 pattern
size 55 → 6 pattern
size 56 → 8 pattern
size 57 → 4 pattern
size 58 → 4 pattern
size 59 → 4 pattern
size 60 → 13 pattern
size 61 → 1 pattern
size 62 → 2 pattern
size 63 → 4 pattern
size 64 → 5 pattern
size 65 → 5 pattern
size 66 → 6 pattern
size 67 → 5 pattern
size 68 → 1 pattern
size 69 → 2 pattern
size 70 → 3 pattern
size 71 → 4 pattern
size 72 → 4 pattern
size 73 → 2 pattern
size 74 → 4 pattern
size 75 → 2 pattern
size 76 → 1 pattern
size 78 → 1 pattern
size 79 → 3 pattern
size 81 → 5 pattern
size 82 → 2 pattern
size 83 → 2 pattern
size 84 → 1 pattern
size 85 → 1 pattern
size 87 → 2 pattern
size 88 → 1 pattern
size 89 → 4 pattern
size 90 → 1 pattern
size 91 → 6 pattern
size 97 → 3 pattern
size 98 → 3 pattern
size 99 → 1 pattern
size 100 → 3 pattern
size 101 → 1 pattern
size 103 → 1 pattern
size 106 → 2 pattern
size 107 → 2 pattern
size 109 → 1 pattern
size 110 → 2 pattern
size 111 → 1 pattern
size 112 → 1 pattern
size 114 → 1 pattern
size 116 → 1 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 121 → 3 pattern
size 123 → 1 pattern
size 126 → 1 pattern
size 132 → 1 pattern
size 134 → 1 pattern
size 140 → 1 pattern
size 141 → 1 pattern
size 144 → 1 pattern
size 160 → 1 pattern
size 161 → 1 pattern
size 166 → 1 pattern
size 173 → 2 pattern
size 175 → 1 pattern
size 176 → 1 pattern
size 179 → 1 pattern
size 188 → 2 pattern
size 189 → 1 pattern
size 195 → 1 pattern
size 196 → 2 pattern
