=== non-contiguous nft : chains ===
Found 10633 chain interruption in 18256 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 2 2 1 1 1 2 1 1 2 1 
1:	1 1 2 2 1 1 1 2 1 3 1 
10:	3 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 1 
100:	1 1 1 2 1 1 1 1 
1000:	1 
10000:	2 
10001:	3 
10003:	2 
10005:	1 
10007:	1 
10008:	1 
1001:	2 3 2 1 
10012:	1 
10013:	2 
10020:	4 
10021:	2 
10022:	2 
10023:	2 
10024:	1 
10025:	1 
10028:	2 
10029:	1 
1003:	2 
10031:	2 
10032:	3 
10036:	4 
10038:	4 
1004:	1 1 1 
10042:	4 
10043:	2 
10044:	1 
10045:	1 
10046:	1 
10049:	2 
1005:	1 
10050:	3 
10051:	1 
10052:	5 
10054:	1 
10055:	3 
10056:	3 
10059:	3 
1006:	1 
10060:	2 
10062:	1 
10063:	2 
10066:	3 
10067:	3 
10069:	1 
1007:	1 2 1 1 
10070:	1 
10076:	2 
10077:	4 
1008:	1 2 
10083:	2 
10084:	1 
10087:	2 
10088:	2 
10089:	4 
1009:	5 
10090:	2 
10091:	2 
10092:	2 
10093:	1 
10095:	1 
10097:	3 
101:	1 2 2 1 1 1 
1010:	2 
10100:	1 
10105:	2 
10106:	2 
10107:	1 
10108:	2 
10109:	1 
1011:	1 3 
10110:	2 
10111:	4 
10112:	1 
10115:	2 
10116:	2 
10117:	3 
10118:	2 
10119:	1 
1012:	1 
10120:	1 
10121:	6 
10122:	1 
10126:	3 
10127:	2 
10128:	1 
1013:	1 1 1 2 
10130:	1 
10131:	2 
10133:	3 
10134:	1 
10135:	1 
10137:	4 
10138:	2 
10139:	2 
1014:	1 
10140:	1 
10144:	2 
10147:	2 
1015:	3 2 2 1 1 
10152:	1 
10153:	1 
10155:	1 
10156:	2 
10159:	1 
10161:	9 
10162:	3 
10163:	1 
10164:	2 
10169:	2 
1017:	1 
10172:	1 
10173:	2 
10175:	2 
10177:	1 
10178:	2 
10179:	1 
1018:	1 1 
10180:	1 
10181:	1 
10182:	3 
10184:	1 
10185:	4 
10186:	2 
1019:	4 1 
10194:	3 
10195:	3 
10196:	2 
10197:	1 
10198:	2 
10199:	2 
102:	1 1 1 1 2 1 1 1 1 1 
1020:	2 1 1 
10200:	2 
10202:	3 
10204:	2 
10207:	2 
10208:	1 
10209:	2 
1021:	1 3 
10210:	3 
10212:	2 
10213:	2 
10216:	1 
10219:	1 
1022:	1 1 1 
10220:	2 
10222:	2 
10224:	2 
10225:	2 
10226:	2 
10228:	1 
10229:	1 
1023:	2 
10231:	1 
10232:	3 
10233:	3 
10234:	1 
10235:	1 
10236:	2 
10237:	2 
10238:	4 
10239:	3 
1024:	3 
10241:	2 
10242:	1 
10243:	1 
10245:	2 
10247:	2 
10248:	1 
10249:	2 
1025:	1 1 
10250:	2 
10251:	1 
10254:	2 
10255:	1 
10257:	2 
10258:	2 
10259:	2 
1026:	1 
10261:	1 
10263:	2 
10264:	1 
10265:	2 
10268:	3 
10269:	3 
1027:	1 1 
10270:	3 
10271:	1 
10274:	2 
10275:	2 
10276:	3 
10279:	1 
1028:	2 1 1 4 
10284:	3 
10286:	1 
10287:	1 
10288:	3 
1029:	1 1 3 2 
10290:	2 
10291:	1 
10293:	2 
10294:	1 
10295:	2 
10297:	4 
10298:	3 
103:	1 1 1 
1030:	1 1 2 1 1 
10300:	3 
10302:	3 
10304:	1 
10305:	1 
10307:	4 
10308:	3 
10309:	1 
1031:	1 3 
10310:	1 
10311:	1 
10312:	1 
10313:	4 
10314:	1 
10315:	1 
10316:	2 
10317:	2 
10318:	1 
10319:	1 
1032:	1 1 
10320:	1 
10321:	2 
10322:	2 
10325:	2 
10326:	2 
10328:	2 
10329:	1 
1033:	3 
10330:	2 
10331:	3 
10333:	2 
10334:	1 
10335:	2 
10336:	3 
10337:	3 
10339:	2 
10340:	3 
10341:	2 
10342:	1 
10346:	2 
10347:	2 
1035:	2 2 1 1 
10350:	2 
10351:	2 
10352:	1 
10354:	1 
10358:	1 
10359:	1 
1036:	1 14 
10361:	4 
10362:	2 
10363:	1 
10364:	2 
10365:	1 
10366:	1 
10367:	2 
10369:	4 
1037:	2 
10370:	1 
10371:	1 
10372:	1 
10373:	2 
1038:	1 2 
10380:	3 
10381:	2 
10383:	1 
10384:	1 
10386:	2 
10387:	2 
10389:	3 
1039:	3 1 
10393:	4 
10395:	2 
10397:	1 
10398:	1 
10399:	3 
104:	1 1 1 1 1 1 1 1 1 1 
1040:	2 2 1 
10401:	2 
10402:	4 
10403:	2 
10404:	1 
10405:	2 
10407:	3 
1041:	1 2 2 1 
10410:	1 
10411:	1 
10414:	1 
10415:	1 
10416:	2 
1042:	3 
10420:	1 
10421:	1 
10422:	2 
10424:	1 
10428:	4 
10429:	1 
1043:	2 
10430:	1 
10431:	4 
10432:	3 
10433:	1 
10437:	3 
10439:	2 
1044:	1 1 
10440:	1 
10443:	2 
10444:	2 
10446:	1 
10447:	1 
10448:	1 
1045:	2 1 
10450:	1 
10451:	1 
10455:	7 
10456:	2 
10458:	4 
