=== non-contiguous nft : chains ===
Found 41 chain interruption in 3881 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	3 
1002:	2 
1006:	1 
1007:	1 
1008:	1 
1009:	3 
101:	3 
1010:	1 
1014:	1 
1017:	2 
1019:	2 1 
102:	3 
1020:	1 
1021:	2 
1022:	4 
1023:	2 
1025:	1 
1026:	1 
1027:	2 
1028:	1 
1029:	1 
103:	2 
1033:	1 
1034:	1 
1035:	3 
1043:	1 
1044:	3 
1045:	1 
1046:	1 
1047:	2 
1048:	1 
1049:	2 
1052:	1 
1055:	1 
1056:	2 
1057:	1 
1059:	1 
106:	1 
1061:	2 1 
1062:	1 1 
1064:	1 
1065:	1 
1066:	2 
1069:	2 
1071:	2 1 
1073:	2 
1076:	1 
1078:	7 
1081:	1 1 
1083:	4 
1084:	2 
1086:	2 
1087:	2 
1088:	1 
1089:	1 
109:	3 
1091:	1 
1092:	2 
1094:	2 
1096:	2 
1098:	2 
11:	7 
110:	1 
1100:	2 
1101:	2 
1104:	2 
1107:	2 
1108:	5 
1109:	1 
1110:	2 
1111:	1 
1112:	2 
1115:	4 
1119:	1 
1120:	1 
1121:	1 
1122:	1 
1123:	1 
1127:	2 
113:	2 
1130:	2 
1132:	2 
1133:	1 
1134:	2 
1135:	4 
1137:	1 
1138:	2 
1139:	1 
114:	1 
1142:	1 
1143:	2 1 
1144:	1 
1145:	1 
1146:	3 
1148:	1 
1149:	1 
115:	7 
1150:	1 
1152:	3 
1153:	2 
1154:	1 
1157:	1 
1158:	6 
1159:	5 
1160:	1 
1161:	1 
1162:	1 
1164:	2 
1165:	1 
1166:	1 
1167:	3 
1168:	1 
117:	5 
1170:	1 
1171:	3 
1172:	3 
1174:	1 
1175:	9 
1176:	1 
1178:	2 
1179:	4 
1180:	6 
1181:	1 
1182:	1 
1183:	2 
1185:	1 
1186:	2 
1187:	4 
1188:	6 
1189:	1 
1190:	2 
1191:	2 
1192:	2 
1194:	1 
1195:	2 
1196:	1 
1197:	2 
1198:	1 
1199:	2 
120:	3 
1200:	1 
1201:	4 
1202:	6 
1203:	3 
1204:	1 
1205:	1 
1206:	1 
1207:	5 
1208:	1 
1209:	2 
1210:	1 
1211:	2 
1212:	3 
1216:	2 
1217:	1 
1218:	1 
1223:	4 
1227:	1 
1228:	2 
1229:	2 
1230:	3 
1231:	2 
1232:	3 
1236:	1 
1237:	1 
1238:	2 
1239:	1 
1240:	2 
1241:	2 
1242:	1 
1245:	1 
1249:	2 
1250:	2 
1252:	1 
1253:	2 
1254:	4 
1255:	6 
1256:	7 
1259:	1 
1261:	2 
1262:	3 
1263:	1 
1264:	1 
1266:	2 
1267:	6 
1268:	1 
127:	9 
1270:	1 
1271:	1 
1272:	2 
1273:	2 
1274:	1 
1278:	3 
1279:	1 
1280:	3 
1281:	3 
1284:	3 
1285:	4 
1286:	7 
1290:	2 
1292:	2 
1293:	2 
1295:	6 
1296:	2 
1297:	1 
1298:	7 
1299:	3 
13:	7 
130:	1 
1303:	2 
1304:	2 
1305:	3 
1306:	5 
1307:	3 
1308:	2 
1309:	3 
1310:	2 
1311:	2 
1312:	2 
1313:	6 
1314:	3 
1315:	2 
1316:	2 
1317:	2 
1318:	10 
1319:	1 
1320:	1 
1321:	1 
1322:	1 
1323:	1 
1325:	1 
1326:	3 
1327:	2 
1328:	2 
1329:	2 
133:	5 
1330:	2 
1332:	2 
1333:	1 
134:	5 
1343:	1 
1344:	1 
1345:	2 
1347:	2 
1349:	1 
135:	1 
1350:	3 
1351:	2 
1352:	7 
1353:	7 
1354:	2 
1355:	11 
1356:	3 
1357:	5 
1358:	3 
1359:	7 
136:	1 
1361:	4 
1362:	9 
1363:	3 
1364:	1 
1368:	2 
1369:	3 
137:	3 
1370:	3 
1371:	4 
1372:	4 
1373:	2 
1374:	3 
1375:	2 
1376:	5 
1377:	5 
1378:	3 
138:	3 
1380:	7 
1381:	3 
1383:	1 
1385:	2 
1386:	1 
1387:	1 
1388:	2 
1389:	2 
139:	1 
1391:	2 
1393:	1 
1394:	1 
1395:	2 
1397:	8 
1398:	2 
1399:	1 
140:	2 
1400:	2 
1405:	1 
1407:	3 
1408:	1 
141:	2 
1410:	2 
1412:	1 
1414:	2 
1415:	3 
1417:	2 
142:	2 
1421:	1 
1424:	3 
1426:	2 
1428:	1 
1432:	1 
1435:	2 
1436:	3 
1440:	4 
1443:	2 2 2 
1444:	2 4 
1445:	1 
1446:	2 
1447:	1 
1448:	2 
1449:	1 
145:	2 
1450:	2 
1451:	1 
1454:	1 
1455:	1 
1456:	8 
1458:	1 
1460:	1 
1462:	1 
1468:	1 
1470:	5 
1471:	2 
1472:	1 
1473:	1 
1474:	3 
148:	3 
1480:	2 
1481:	5 
1482:	2 
1486:	2 
1487:	1 
1488:	1 
1489:	1 
149:	3 
1490:	2 
1492:	3 
1498:	1 
15:	1 
150:	3 
1501:	2 
1502:	1 
1506:	1 
1507:	5 
1508:	2 
1509:	2 
1514:	2 
1516:	2 
1518:	20 
1519:	1 
1520:	3 
1526:	1 
1527:	4 
1528:	1 
153:	1 
1530:	1 
1531:	3 
1533:	2 
1534:	1 
1535:	4 
1538:	2 
1539:	6 
1540:	3 
1541:	1 
1543:	1 
1545:	12 
1546:	1 
1547:	1 
1548:	3 
1549:	1 
155:	1 
1550:	1 
1552:	1 
1554:	1 
1555:	2 
1557:	1 
1559:	2 
156:	2 
1563:	1 
1564:	1 
1566:	1 
1569:	2 
157:	1 
1572:	15 
1573:	1 
1575:	1 
1576:	2 
1577:	6 
1579:	3 
1580:	5 
1583:	3 
1584:	1 
1585:	1 
1587:	1 
1588:	3 
159:	1 
1594:	3 
1595:	6 
1596:	1 
1597:	1 
1598:	1 
1601:	1 
1605:	1 
161:	3 
1611:	2 
1615:	1 
1616:	1 
1620:	1 
1621:	4 
1622:	1 
1625:	1 
1626:	1 
1627:	2 
1628:	2 
1629:	1 
1630:	2 
1631:	3 
1632:	4 
1635:	1 
1636:	2 
1637:	8 
1638:	3 
1639:	3 
164:	5 
1641:	1 
1642:	3 
1643:	1 
1644:	1 
1645:	1 
1647:	3 
1648:	1 
1649:	2 
165:	1 
1650:	2 
1651:	2 
1652:	1 
1654:	3 
1656:	4 
1657:	3 
1665:	5 
1666:	3 
1667:	4 
1668:	1 
1669:	2 
167:	3 
1670:	3 
1671:	1 
1672:	1 
1673:	1 
1674:	1 
1675:	3 
1676:	7 
1677:	7 
1678:	5 
1679:	4 
168:	3 
1680:	3 
1681:	6 
1682:	1 
1685:	1 
1686:	1 
1687:	1 
1688:	1 
169:	3 
1692:	4 
1693:	3 
1694:	1 
1695:	1 
