
=== GRAPH INFO ===
Nodi: 10037
Archi: 19470
Duration (sec): 182296189 = 5y in interval [1580920834, 1763217023]
Delta (sec): 179510862 = 5y8m1w5d16h7min42s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 1513

size 2 → 578 pattern
size 3 → 233 pattern
size 4 → 154 pattern
size 5 → 94 pattern
size 6 → 69 pattern
size 7 → 47 pattern
size 8 → 40 pattern
size 9 → 25 pattern
size 10 → 21 pattern
size 11 → 19 pattern
size 12 → 13 pattern
size 13 → 11 pattern
size 14 → 11 pattern
size 15 → 11 pattern
size 16 → 8 pattern
size 17 → 4 pattern
size 18 → 8 pattern
size 19 → 5 pattern
size 20 → 11 pattern
size 21 → 11 pattern
size 22 → 1 pattern
size 23 → 4 pattern
size 24 → 6 pattern
size 25 → 7 pattern
size 26 → 6 pattern
size 27 → 4 pattern
size 28 → 2 pattern
size 29 → 1 pattern
size 30 → 3 pattern
size 31 → 6 pattern
size 32 → 3 pattern
size 33 → 1 pattern
size 34 → 2 pattern
size 35 → 2 pattern
size 36 → 3 pattern
size 37 → 1 pattern
size 38 → 1 pattern
size 39 → 3 pattern
size 40 → 3 pattern
size 41 → 1 pattern
size 42 → 1 pattern
size 43 → 2 pattern
size 44 → 2 pattern
size 45 → 1 pattern
size 46 → 2 pattern
size 47 → 2 pattern
size 48 → 1 pattern
size 50 → 2 pattern
size 51 → 2 pattern
size 53 → 1 pattern
size 54 → 1 pattern
size 57 → 1 pattern
size 59 → 1 pattern
size 60 → 3 pattern
size 61 → 1 pattern
size 62 → 3 pattern
size 63 → 2 pattern
size 64 → 1 pattern
size 65 → 1 pattern
size 66 → 1 pattern
size 70 → 1 pattern
size 71 → 1 pattern
size 75 → 1 pattern
size 79 → 2 pattern
size 82 → 1 pattern
size 84 → 1 pattern
size 88 → 2 pattern
size 89 → 1 pattern
size 91 → 1 pattern
size 94 → 1 pattern
size 96 → 1 pattern
size 98 → 1 pattern
size 100 → 1 pattern
size 102 → 1 pattern
size 104 → 1 pattern
size 106 → 1 pattern
size 109 → 1 pattern
size 111 → 1 pattern
size 113 → 3 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 128 → 1 pattern
size 132 → 1 pattern
size 135 → 1 pattern
size 137 → 1 pattern
size 139 → 2 pattern
size 140 → 2 pattern
size 146 → 1 pattern
size 147 → 1 pattern
size 151 → 3 pattern
size 160 → 1 pattern
size 165 → 1 pattern
size 175 → 1 pattern
size 178 → 1 pattern
size 183 → 1 pattern
size 188 → 1 pattern
size 192 → 1 pattern
size 228 → 1 pattern
size 288 → 1 pattern
size 576 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 738

size 2 → 670 pattern
size 4 → 55 pattern
size 6 → 6 pattern
size 8 → 2 pattern
size 10 → 1 pattern
size 14 → 1 pattern
size 20 → 1 pattern
size 28 → 1 pattern
size 108 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 1388

size 2 → 1303 pattern
size 4 → 72 pattern
size 6 → 5 pattern
size 8 → 3 pattern
size 10 → 1 pattern
size 14 → 1 pattern
size 20 → 1 pattern
size 30 → 1 pattern
size 106 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 914

size 2 → 871 pattern
size 4 → 36 pattern
size 6 → 2 pattern
size 8 → 2 pattern
size 10 → 1 pattern
size 14 → 1 pattern
size 30 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 13440
Archi: 19470
Delta (sec): 179510862


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 3712

size 2 → 2595 pattern
size 3 → 679 pattern
size 4 → 194 pattern
size 5 → 59 pattern
size 6 → 30 pattern
size 7 → 34 pattern
size 8 → 104 pattern
size 9 → 4 pattern
size 10 → 9 pattern
size 11 → 1 pattern
size 12 → 1 pattern
size 18 → 1 pattern
size 25 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 3715

size 2 → 2602 pattern
size 3 → 679 pattern
size 4 → 191 pattern
size 5 → 58 pattern
size 6 → 30 pattern
size 7 → 34 pattern
size 8 → 104 pattern
size 9 → 4 pattern
size 10 → 9 pattern
size 11 → 1 pattern
size 12 → 1 pattern
size 18 → 1 pattern
size 25 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 603

size 2 → 561 pattern
size 3 → 35 pattern
size 4 → 2 pattern
size 5 → 2 pattern
size 6 → 3 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 603

size 2 → 561 pattern
size 3 → 35 pattern
size 4 → 2 pattern
size 5 → 2 pattern
size 6 → 3 pattern
