
=== GRAPH INFO ===
Nodi: 166197
Archi: 466073
Duration (sec): 152407963 = 4y in interval [1610801512, 1763209475]
Delta (sec): 151237903 = 4y9m2w6d10h31min43s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 54644

size 2 → 19004 pattern
size 3 → 7758 pattern
size 4 → 5961 pattern
size 5 → 5337 pattern
size 6 → 3686 pattern
size 7 → 2326 pattern
size 8 → 1659 pattern
size 9 → 1299 pattern
size 10 → 1211 pattern
size 11 → 835 pattern
size 12 → 739 pattern
size 13 → 505 pattern
size 14 → 483 pattern
size 15 → 457 pattern
size 16 → 367 pattern
size 17 → 272 pattern
size 18 → 277 pattern
size 19 → 218 pattern
size 20 → 201 pattern
size 21 → 150 pattern
size 22 → 143 pattern
size 23 → 132 pattern
size 24 → 112 pattern
size 25 → 106 pattern
size 26 → 96 pattern
size 27 → 93 pattern
size 28 → 80 pattern
size 29 → 71 pattern
size 30 → 73 pattern
size 31 → 57 pattern
size 32 → 52 pattern
size 33 → 54 pattern
size 34 → 51 pattern
size 35 → 48 pattern
size 36 → 31 pattern
size 37 → 36 pattern
size 38 → 31 pattern
size 39 → 33 pattern
size 40 → 33 pattern
size 41 → 32 pattern
size 42 → 20 pattern
size 43 → 17 pattern
size 44 → 25 pattern
size 45 → 26 pattern
size 46 → 18 pattern
size 47 → 20 pattern
size 48 → 16 pattern
size 49 → 22 pattern
size 50 → 19 pattern
size 51 → 22 pattern
size 52 → 16 pattern
size 53 → 16 pattern
size 54 → 8 pattern
size 55 → 11 pattern
size 56 → 16 pattern
size 57 → 12 pattern
size 58 → 7 pattern
size 59 → 7 pattern
size 60 → 7 pattern
size 61 → 5 pattern
size 62 → 7 pattern
size 63 → 9 pattern
size 64 → 7 pattern
size 65 → 4 pattern
size 66 → 3 pattern
size 67 → 11 pattern
size 68 → 6 pattern
size 69 → 7 pattern
size 70 → 8 pattern
size 71 → 7 pattern
size 72 → 3 pattern
size 73 → 5 pattern
size 74 → 3 pattern
size 75 → 4 pattern
size 76 → 4 pattern
size 77 → 5 pattern
size 78 → 2 pattern
size 79 → 2 pattern
size 80 → 4 pattern
size 81 → 3 pattern
size 82 → 4 pattern
size 83 → 3 pattern
size 84 → 1 pattern
size 85 → 5 pattern
size 86 → 4 pattern
size 87 → 3 pattern
size 88 → 3 pattern
size 89 → 5 pattern
size 90 → 5 pattern
size 91 → 3 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 95 → 3 pattern
size 96 → 2 pattern
size 97 → 2 pattern
size 98 → 2 pattern
size 99 → 1 pattern
size 100 → 3 pattern
size 101 → 1 pattern
size 103 → 1 pattern
size 105 → 1 pattern
size 107 → 2 pattern
size 110 → 4 pattern
size 111 → 3 pattern
size 112 → 3 pattern
size 114 → 2 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 118 → 2 pattern
size 120 → 1 pattern
size 121 → 1 pattern
size 128 → 2 pattern
size 130 → 1 pattern
size 131 → 1 pattern
size 133 → 2 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 141 → 1 pattern
size 143 → 1 pattern
size 150 → 1 pattern
size 151 → 1 pattern
