
=== GRAPH INFO ===
Nodi: 166197
Archi: 466073
Duration (sec): 152407963 = 4y in interval [1610801512, 1763209475]
Delta (sec): 1491 = 24min51s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 54295

size 2 → 20627 pattern
size 3 → 11924 pattern
size 4 → 4340 pattern
size 5 → 9639 pattern
size 6 → 2701 pattern
size 7 → 1134 pattern
size 8 → 772 pattern
size 9 → 457 pattern
size 10 → 571 pattern
size 11 → 298 pattern
size 12 → 336 pattern
size 13 → 173 pattern
size 14 → 157 pattern
size 15 → 193 pattern
size 16 → 102 pattern
size 17 → 74 pattern
size 18 → 69 pattern
size 19 → 57 pattern
size 20 → 115 pattern
size 21 → 39 pattern
size 22 → 37 pattern
size 23 → 29 pattern
size 24 → 36 pattern
size 25 → 46 pattern
size 26 → 31 pattern
size 27 → 32 pattern
size 28 → 21 pattern
size 29 → 15 pattern
size 30 → 46 pattern
size 31 → 14 pattern
size 32 → 15 pattern
size 33 → 10 pattern
size 34 → 6 pattern
size 35 → 15 pattern
size 36 → 10 pattern
size 37 → 5 pattern
size 38 → 8 pattern
size 39 → 4 pattern
size 40 → 12 pattern
size 41 → 3 pattern
size 42 → 4 pattern
size 43 → 5 pattern
size 44 → 3 pattern
size 45 → 5 pattern
size 46 → 3 pattern
size 47 → 3 pattern
size 48 → 6 pattern
size 49 → 2 pattern
size 50 → 9 pattern
size 51 → 5 pattern
size 52 → 3 pattern
size 53 → 2 pattern
size 54 → 2 pattern
size 55 → 4 pattern
size 56 → 3 pattern
size 57 → 4 pattern
size 58 → 1 pattern
size 59 → 3 pattern
size 60 → 3 pattern
size 61 → 1 pattern
size 62 → 1 pattern
size 64 → 1 pattern
size 65 → 3 pattern
size 68 → 2 pattern
size 69 → 1 pattern
size 72 → 1 pattern
size 74 → 1 pattern
size 75 → 1 pattern
size 76 → 1 pattern
size 78 → 1 pattern
size 81 → 1 pattern
size 82 → 1 pattern
size 83 → 2 pattern
size 85 → 1 pattern
size 89 → 1 pattern
size 90 → 1 pattern
size 94 → 1 pattern
size 96 → 1 pattern
size 97 → 2 pattern
size 100 → 1 pattern
size 101 → 2 pattern
size 103 → 1 pattern
size 111 → 1 pattern
size 115 → 1 pattern
size 119 → 1 pattern
size 123 → 1 pattern
size 134 → 1 pattern
size 144 → 1 pattern
size 150 → 1 pattern
size 155 → 1 pattern
size 165 → 1 pattern
size 167 → 1 pattern
size 178 → 1 pattern
size 179 → 1 pattern
size 182 → 1 pattern
size 189 → 1 pattern
size 190 → 1 pattern
size 191 → 1 pattern
size 205 → 1 pattern
size 209 → 1 pattern
size 215 → 1 pattern
size 225 → 1 pattern
size 227 → 1 pattern
size 235 → 1 pattern
size 2602 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 2243

size 2 → 2124 pattern
size 4 → 86 pattern
size 6 → 15 pattern
size 8 → 7 pattern
size 10 → 5 pattern
size 12 → 1 pattern
size 14 → 1 pattern
size 16 → 1 pattern
size 20 → 3 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 8192

size 2 → 8012 pattern
size 4 → 148 pattern
size 6 → 15 pattern
