
=== GRAPH INFO ===
Nodi: 29569
Archi: 189734
Duration (sec): 119872130 = 3y in interval [1643412069, 1763284199]
Delta (sec): 115533522 = 3y8m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 9299

size 2 → 3848 pattern
size 3 → 1414 pattern
size 4 → 940 pattern
size 5 → 520 pattern
size 6 → 295 pattern
size 7 → 181 pattern
size 8 → 141 pattern
size 9 → 701 pattern
size 10 → 181 pattern
size 11 → 106 pattern
size 12 → 88 pattern
size 13 → 65 pattern
size 14 → 59 pattern
size 15 → 44 pattern
size 16 → 29 pattern
size 17 → 22 pattern
size 18 → 66 pattern
size 19 → 23 pattern
size 20 → 25 pattern
size 21 → 17 pattern
size 22 → 17 pattern
size 23 → 6 pattern
size 24 → 13 pattern
size 25 → 11 pattern
size 26 → 8 pattern
size 27 → 27 pattern
size 28 → 10 pattern
size 29 → 14 pattern
size 30 → 12 pattern
size 31 → 7 pattern
size 32 → 8 pattern
size 33 → 9 pattern
size 34 → 2 pattern
size 35 → 8 pattern
size 36 → 113 pattern
size 37 → 17 pattern
size 38 → 7 pattern
size 39 → 5 pattern
size 40 → 7 pattern
size 41 → 1 pattern
size 42 → 2 pattern
size 43 → 3 pattern
size 44 → 5 pattern
size 45 → 15 pattern
size 46 → 3 pattern
size 47 → 4 pattern
size 48 → 3 pattern
size 49 → 1 pattern
size 50 → 3 pattern
size 51 → 4 pattern
size 52 → 4 pattern
size 53 → 3 pattern
size 54 → 2 pattern
size 55 → 3 pattern
size 56 → 2 pattern
size 58 → 2 pattern
size 59 → 2 pattern
size 60 → 1 pattern
size 62 → 2 pattern
size 63 → 7 pattern
size 64 → 5 pattern
size 65 → 2 pattern
size 66 → 1 pattern
size 67 → 1 pattern
size 69 → 1 pattern
size 71 → 6 pattern
size 72 → 10 pattern
size 73 → 3 pattern
size 74 → 2 pattern
size 77 → 3 pattern
size 78 → 2 pattern
size 81 → 3 pattern
size 82 → 1 pattern
size 83 → 2 pattern
size 85 → 1 pattern
size 89 → 2 pattern
size 90 → 2 pattern
size 91 → 2 pattern
size 92 → 1 pattern
size 94 → 1 pattern
size 96 → 1 pattern
size 102 → 3 pattern
size 106 → 1 pattern
size 117 → 1 pattern
size 120 → 1 pattern
size 123 → 1 pattern
size 131 → 1 pattern
size 141 → 8 pattern
size 142 → 1 pattern
size 143 → 2 pattern
size 144 → 33 pattern
size 147 → 2 pattern
size 148 → 2 pattern
size 151 → 2 pattern
size 153 → 2 pattern
size 156 → 1 pattern
size 163 → 1 pattern
size 167 → 1 pattern
size 169 → 1 pattern
size 176 → 1 pattern
size 179 → 1 pattern
size 180 → 2 pattern
size 183 → 1 pattern
size 195 → 1 pattern
size 207 → 1 pattern
size 220 → 1 pattern
size 234 → 1 pattern
size 310 → 1 pattern
size 333 → 1 pattern
size 342 → 1 pattern
size 343 → 1 pattern
size 412 → 1 pattern
size 468 → 1 pattern
size 522 → 1 pattern
size 561 → 1 pattern
size 576 → 5 pattern
size 621 → 1 pattern
size 684 → 1 pattern
size 707 → 1 pattern
size 800 → 1 pattern
size 805 → 1 pattern
size 1006 → 1 pattern
size 1119 → 1 pattern
size 1133 → 1 pattern
