
=== GRAPH INFO ===
Nodi: 29569
Archi: 189734
Duration (sec): 119872130 = 3y in interval [1643412069, 1763284199]
Delta (sec): 92 = 1min32s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 13026

size 2 → 6154 pattern
size 3 → 1923 pattern
size 4 → 1149 pattern
size 5 → 492 pattern
size 6 → 287 pattern
size 7 → 185 pattern
size 8 → 189 pattern
size 9 → 1059 pattern
size 10 → 178 pattern
size 11 → 81 pattern
size 12 → 72 pattern
size 13 → 49 pattern
size 14 → 64 pattern
size 15 → 35 pattern
size 16 → 52 pattern
size 17 → 33 pattern
size 18 → 111 pattern
size 19 → 42 pattern
size 20 → 168 pattern
size 21 → 15 pattern
size 22 → 15 pattern
size 23 → 17 pattern
size 24 → 16 pattern
size 25 → 20 pattern
size 26 → 11 pattern
size 27 → 39 pattern
size 28 → 5 pattern
size 29 → 9 pattern
size 30 → 14 pattern
size 31 → 8 pattern
size 32 → 5 pattern
size 33 → 8 pattern
size 34 → 5 pattern
size 35 → 14 pattern
size 36 → 117 pattern
size 37 → 20 pattern
size 38 → 12 pattern
size 39 → 4 pattern
size 40 → 61 pattern
size 41 → 6 pattern
size 42 → 3 pattern
size 43 → 5 pattern
size 44 → 6 pattern
size 45 → 12 pattern
size 46 → 6 pattern
size 47 → 5 pattern
size 48 → 6 pattern
size 49 → 2 pattern
size 50 → 26 pattern
size 51 → 5 pattern
size 52 → 1 pattern
size 53 → 5 pattern
size 54 → 7 pattern
size 55 → 4 pattern
size 56 → 3 pattern
size 57 → 3 pattern
size 58 → 1 pattern
size 59 → 4 pattern
size 60 → 5 pattern
size 61 → 2 pattern
size 63 → 7 pattern
size 65 → 1 pattern
size 66 → 6 pattern
size 67 → 2 pattern
size 69 → 1 pattern
size 70 → 1 pattern
size 72 → 12 pattern
size 73 → 2 pattern
size 74 → 5 pattern
size 75 → 1 pattern
size 76 → 1 pattern
size 78 → 1 pattern
size 79 → 1 pattern
size 80 → 3 pattern
size 81 → 1 pattern
size 82 → 1 pattern
size 83 → 1 pattern
size 84 → 3 pattern
size 85 → 1 pattern
size 86 → 1 pattern
size 87 → 1 pattern
size 89 → 2 pattern
size 90 → 2 pattern
size 91 → 1 pattern
size 96 → 1 pattern
size 99 → 1 pattern
size 100 → 5 pattern
size 103 → 1 pattern
size 104 → 1 pattern
size 105 → 1 pattern
size 111 → 1 pattern
size 113 → 1 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 117 → 1 pattern
size 122 → 1 pattern
size 125 → 1 pattern
size 131 → 1 pattern
size 132 → 1 pattern
size 135 → 1 pattern
size 144 → 33 pattern
size 145 → 2 pattern
size 146 → 1 pattern
size 147 → 1 pattern
size 149 → 1 pattern
size 150 → 1 pattern
size 151 → 2 pattern
size 152 → 1 pattern
size 155 → 1 pattern
size 157 → 1 pattern
size 165 → 1 pattern
size 170 → 1 pattern
size 176 → 2 pattern
size 179 → 1 pattern
size 180 → 1 pattern
size 181 → 1 pattern
size 182 → 2 pattern
size 184 → 2 pattern
size 189 → 1 pattern
size 200 → 1 pattern
size 201 → 1 pattern
size 210 → 1 pattern
size 214 → 1 pattern
size 236 → 1 pattern
size 247 → 1 pattern
size 250 → 1 pattern
size 252 → 1 pattern
size 263 → 1 pattern
size 289 → 1 pattern
size 300 → 1 pattern
size 306 → 1 pattern
size 328 → 1 pattern
size 350 → 1 pattern
size 400 → 1 pattern
size 540 → 1 pattern
size 543 → 1 pattern
size 576 → 8 pattern
size 577 → 1 pattern
size 582 → 1 pattern
size 586 → 1 pattern
size 592 → 1 pattern
size 732 → 1 pattern
size 776 → 1 pattern
size 797 → 2 pattern
size 1152 → 1 pattern
size 1963 → 1 pattern
size 21663 → 1 pattern
size 23513 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 563

size 2 → 532 pattern
size 4 → 23 pattern
size 6 → 1 pattern
size 12 → 1 pattern
size 16 → 2 pattern
size 18 → 4 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 383

size 2 → 371 pattern
size 4 → 4 pattern
size 6 → 1 pattern
size 10 → 1 pattern
size 16 → 2 pattern
size 18 → 4 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 254

size 2 → 249 pattern
size 4 → 2 pattern
size 6 → 1 pattern
size 16 → 2 pattern

=== DATASETNFT INFO ===
NFTs: 80707
Archi: 189734
Delta (sec): 92


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 769

size 2 → 758 pattern
size 3 → 8 pattern
size 4 → 1 pattern
size 8 → 2 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 769

size 2 → 758 pattern
size 3 → 8 pattern
size 4 → 1 pattern
size 8 → 2 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 67

size 2 → 67 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 67

size 2 → 67 pattern
