
=== GRAPH INFO ===
Nodi: 29569
Archi: 189734
Duration (sec): 119872130 = 3y in interval [1643412069, 1763284199]
Delta (sec): 3888 = 1h4min48s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 10803

size 2 → 4220 pattern
size 3 → 1507 pattern
size 4 → 1093 pattern
size 5 → 577 pattern
size 6 → 337 pattern
size 7 → 221 pattern
size 8 → 183 pattern
size 9 → 973 pattern
size 10 → 209 pattern
size 11 → 123 pattern
size 12 → 102 pattern
size 13 → 77 pattern
size 14 → 60 pattern
size 15 → 52 pattern
size 16 → 45 pattern
size 17 → 36 pattern
size 18 → 91 pattern
size 19 → 35 pattern
size 20 → 54 pattern
size 21 → 29 pattern
size 22 → 20 pattern
size 23 → 21 pattern
size 24 → 15 pattern
size 25 → 11 pattern
size 26 → 12 pattern
size 27 → 35 pattern
size 28 → 8 pattern
size 29 → 16 pattern
size 30 → 14 pattern
size 31 → 15 pattern
size 32 → 6 pattern
size 33 → 9 pattern
size 34 → 10 pattern
size 35 → 17 pattern
size 36 → 147 pattern
size 37 → 26 pattern
size 38 → 15 pattern
size 39 → 9 pattern
size 40 → 6 pattern
size 41 → 7 pattern
size 42 → 6 pattern
size 43 → 8 pattern
size 44 → 8 pattern
size 45 → 12 pattern
size 46 → 6 pattern
size 47 → 1 pattern
size 48 → 5 pattern
size 49 → 3 pattern
size 50 → 8 pattern
size 51 → 2 pattern
size 52 → 1 pattern
size 53 → 4 pattern
size 54 → 6 pattern
size 55 → 5 pattern
size 56 → 3 pattern
size 57 → 4 pattern
size 58 → 2 pattern
size 59 → 3 pattern
size 60 → 3 pattern
size 61 → 1 pattern
size 62 → 6 pattern
size 63 → 8 pattern
size 64 → 3 pattern
size 65 → 11 pattern
size 66 → 4 pattern
size 67 → 2 pattern
size 68 → 3 pattern
size 69 → 3 pattern
size 71 → 3 pattern
size 72 → 9 pattern
size 73 → 7 pattern
size 74 → 5 pattern
size 75 → 4 pattern
size 76 → 3 pattern
size 77 → 3 pattern
size 78 → 2 pattern
size 79 → 4 pattern
size 80 → 3 pattern
size 81 → 6 pattern
size 83 → 2 pattern
size 84 → 1 pattern
size 85 → 2 pattern
size 86 → 1 pattern
size 87 → 1 pattern
size 88 → 1 pattern
size 89 → 3 pattern
size 94 → 1 pattern
size 95 → 2 pattern
size 97 → 1 pattern
size 98 → 1 pattern
size 99 → 1 pattern
size 101 → 1 pattern
size 102 → 2 pattern
size 103 → 2 pattern
size 104 → 1 pattern
size 105 → 1 pattern
size 107 → 2 pattern
size 108 → 1 pattern
size 109 → 3 pattern
size 111 → 1 pattern
size 114 → 1 pattern
size 116 → 1 pattern
size 117 → 2 pattern
size 118 → 1 pattern
size 122 → 1 pattern
size 123 → 1 pattern
size 125 → 1 pattern
size 126 → 1 pattern
size 130 → 1 pattern
size 131 → 1 pattern
size 132 → 1 pattern
size 135 → 1 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 138 → 1 pattern
size 139 → 1 pattern
size 140 → 1 pattern
size 141 → 6 pattern
size 142 → 1 pattern
size 143 → 4 pattern
size 144 → 36 pattern
size 145 → 2 pattern
size 146 → 3 pattern
size 147 → 1 pattern
