
=== GRAPH INFO ===
Nodi: 29569
Archi: 189734
Duration (sec): 119872130 = 3y in interval [1643412069, 1763284199]
Delta (sec): 232147 = 2d16h29min7s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 9309

size 2 → 3823 pattern
size 3 → 1347 pattern
size 4 → 933 pattern
size 5 → 493 pattern
size 6 → 278 pattern
size 7 → 174 pattern
size 8 → 152 pattern
size 9 → 807 pattern
size 10 → 164 pattern
size 11 → 105 pattern
size 12 → 78 pattern
size 13 → 54 pattern
size 14 → 53 pattern
size 15 → 41 pattern
size 16 → 29 pattern
size 17 → 20 pattern
size 18 → 75 pattern
size 19 → 26 pattern
size 20 → 26 pattern
size 21 → 15 pattern
size 22 → 16 pattern
size 23 → 15 pattern
size 24 → 12 pattern
size 25 → 11 pattern
size 26 → 7 pattern
size 27 → 26 pattern
size 28 → 11 pattern
size 29 → 11 pattern
size 30 → 9 pattern
size 31 → 7 pattern
size 32 → 5 pattern
size 33 → 8 pattern
size 34 → 4 pattern
size 35 → 15 pattern
size 36 → 128 pattern
size 37 → 15 pattern
size 38 → 8 pattern
size 39 → 5 pattern
size 40 → 7 pattern
size 41 → 2 pattern
size 42 → 3 pattern
size 43 → 3 pattern
size 44 → 7 pattern
size 45 → 14 pattern
size 46 → 2 pattern
size 47 → 4 pattern
size 48 → 1 pattern
size 50 → 6 pattern
size 51 → 6 pattern
size 52 → 1 pattern
size 54 → 4 pattern
size 55 → 4 pattern
size 56 → 1 pattern
size 57 → 1 pattern
size 59 → 2 pattern
size 60 → 2 pattern
size 61 → 1 pattern
size 62 → 2 pattern
size 63 → 8 pattern
size 64 → 4 pattern
size 65 → 3 pattern
size 69 → 2 pattern
size 70 → 1 pattern
size 71 → 4 pattern
size 72 → 9 pattern
size 73 → 4 pattern
size 74 → 2 pattern
size 77 → 3 pattern
size 79 → 1 pattern
size 80 → 2 pattern
size 81 → 5 pattern
size 82 → 1 pattern
size 83 → 2 pattern
size 84 → 1 pattern
size 86 → 1 pattern
size 87 → 1 pattern
size 88 → 2 pattern
size 89 → 3 pattern
size 90 → 3 pattern
size 91 → 6 pattern
size 92 → 1 pattern
size 95 → 1 pattern
size 98 → 1 pattern
size 99 → 2 pattern
size 100 → 1 pattern
size 101 → 1 pattern
size 102 → 3 pattern
size 108 → 3 pattern
size 111 → 1 pattern
size 116 → 1 pattern
size 120 → 1 pattern
size 123 → 1 pattern
size 125 → 2 pattern
size 130 → 1 pattern
size 131 → 1 pattern
size 132 → 1 pattern
size 136 → 1 pattern
size 138 → 1 pattern
size 141 → 7 pattern
size 143 → 3 pattern
size 144 → 34 pattern
size 146 → 2 pattern
size 147 → 1 pattern
size 148 → 2 pattern
size 150 → 1 pattern
size 151 → 2 pattern
size 153 → 1 pattern
size 155 → 1 pattern
size 156 → 2 pattern
size 157 → 1 pattern
size 158 → 1 pattern
size 169 → 2 pattern
size 176 → 1 pattern
size 178 → 1 pattern
size 179 → 1 pattern
size 180 → 2 pattern
size 182 → 2 pattern
size 185 → 1 pattern
size 203 → 2 pattern
size 205 → 1 pattern
size 207 → 2 pattern
size 213 → 1 pattern
size 217 → 1 pattern
size 219 → 1 pattern
