=== non-contiguous nft : chains ===
Found 182 chain interruption in 80707 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
100000:	2 
100001:	2 
100002:	2 
100003:	2 
100004:	2 
100005:	2 
100006:	2 
100007:	2 
100008:	4 
100009:	4 
100010:	4 
100014:	2 
100015:	4 
100016:	2 
100018:	5 
100019:	2 
100032:	3 
100033:	3 
100038:	3 
100039:	3 
100040:	3 
100041:	1 
100045:	1 
100048:	2 
100049:	4 
100050:	2 
100052:	2 
100053:	2 
100054:	2 
100056:	2 
100057:	2 
100058:	2 
100101:	2 
100102:	2 
100103:	2 
100116:	1 
100117:	2 
100118:	3 
100119:	2 
100120:	2 
100121:	2 
100122:	5 
100123:	8 
100124:	5 
100125:	4 
100126:	5 
100127:	5 
100128:	2 
100129:	2 
100130:	2 
100131:	2 
100132:	2 
100133:	2 
100134:	2 
100135:	2 
100136:	2 
100137:	2 
100138:	2 
100139:	2 
100140:	2 
100141:	2 
100142:	2 
100143:	2 
100144:	2 
100145:	2 
100146:	2 
100147:	2 
100148:	2 
100149:	2 
100150:	2 
100151:	2 
100152:	1 
100153:	4 
100154:	2 
100156:	7 
100157:	2 
100158:	2 
100159:	2 
100160:	2 
100161:	4 
100162:	4 
100164:	7 
100165:	9 
100166:	9 
100167:	9 
100168:	16 
100169:	9 
100170:	1 
100171:	1 
100172:	2 
100176:	3 
100177:	3 
100178:	3 
100179:	2 
100180:	2 
100182:	2 
100183:	2 
100184:	2 
100185:	3 
100186:	3 
100187:	3 
100189:	2 
100190:	2 
100194:	2 
100195:	2 
100196:	2 
100197:	2 
100198:	2 
100199:	2 
100200:	7 
100201:	4 
100202:	1 
100203:	2 
100204:	2 
100205:	2 
100208:	1 
100212:	2 
100213:	2 
100214:	2 
100215:	2 
100217:	1 
100218:	2 
100219:	2 
100220:	2 
100221:	2 
100222:	2 
100223:	2 
100224:	4 
100225:	5 
100226:	9 
100230:	8 
100231:	9 
100232:	8 
100235:	4 
100236:	1 
100237:	1 
100238:	1 
100239:	1 
100240:	1 
100241:	1 
100242:	1 
100243:	1 
100244:	1 
100245:	1 
100246:	1 
100247:	1 
100248:	1 
100249:	1 
100250:	1 
100251:	1 
100254:	1 
100255:	1 
100256:	1 
100257:	2 
100258:	2 
100259:	2 
10026:	3 
100266:	2 
100267:	2 
100268:	2 
100269:	4 
10027:	2 
100272:	2 
100273:	2 
100274:	2 
100276:	3 
100279:	1 
100285:	1 
100287:	1 
100288:	1 
100289:	1 
10029:	2 
10030:	2 
100306:	2 
100307:	3 
100308:	4 
10031:	2 
10032:	2 
100320:	1 
100321:	1 
100322:	1 
100323:	1 
100324:	1 
100325:	1 
100326:	1 
100327:	1 
100328:	1 
100329:	1 
10033:	2 
100330:	1 
100331:	1 
100332:	1 
100333:	1 
100334:	1 
100335:	1 
100336:	1 
100337:	1 
100338:	1 
100339:	1 
10034:	2 
100340:	1 
100341:	1 
100342:	1 
100343:	1 
100356:	2 
100357:	1 
100358:	1 
