=== non-contiguous nft : chains ===
Found 37467 chain interruption in 28778 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 2 1 1 1 1 2 1 
1:	1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 2 1 1 1 3 1 
10:	1 4 1 1 1 1 1 3 1 3 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 1 
100:	1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1 
1000:	1 1 1 1 1 1 1 
10000:	3 
10001:	4 
10002:	1 
10003:	3 
10004:	1 
10005:	2 
10006:	1 
10007:	2 
10008:	2 
10009:	1 
1001:	3 1 1 3 1 1 1 2 1 
10010:	1 
10011:	1 
10012:	2 
10013:	3 
10014:	1 
10015:	1 
10016:	1 
10017:	1 
10018:	1 
10019:	1 
1002:	1 1 1 1 1 1 
10020:	5 
10021:	3 
10022:	3 
10023:	3 
10024:	2 
10025:	2 
10026:	1 
10027:	1 
10028:	3 
10029:	2 
1003:	1 1 1 1 2 1 1 
10030:	1 
10031:	3 
10032:	4 
10033:	1 
10034:	1 
10035:	1 
10036:	5 
10037:	1 
10038:	5 
10039:	1 
1004:	2 1 1 1 2 2 
10040:	1 
10041:	1 
10042:	5 
10043:	3 
10044:	2 
10045:	2 
10046:	2 
10047:	1 
10048:	1 
10049:	3 
1005:	1 1 1 1 1 2 
10050:	4 
10051:	2 
10052:	6 
10053:	1 
10054:	2 
10055:	4 
10056:	4 
10057:	1 
10058:	1 
10059:	4 
1006:	1 1 1 2 1 1 
10060:	3 
10061:	1 
10062:	2 
10063:	3 
10064:	1 
10065:	1 
10066:	4 
10067:	4 
10068:	1 
10069:	2 
1007:	2 1 1 3 1 2 1 
10070:	2 
10071:	1 
10072:	1 
10073:	1 
10074:	1 
10075:	1 
10076:	3 
10077:	5 
10078:	1 
10079:	1 
1008:	1 1 1 1 1 2 1 1 
10080:	1 
10081:	1 
10082:	1 
10083:	3 
10084:	2 
10085:	1 
10086:	1 
10087:	3 
10088:	3 
10089:	5 
1009:	1 1 1 1 2 1 2 1 1 
10090:	3 
10091:	3 
10092:	3 
10093:	2 
10094:	1 
10095:	2 
10096:	1 
10097:	4 
10098:	1 
10099:	1 
101:	1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 1 1 1 
1010:	1 1 1 3 1 1 
10100:	2 
10101:	1 
10102:	1 
10103:	1 
10104:	1 
10105:	3 
10106:	3 
10107:	2 
10108:	3 
10109:	2 
1011:	1 1 1 2 2 1 1 1 
10110:	3 
10111:	5 
10112:	2 
10113:	1 
10114:	1 
10115:	3 
10116:	3 
10117:	4 
10118:	3 
10119:	2 
1012:	1 1 1 1 2 1 
10120:	2 
10121:	7 
10122:	2 
10123:	1 
10124:	1 
10125:	1 
10126:	4 
10127:	3 
10128:	2 
10129:	1 
1013:	2 1 1 2 2 1 1 1 
10130:	2 
10131:	3 
10132:	1 
10133:	4 
10134:	2 
10135:	2 
10136:	1 
10137:	5 
10138:	3 
10139:	3 
1014:	1 1 1 1 2 1 
10140:	2 
10141:	1 
10142:	1 
10143:	1 
10144:	3 
10145:	1 
10146:	1 
10147:	3 
10148:	1 
10149:	1 
1015:	1 1 1 1 3 2 3 1 1 1 
10150:	1 
10151:	1 
10152:	2 
10153:	2 
10154:	1 
10155:	2 
10156:	3 
10157:	1 
10158:	1 
10159:	2 
1016:	1 1 1 1 1 1 
10160:	1 
10161:	10 
10162:	4 
10163:	2 
10164:	3 
10165:	1 
10166:	1 
10167:	1 
10168:	1 
10169:	3 
1017:	1 1 1 1 1 1 1 
10170:	1 
10171:	1 
10172:	2 
10173:	3 
10174:	1 
10175:	3 
10176:	1 
10177:	2 
10178:	3 
10179:	2 
1018:	2 1 1 1 1 2 
10180:	2 
10181:	2 
10182:	4 
10183:	1 
10184:	2 
10185:	5 
10186:	3 
10187:	1 
10188:	1 
10189:	1 
1019:	1 1 1 5 1 2 
10190:	1 
10191:	1 
10192:	1 
10193:	1 
10194:	4 
10195:	4 
10196:	3 
10197:	2 
10198:	3 
10199:	3 
102:	1 2 1 1 1 1 1 2 1 2 2 1 1 1 1 1 1 1 2 1 1 
1020:	1 1 1 1 2 1 2 1 
10200:	3 
10201:	1 
10202:	4 
10203:	1 
10204:	3 
10205:	1 
10206:	1 
10207:	3 
10208:	2 
10209:	3 
1021:	1 1 1 1 1 2 1 2 
10210:	4 
10211:	1 
10212:	3 
10213:	3 
10214:	1 
10215:	1 
10216:	2 
10217:	1 
10218:	1 
10219:	2 
1022:	2 1 1 1 2 1 1 
10220:	3 
10221:	1 
10222:	3 
10223:	1 
10224:	3 
10225:	3 
10226:	3 
10227:	1 
10228:	2 
10229:	2 
1023:	3 1 1 1 1 1 
10230:	1 
10231:	2 
10232:	4 
10233:	4 
10234:	2 
10235:	2 
10236:	3 
10237:	3 
10238:	5 
10239:	4 
1024:	1 1 1 1 2 1 1 1 
10240:	1 
10241:	3 
10242:	2 
10243:	2 
10244:	1 
10245:	3 
10246:	1 
10247:	3 
10248:	2 
10249:	3 
1025:	1 1 1 1 2 1 1 
10250:	3 
10251:	2 
10252:	1 
10253:	1 
10254:	3 
10255:	2 
10256:	1 
10257:	3 
10258:	3 
10259:	3 
1026:	1 1 1 1 2 1 
10260:	1 
10261:	2 
10262:	1 
10263:	3 
10264:	2 
10265:	3 
10266:	1 
10267:	1 
10268:	4 
10269:	4 
1027:	2 1 1 1 2 1 
10270:	4 
10271:	2 
10272:	1 
10273:	1 
10274:	3 
10275:	3 
10276:	4 
10277:	1 
10278:	1 
10279:	2 
1028:	3 1 1 1 2 2 4 
10280:	1 
10281:	1 
10282:	1 
10283:	1 
10284:	4 
10285:	1 
10286:	2 
10287:	2 
10288:	4 
10289:	1 
1029:	1 1 1 1 1 2 4 2 
10290:	3 
10291:	2 
10292:	1 
10293:	3 
10294:	2 
10295:	3 
10296:	1 
10297:	5 
10298:	4 
10299:	1 
103:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 
1030:	1 1 1 1 2 1 3 1 1 
10300:	4 
10301:	1 
10302:	4 
10303:	1 
10304:	2 
10305:	2 
10306:	1 
10307:	5 
10308:	4 
10309:	2 
1031:	1 1 1 1 2 4 
10310:	2 
10311:	2 
10312:	2 
10313:	5 
10314:	2 
10315:	2 
10316:	3 
10317:	3 
10318:	2 
10319:	2 
1032:	1 1 1 2 2 1 
10320:	2 
10321:	3 
10322:	3 
10323:	1 
10324:	1 
10325:	3 
10326:	3 
10327:	1 
10328:	3 
10329:	2 
1033:	1 1 1 4 1 1 
10330:	3 
10331:	4 
10332:	1 
10333:	3 
10334:	2 
10335:	3 
10336:	4 
10337:	4 
10338:	1 
10339:	3 
1034:	1 1 1 1 1 1 
10340:	4 
10341:	3 
10342:	2 
10343:	1 
10344:	1 
10345:	1 
10346:	3 
10347:	3 
10348:	1 
10349:	1 
1035:	3 1 1 1 2 2 1 1 
10350:	3 
10351:	3 
10352:	2 
10353:	1 
10354:	2 
10355:	1 
10356:	1 
10357:	1 
10358:	2 
10359:	2 
1036:	1 1 1 1 2 15 
10360:	1 
10361:	5 
10362:	3 
10363:	2 
10364:	3 
10365:	2 
10366:	2 
10367:	3 
10368:	1 
10369:	5 
1037:	2 1 1 1 1 1 1 
10370:	2 
10371:	2 
10372:	2 
10373:	3 
10374:	1 
10375:	1 
10376:	1 
10377:	1 
10378:	1 
10379:	1 
1038:	1 1 1 1 1 2 1 1 
10380:	4 
10381:	3 
10382:	1 
10383:	2 
10384:	2 
10385:	1 
10386:	3 
10387:	3 
10388:	1 
10389:	4 
1039:	1 1 1 1 3 1 2 
10390:	1 
10391:	1 
10392:	1 
10393:	5 
10394:	1 
10395:	3 
10396:	1 
10397:	2 
10398:	2 
10399:	4 
104:	1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1040:	1 1 1 1 2 2 1 1 1 
10400:	1 
10401:	3 
10402:	5 
10403:	3 
10404:	2 
10405:	3 
10406:	1 
10407:	4 
10408:	1 
10409:	1 
1041:	2 1 1 3 2 1 1 1 
10410:	2 
10411:	2 
10412:	1 
10413:	1 
10414:	2 
10415:	2 
10416:	3 
10417:	1 
10418:	1 
10419:	1 
1042:	1 1 1 1 2 1 2 
10420:	2 
10421:	2 
10422:	3 
10423:	1 
10424:	2 
10425:	1 
10426:	1 
10427:	1 
10428:	5 
10429:	2 
1043:	1 1 1 1 2 1 1 
10430:	2 
10431:	5 
10432:	4 
10433:	2 
10434:	1 
10435:	1 
10436:	1 
10437:	4 
10438:	1 
10439:	3 
1044:	1 1 1 2 2 1 
10440:	2 
10441:	1 
10442:	1 
10443:	3 
10444:	3 
10445:	1 
10446:	2 
10447:	2 
10448:	2 
10449:	1 
1045:	3 1 1 1 2 1 
10450:	2 
10451:	2 
10452:	1 
10453:	1 
10454:	1 
10455:	8 
10456:	3 
10457:	1 
10458:	5 
10459:	4 
1046:	2 1 1 1 1 1 1 
10460:	2 
10461:	2 
10462:	1 
10463:	2 
10464:	1 
10465:	3 
10466:	1 
10467:	3 
10468:	1 
10469:	2 
1047:	1 1 1 1 1 3 1 3 
10470:	1 
10471:	1 
10472:	2 
10473:	1 
10474:	2 
10475:	3 
10476:	1 
10477:	1 
10478:	2 
10479:	4 
1048:	1 1 1 1 3 2 1 1 1 
10480:	1 
10481:	2 
10482:	2 
10483:	2 
10484:	1 
10485:	3 
10486:	2 
10487:	4 
10488:	3 
10489:	1 
1049:	1 1 1 1 1 1 
10490:	3 
10491:	2 
10492:	3 
10493:	1 
10494:	1 
10495:	2 
10496:	4 
10497:	1 
10498:	2 
10499:	2 
105:	1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 4 1 1 2 1 1 2 1 1 1 1 
1050:	1 1 1 1 1 1 
10500:	1 
10501:	2 
10502:	2 
10503:	1 
10504:	4 
10505:	7 
10506:	2 
10507:	3 
10508:	1 
10509:	3 
1051:	1 1 1 3 1 1 1 
10510:	2 
10511:	1 
10512:	1 
10513:	5 
10514:	1 
10515:	2 
10516:	3 
10517:	2 
10518:	3 
10519:	1 
1052:	1 1 1 2 1 1 
10520:	1 
10521:	1 
10522:	1 
10523:	4 
10524:	3 
10525:	2 
10526:	4 
10527:	3 
10528:	3 
10529:	3 
1053:	1 1 1 1 1 1 
10530:	1 
10531:	1 
10532:	1 
10533:	2 
10534:	3 
10535:	1 
10536:	4 
10537:	3 
10538:	2 
10539:	1 
1054:	1 1 1 3 1 1 
10540:	3 
10541:	2 
10542:	3 
10543:	1 
10544:	1 
10545:	1 
10546:	2 
10547:	2 
10548:	1 
10549:	1 
1055:	2 1 1 1 1 1 1 1 
10550:	4 
10551:	1 
10552:	2 
10553:	2 
10554:	1 
10555:	1 
10556:	1 
10557:	2 
10558:	3 
10559:	2 
1056:	1 1 1 1 1 1 2 1 1 
10560:	3 
10561:	2 
10562:	4 
10563:	2 
10564:	3 
10565:	1 
10566:	2 
10567:	1 
10568:	2 
10569:	2 
1057:	1 1 1 1 1 1 
10570:	1 
10571:	2 
10572:	2 
10573:	2 
10574:	3 
10575:	2 
10576:	2 
10577:	5 
10578:	2 
10579:	2 
1058:	2 1 1 1 1 1 1 
10580:	1 
10581:	3 
10582:	1 
10583:	1 
10584:	2 
10585:	7 
10586:	3 
10587:	1 
10588:	1 
10589:	1 
1059:	1 1 1 1 1 2 1 2 
10590:	2 
10591:	1 
10592:	1 
10593:	1 
10594:	1 
10595:	1 
10596:	3 
10597:	3 
10598:	1 
10599:	1 
106:	1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 
1060:	1 1 1 1 1 1 
10600:	2 
10601:	4 
10602:	2 
10603:	2 
10604:	2 
10605:	1 
10606:	1 
10607:	1 
10608:	3 
10609:	1 
1061:	1 1 1 1 2 1 
10610:	3 
10611:	5 
10612:	1 
10613:	2 
10614:	2 
10615:	2 
10616:	1 
10617:	5 
10618:	4 
10619:	4 
1062:	1 1 1 1 2 1 1 
10620:	2 
10621:	6 
10622:	2 
10623:	2 
10624:	3 
10625:	2 
10626:	1 
10627:	2 
10628:	3 
10629:	1 
1063:	1 1 1 1 2 2 1 
10630:	1 
10631:	2 
10632:	1 
10633:	2 
10634:	4 
10635:	3 
10636:	5 
10637:	3 
10638:	2 
10639:	4 
1064:	1 1 1 1 2 2 2 
10640:	1 
10641:	3 
10642:	2 
10643:	1 
10644:	6 
10645:	4 
10646:	1 
10647:	1 
10648:	1 
10649:	1 
1065:	1 1 1 1 1 2 
10650:	1 
10651:	1 
10652:	2 
10653:	1 
10654:	3 
10655:	2 
10656:	2 
10657:	1 
10658:	3 
10659:	1 
1066:	1 1 1 1 2 1 
10660:	1 
10661:	1 
10662:	2 
10663:	2 
10664:	1 
10665:	1 
10666:	1 
10667:	2 
10668:	1 
10669:	3 
1067:	1 1 1 2 1 1 
10670:	1 
10671:	3 
10672:	1 
10673:	1 
10674:	4 
10675:	1 
10676:	1 
10677:	6 
10678:	1 
10679:	1 
1068:	1 1 1 1 1 1 
10680:	2 
10681:	3 
10682:	3 
10683:	3 
10684:	1 
10685:	1 
10686:	1 
10687:	1 
10688:	2 
10689:	3 
1069:	1 1 1 1 2 3 1 
10690:	4 
10691:	1 
10692:	1 
10693:	3 
10694:	3 
10695:	3 
10696:	2 
10697:	2 
10698:	1 
10699:	2 
107:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 
1070:	1 1 1 1 1 1 
10700:	3 
10701:	1 
10702:	1 
10703:	2 
10704:	1 
10705:	1 
10706:	1 
10707:	3 
10708:	4 
10709:	2 
1071:	1 1 1 2 2 2 1 
10710:	2 
10711:	2 
10712:	1 
10713:	2 
10714:	1 
10715:	1 
10716:	1 
10717:	3 
10718:	1 
10719:	3 
1072:	1 1 1 2 1 2 1 
10720:	1 
10721:	3 
10722:	2 
10723:	2 
10724:	3 
10725:	1 
10726:	2 
10727:	1 
10728:	2 
10729:	3 
1073:	1 1 1 1 3 1 1 
10730:	5 
10731:	1 
10732:	2 
10733:	3 
10734:	3 
10735:	1 
10736:	2 
10737:	3 
10738:	2 
10739:	1 
1074:	1 1 1 1 3 1 
10740:	2 
10741:	3 
10742:	3 
10743:	2 
10744:	4 
10745:	4 
10746:	1 
10747:	2 
10748:	1 
10749:	2 
1075:	2 1 1 1 2 1 1 
10750:	1 
10751:	2 
10752:	3 
10753:	1 
10754:	7 
10755:	2 
10756:	4 
10757:	2 
10758:	1 
10759:	2 
1076:	1 1 1 1 2 2 
10760:	1 
10761:	1 
10762:	2 
10763:	2 
10764:	4 
10765:	1 
10766:	2 
10767:	4 
10768:	3 
10769:	2 
1077:	1 1 1 1 2 1 2 
10770:	1 
10771:	4 
10772:	5 
10773:	3 
10774:	4 
10775:	2 
10776:	1 
10777:	2 
10778:	2 
10779:	2 
1078:	1 1 1 1 2 2 1 
10780:	1 
10781:	1 
10782:	3 
10783:	1 
10784:	2 
10785:	3 
10786:	3 
10787:	1 
10788:	1 
10789:	1 
1079:	2 1 1 1 1 3 1 1 
10790:	4 
10791:	1 
10792:	1 
10793:	5 
10794:	1 
10795:	1 
10796:	3 
10797:	3 
10798:	3 
10799:	1 
108:	1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1080:	1 1 1 1 3 4 
10800:	2 
10801:	1 
10802:	2 
10803:	1 
10804:	3 
10805:	1 
10806:	1 
10807:	1 
10808:	1 
10809:	2 
1081:	1 1 1 2 2 1 2 
10810:	1 
10811:	3 
10812:	1 
10813:	2 
10814:	1 
10815:	3 
10816:	3 
10817:	1 
10818:	3 
10819:	1 
1082:	1 1 1 1 1 1 
10820:	2 
10821:	2 
10822:	2 
10823:	3 
10824:	2 
10825:	2 
10826:	3 
10827:	2 
10828:	1 
10829:	1 
1083:	1 1 1 1 1 1 
10830:	3 
10831:	1 
10832:	1 
10833:	2 
10834:	1 
10835:	3 
10836:	2 
10837:	4 
10838:	1 
10839:	1 
1084:	1 1 1 1 2 3 2 1 2 
10840:	4 
10841:	4 
10842:	4 
10843:	3 
10844:	4 
10845:	2 
10846:	2 
10847:	3 
10848:	1 
10849:	3 
1085:	1 1 1 1 3 1 
10850:	6 
10851:	1 
10852:	1 
10853:	1 
10854:	2 
10855:	3 
10856:	2 
10857:	1 
10858:	1 
10859:	2 
1086:	1 1 1 1 1 1 1 
10860:	2 
10861:	1 
10862:	3 
10863:	2 
10864:	2 
10865:	1 
10866:	5 
10867:	2 
10868:	2 
10869:	1 
1087:	1 1 1 1 2 3 2 1 
10870:	1 
10871:	1 
10872:	1 
10873:	1 
10874:	1 
10875:	4 
10876:	4 
10877:	1 
10878:	5 
10879:	1 
1088:	1 1 1 1 2 1 1 
10880:	1 
10881:	2 
10882:	1 
10883:	2 
10884:	2 
10885:	2 
10886:	1 
10887:	1 
10888:	1 
10889:	1 
1089:	1 1 1 1 1 1 
10890:	1 
10891:	2 
10892:	2 
10893:	3 
10894:	1 
10895:	1 
10896:	3 
10897:	3 
10898:	3 
10899:	2 
109:	1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 
1090:	1 1 1 1 1 2 1 1 1 
10900:	2 
10901:	5 
10902:	2 
10903:	2 
10904:	2 
10905:	1 
10906:	1 
10907:	1 
10908:	2 
10909:	4 
1091:	1 1 1 1 2 1 1 2 
10910:	5 
10911:	3 
10912:	3 
10913:	1 
10914:	2 
10915:	3 
10916:	2 
10917:	3 
10918:	1 
10919:	1 
1092:	1 1 1 1 2 1 1 
10920:	4 
10921:	1 
10922:	4 
10923:	1 
10924:	2 
10925:	1 
10926:	2 
10927:	1 
10928:	3 
10929:	1 
1093:	1 1 1 1 1 1 
10930:	1 
10931:	3 
10932:	1 
10933:	2 
10934:	2 
10935:	1 
10936:	4 
10937:	3 
10938:	1 
10939:	1 
1094:	1 1 1 2 1 1 
10940:	2 
10941:	3 
10942:	1 
10943:	8 
10944:	1 
10945:	2 
10946:	2 
10947:	5 
10948:	2 
10949:	4 
1095:	1 1 1 1 2 1 1 
10950:	3 
10951:	2 
10952:	2 
10953:	1 
10954:	1 
10955:	1 
10956:	3 
10957:	2 
10958:	1 
10959:	2 
1096:	3 1 1 2 1 1 
10960:	2 
10961:	1 
10962:	1 
10963:	4 
10964:	1 
10965:	1 
10966:	1 
10967:	1 
10968:	3 
10969:	1 
1097:	1 1 1 1 2 1 1 1 
10970:	3 
10971:	3 
10972:	2 
10973:	1 
10974:	2 
10975:	2 
10976:	6 
10977:	1 
10978:	1 
10979:	2 
1098:	1 1 1 1 2 1 1 1 
10980:	2 
10981:	2 
10982:	1 
10983:	1 
10984:	1 
10985:	2 
10986:	4 
10987:	2 
10988:	1 
10989:	1 
1099:	1 1 1 1 1 1 1 1 
10990:	2 
10991:	1 
10992:	4 
10993:	4 
10994:	2 
10995:	1 
10996:	1 
10997:	3 
10998:	1 
10999:	1 
11:	1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 
110:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 1 1 
1100:	1 1 1 1 1 1 1 1 
11000:	6 
11001:	3 
11002:	1 
11003:	4 
11004:	2 
11005:	5 
11006:	2 
11007:	4 
11008:	2 
11009:	1 
1101:	1 1 1 2 1 1 
11010:	1 
11011:	1 
11012:	2 
11013:	3 
11014:	3 
11015:	2 
11016:	2 
11017:	1 
11018:	3 
11019:	5 
1102:	3 1 1 1 2 1 
11020:	4 
11021:	7 
11022:	4 
11023:	1 
11024:	1 
11025:	5 
11026:	3 
11027:	1 
11028:	2 
11029:	1 
1103:	1 1 1 1 1 1 
11030:	3 
11031:	3 
11032:	1 
11033:	1 
11034:	1 
11035:	1 
11036:	4 
11037:	3 
11038:	5 
11039:	3 
1104:	1 1 1 1 2 1 1 
11040:	2 
11041:	2 
11042:	3 
11043:	7 
11044:	1 
11045:	1 
11046:	3 
11047:	1 
11048:	1 
11049:	3 
1105:	1 1 1 1 2 1 
11050:	1 
11051:	5 
11052:	6 
11053:	4 
11054:	3 
11055:	1 
11056:	1 
11057:	2 
11058:	2 
11059:	3 
1106:	1 1 1 1 1 1 
11060:	3 
11061:	2 
11062:	2 
11063:	1 
11064:	3 
11065:	2 
11066:	3 
11067:	1 
11068:	2 
11069:	1 
1107:	1 1 1 1 1 1 
11070:	2 
11071:	3 
11072:	2 
11073:	3 
11074:	1 
11075:	1 
11076:	1 
11077:	6 
11078:	3 
11079:	3 
1108:	1 1 1 2 2 1 2 
11080:	1 
11081:	2 
11082:	2 
11083:	1 
11084:	1 
11085:	2 
11086:	2 
11087:	1 
11088:	3 
11089:	2 
1109:	1 1 1 1 1 2 1 
11090:	2 
11091:	1 
11092:	1 
11093:	1 
11094:	2 
11095:	1 
11096:	1 
11097:	1 
11098:	3 
11099:	2 
111:	1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 
