=== non-contiguous nft : chains ===
Found 76 chain interruption in 6224 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	1 
100:	4 
1000:	1 
1001:	1 
1002:	3 
1003:	1 
1004:	1 
1005:	1 
1006:	2 
1007:	2 
1008:	2 
1009:	4 
101:	4 
1010:	2 
1011:	1 
1012:	1 
1013:	1 
1014:	2 
1015:	1 
1016:	1 
1017:	3 
1018:	1 
1019:	3 1 
102:	4 
1020:	2 
1021:	3 
1022:	5 
1023:	3 
1024:	1 
1025:	2 
1026:	2 
1027:	3 
1028:	2 
1029:	2 
103:	3 
1030:	1 
1031:	1 
1032:	1 
1033:	2 
1034:	2 
1035:	4 
1036:	1 
1037:	1 
1038:	1 
1039:	1 
104:	1 
1040:	1 
1041:	1 
1042:	1 
1043:	2 
1044:	4 
1045:	2 
1046:	2 
1047:	3 
1048:	2 
1049:	3 
105:	1 
1050:	1 
1051:	1 
1052:	2 
1053:	1 
1054:	1 
1055:	2 
1056:	3 
1057:	2 
1058:	1 
1059:	2 
106:	2 
1060:	1 
1061:	3 1 
1062:	2 1 
1063:	1 
1064:	2 
1065:	2 
1066:	3 
1067:	1 
1068:	1 
1069:	3 
107:	1 
1070:	1 
1071:	3 1 
1072:	1 
1073:	3 
1074:	1 
1075:	1 
1076:	2 
1077:	1 
1078:	8 
1079:	1 
108:	1 
1080:	1 
1081:	2 1 
1082:	1 
1083:	5 
1084:	3 
1085:	1 
1086:	3 
1087:	3 
1088:	2 
1089:	2 
109:	4 
1090:	1 
1091:	2 
1092:	3 
1093:	1 
1094:	3 
1095:	1 
1096:	3 
1097:	1 
1098:	3 
1099:	1 
11:	8 
110:	2 
1100:	3 
1101:	3 
1102:	1 
1103:	1 
1104:	3 
1105:	1 
1106:	1 
1107:	3 
1108:	6 
1109:	2 
111:	1 
1110:	3 
1111:	2 
1112:	3 
1113:	1 
1114:	1 
1115:	5 
1116:	1 
1117:	1 
1118:	1 
1119:	2 
112:	1 
1120:	2 
1121:	2 
1122:	2 
1123:	2 
1124:	1 
1125:	1 
1126:	1 
1127:	3 
1128:	1 
1129:	1 
113:	3 
1130:	3 
1131:	1 
1132:	3 
1133:	2 
1134:	3 
1135:	5 
1136:	1 
1137:	2 
1138:	3 
1139:	2 
114:	2 
1140:	1 
1141:	1 
1142:	2 
1143:	3 1 
1144:	2 
1145:	2 
1146:	4 
1147:	1 
1148:	2 
1149:	2 
115:	8 
1150:	2 
1151:	1 
1152:	4 
1153:	3 
1154:	2 
1155:	1 
1156:	1 
1157:	2 
1158:	7 
1159:	6 
116:	1 
1160:	2 
1161:	2 
1162:	2 
1163:	1 
1164:	3 
1165:	2 
1166:	2 
1167:	4 
1168:	2 
1169:	1 
117:	6 
1170:	2 
1171:	4 
1172:	4 
1173:	1 
1174:	2 
1175:	10 
1176:	2 
1177:	1 
1178:	3 
1179:	5 
118:	1 
1180:	7 
1181:	2 
1182:	2 
1183:	3 
1184:	1 
1185:	2 
1186:	3 
1187:	5 
