
=== GRAPH INFO ===
Nodi: 14881
Archi: 243119
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 4896 = 1h21min36s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 13514

size 2 → 5251 pattern
size 3 → 1486 pattern
size 4 → 1831 pattern
size 5 → 506 pattern
size 6 → 677 pattern
size 7 → 229 pattern
size 8 → 403 pattern
size 9 → 346 pattern
size 10 → 280 pattern
size 11 → 121 pattern
size 12 → 334 pattern
size 13 → 97 pattern
size 14 → 112 pattern
size 15 → 115 pattern
size 16 → 157 pattern
size 17 → 40 pattern
size 18 → 91 pattern
size 19 → 62 pattern
size 20 → 165 pattern
size 21 → 47 pattern
size 22 → 37 pattern
size 23 → 26 pattern
size 24 → 90 pattern
size 25 → 106 pattern
size 26 → 41 pattern
size 27 → 19 pattern
size 28 → 33 pattern
size 29 → 18 pattern
size 30 → 29 pattern
size 31 → 18 pattern
size 32 → 20 pattern
size 33 → 12 pattern
size 34 → 16 pattern
size 35 → 27 pattern
size 36 → 26 pattern
size 37 → 16 pattern
size 38 → 19 pattern
size 39 → 14 pattern
size 40 → 30 pattern
size 41 → 11 pattern
size 42 → 11 pattern
size 43 → 5 pattern
size 44 → 12 pattern
size 45 → 12 pattern
size 46 → 8 pattern
size 47 → 4 pattern
size 48 → 10 pattern
size 49 → 5 pattern
size 50 → 22 pattern
size 51 → 2 pattern
size 52 → 13 pattern
size 53 → 8 pattern
size 54 → 8 pattern
size 55 → 5 pattern
size 56 → 14 pattern
size 57 → 8 pattern
size 58 → 4 pattern
size 59 → 2 pattern
size 60 → 21 pattern
size 61 → 5 pattern
size 62 → 4 pattern
size 63 → 2 pattern
size 64 → 1 pattern
size 65 → 6 pattern
size 66 → 4 pattern
size 67 → 1 pattern
size 68 → 4 pattern
size 70 → 6 pattern
size 71 → 4 pattern
size 72 → 6 pattern
size 73 → 2 pattern
size 74 → 2 pattern
size 75 → 1 pattern
size 76 → 6 pattern
size 77 → 1 pattern
size 78 → 1 pattern
size 80 → 13 pattern
size 81 → 3 pattern
size 82 → 3 pattern
size 83 → 4 pattern
size 84 → 7 pattern
size 85 → 1 pattern
size 86 → 1 pattern
size 87 → 2 pattern
size 88 → 3 pattern
size 89 → 2 pattern
size 90 → 1 pattern
size 91 → 2 pattern
size 92 → 1 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 95 → 1 pattern
size 96 → 2 pattern
size 97 → 3 pattern
size 98 → 2 pattern
size 99 → 2 pattern
size 100 → 12 pattern
size 101 → 4 pattern
size 102 → 2 pattern
size 103 → 1 pattern
size 105 → 1 pattern
size 106 → 1 pattern
size 107 → 1 pattern
size 108 → 2 pattern
size 109 → 1 pattern
size 112 → 3 pattern
size 113 → 2 pattern
size 114 → 2 pattern
size 115 → 1 pattern
size 117 → 1 pattern
size 118 → 3 pattern
size 119 → 1 pattern
size 120 → 6 pattern
size 122 → 1 pattern
size 123 → 1 pattern
size 125 → 1 pattern
size 126 → 1 pattern
size 129 → 1 pattern
size 130 → 1 pattern
size 132 → 1 pattern
size 135 → 1 pattern
size 136 → 1 pattern
size 137 → 2 pattern
size 140 → 6 pattern
