
=== GRAPH INFO ===
Nodi: 14881
Archi: 243119
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 192057 = 2d5h20min57s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 12210

size 2 → 4548 pattern
size 3 → 1540 pattern
size 4 → 1540 pattern
size 5 → 547 pattern
size 6 → 629 pattern
size 7 → 248 pattern
size 8 → 354 pattern
size 9 → 277 pattern
size 10 → 284 pattern
size 11 → 118 pattern
size 12 → 249 pattern
size 13 → 103 pattern
size 14 → 107 pattern
size 15 → 107 pattern
size 16 → 132 pattern
size 17 → 56 pattern
size 18 → 93 pattern
size 19 → 42 pattern
size 20 → 131 pattern
size 21 → 54 pattern
size 22 → 44 pattern
size 23 → 31 pattern
size 24 → 80 pattern
size 25 → 99 pattern
size 26 → 39 pattern
size 27 → 15 pattern
size 28 → 30 pattern
size 29 → 33 pattern
size 30 → 27 pattern
size 31 → 16 pattern
size 32 → 21 pattern
size 33 → 14 pattern
size 34 → 18 pattern
size 35 → 16 pattern
size 36 → 23 pattern
size 37 → 17 pattern
size 38 → 15 pattern
size 39 → 10 pattern
size 40 → 19 pattern
size 41 → 6 pattern
size 42 → 15 pattern
size 43 → 8 pattern
size 44 → 13 pattern
size 45 → 8 pattern
size 46 → 13 pattern
size 47 → 7 pattern
size 48 → 8 pattern
size 49 → 7 pattern
size 50 → 18 pattern
size 51 → 7 pattern
size 52 → 10 pattern
size 53 → 10 pattern
size 54 → 7 pattern
size 55 → 5 pattern
size 56 → 9 pattern
size 57 → 8 pattern
size 58 → 5 pattern
size 59 → 3 pattern
size 60 → 12 pattern
size 61 → 5 pattern
size 62 → 1 pattern
size 63 → 4 pattern
size 64 → 5 pattern
size 65 → 2 pattern
size 66 → 3 pattern
size 67 → 1 pattern
size 68 → 4 pattern
size 69 → 4 pattern
size 70 → 6 pattern
size 71 → 7 pattern
size 72 → 3 pattern
size 73 → 3 pattern
size 74 → 7 pattern
size 75 → 3 pattern
size 77 → 4 pattern
size 78 → 1 pattern
size 80 → 5 pattern
size 81 → 4 pattern
size 82 → 3 pattern
size 83 → 5 pattern
size 84 → 3 pattern
size 85 → 4 pattern
size 86 → 2 pattern
size 87 → 2 pattern
size 88 → 3 pattern
size 89 → 5 pattern
size 90 → 2 pattern
size 91 → 2 pattern
size 92 → 3 pattern
size 93 → 1 pattern
size 94 → 1 pattern
size 95 → 1 pattern
size 96 → 2 pattern
size 97 → 4 pattern
size 99 → 4 pattern
size 100 → 6 pattern
size 101 → 4 pattern
size 102 → 2 pattern
size 103 → 1 pattern
size 105 → 1 pattern
size 106 → 3 pattern
size 107 → 2 pattern
size 108 → 3 pattern
size 109 → 1 pattern
size 110 → 1 pattern
size 111 → 1 pattern
size 112 → 1 pattern
size 113 → 1 pattern
size 114 → 2 pattern
size 115 → 1 pattern
size 118 → 1 pattern
size 119 → 4 pattern
size 120 → 1 pattern
size 121 → 3 pattern
size 125 → 1 pattern
size 126 → 1 pattern
size 128 → 1 pattern
size 130 → 1 pattern
size 131 → 1 pattern
size 133 → 1 pattern
size 135 → 3 pattern
size 137 → 2 pattern
size 142 → 2 pattern
size 144 → 1 pattern
