=== non-contiguous nft : chains ===
Found 0 chain interruption in 87014 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 
10:	1 
100:	2 
101:	2 
102:	2 
1020847100762815390390123822295304634218:	1 
1020847100762815390390123822295304634219:	1 
1020847100762815390390123822295304634220:	1 
1020847100762815390390123822295304634221:	1 
1020847100762815390390123822295304634222:	1 
1020847100762815390390123822295304634223:	1 
1020847100762815390390123822295304634224:	1 
1020847100762815390390123822295304634225:	1 
1020847100762815390390123822295304634226:	1 
1020847100762815390390123822295304634227:	2 
1020847100762815390390123822295304634229:	6 
1020847100762815390390123822295304634231:	2 
1020847100762815390390123822295304634233:	16 
1020847100762815390390123822295304634234:	2 
1020847100762815390390123822295304634235:	10 
1020847100762815390390123822295304634236:	10 
1020847100762815390390123822295304634237:	2 
1020847100762815390390123822295304634238:	6 
1020847100762815390390123822295304634239:	6 
1020847100762815390390123822295304634240:	6 
1020847100762815390390123822295304634241:	6 
1020847100762815390390123822295304634242:	6 
1020847100762815390390123822295304634243:	6 
1020847100762815390390123822295304634244:	2 
1020847100762815390390123822295304634245:	1 
1020847100762815390390123822295304634246:	3 
1020847100762815390390123822295304634247:	1 
1020847100762815390390123822295304634248:	3 
1020847100762815390390123822295304634249:	3 
1020847100762815390390123822295304634250:	1 
1020847100762815390390123822295304634251:	1 
1020847100762815390390123822295304634252:	7 
1020847100762815390390123822295304634253:	6 
1020847100762815390390123822295304634254:	7 
1020847100762815390390123822295304634255:	1 
1020847100762815390390123822295304634256:	5 
1020847100762815390390123822295304634257:	7 
1020847100762815390390123822295304634258:	3 
1020847100762815390390123822295304634259:	2 
1020847100762815390390123822295304634260:	2 
1020847100762815390390123822295304634261:	1 
1020847100762815390390123822295304634262:	1 
1020847100762815390390123822295304634263:	1 
1020847100762815390390123822295304634264:	1 
1020847100762815390390123822295304634265:	1 
1020847100762815390390123822295304634266:	1 
1020847100762815390390123822295304634267:	2 
1020847100762815390390123822295304634268:	5 
1020847100762815390390123822295304634269:	4 
1020847100762815390390123822295304634270:	4 
1020847100762815390390123822295304634271:	6 
1020847100762815390390123822295304634272:	2 
1020847100762815390390123822295304634273:	1 
1020847100762815390390123822295304634274:	2 
1020847100762815390390123822295304634275:	2 
1020847100762815390390123822295304634276:	2 
1020847100762815390390123822295304634277:	2 
1020847100762815390390123822295304634278:	2 
1020847100762815390390123822295304634279:	2 
1020847100762815390390123822295304634280:	2 
1020847100762815390390123822295304634281:	2 
1020847100762815390390123822295304634282:	2 
1020847100762815390390123822295304634283:	2 
1020847100762815390390123822295304634284:	2 
1020847100762815390390123822295304634285:	2 
1020847100762815390390123822295304634286:	2 
1020847100762815390390123822295304634287:	2 
1020847100762815390390123822295304634288:	2 
1020847100762815390390123822295304634289:	2 
1020847100762815390390123822295304634290:	2 
