
=== GRAPH INFO ===
Nodi: 21714
Archi: 61566
Duration (sec): 182298756 = 5y in interval [1580918267, 1763217023]
Delta (sec): 237123 = 2d17h52min3s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 4340

size 2 → 1760 pattern
size 3 → 747 pattern
size 4 → 413 pattern
size 5 → 272 pattern
size 6 → 187 pattern
size 7 → 141 pattern
size 8 → 117 pattern
size 9 → 80 pattern
size 10 → 59 pattern
size 11 → 39 pattern
size 12 → 38 pattern
size 13 → 30 pattern
size 14 → 37 pattern
size 15 → 37 pattern
size 16 → 33 pattern
size 17 → 22 pattern
size 18 → 18 pattern
size 19 → 19 pattern
size 20 → 15 pattern
size 21 → 17 pattern
size 22 → 17 pattern
size 23 → 10 pattern
size 24 → 10 pattern
size 25 → 9 pattern
size 26 → 9 pattern
size 27 → 7 pattern
size 28 → 10 pattern
size 29 → 9 pattern
size 30 → 11 pattern
size 31 → 6 pattern
size 32 → 5 pattern
size 33 → 1 pattern
size 34 → 6 pattern
size 35 → 2 pattern
size 36 → 9 pattern
size 37 → 8 pattern
size 38 → 7 pattern
size 39 → 1 pattern
size 40 → 6 pattern
size 41 → 5 pattern
size 42 → 1 pattern
size 44 → 3 pattern
size 45 → 1 pattern
size 46 → 2 pattern
size 47 → 2 pattern
size 48 → 2 pattern
size 49 → 2 pattern
size 50 → 1 pattern
size 51 → 3 pattern
size 52 → 1 pattern
size 53 → 6 pattern
size 54 → 6 pattern
size 55 → 2 pattern
size 56 → 1 pattern
size 57 → 2 pattern
size 58 → 1 pattern
size 60 → 1 pattern
size 61 → 4 pattern
size 62 → 1 pattern
size 64 → 2 pattern
size 65 → 1 pattern
size 66 → 2 pattern
size 70 → 2 pattern
size 71 → 3 pattern
size 72 → 1 pattern
size 73 → 1 pattern
size 77 → 1 pattern
size 79 → 1 pattern
size 82 → 1 pattern
size 84 → 1 pattern
size 85 → 1 pattern
size 88 → 1 pattern
size 89 → 1 pattern
size 92 → 1 pattern
size 93 → 1 pattern
size 94 → 1 pattern
size 97 → 1 pattern
size 98 → 1 pattern
size 99 → 1 pattern
size 100 → 1 pattern
size 102 → 3 pattern
size 104 → 1 pattern
size 105 → 1 pattern
size 106 → 1 pattern
size 107 → 1 pattern
size 109 → 1 pattern
size 112 → 1 pattern
size 113 → 1 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 117 → 1 pattern
size 118 → 2 pattern
size 119 → 2 pattern
size 124 → 1 pattern
size 126 → 2 pattern
size 130 → 2 pattern
size 131 → 1 pattern
size 135 → 1 pattern
size 137 → 2 pattern
size 139 → 2 pattern
size 140 → 1 pattern
size 141 → 1 pattern
size 147 → 1 pattern
size 150 → 1 pattern
size 151 → 2 pattern
size 179 → 1 pattern
size 193 → 1 pattern
size 210 → 1 pattern
size 215 → 1 pattern
size 217 → 1 pattern
size 414 → 1 pattern
size 426 → 1 pattern
size 535 → 1 pattern
size 577 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 1029

size 2 → 722 pattern
size 4 → 94 pattern
size 6 → 30 pattern
size 8 → 26 pattern
size 10 → 14 pattern
size 12 → 14 pattern
size 14 → 15 pattern
