
=== GRAPH INFO ===
Nodi: 21714
Archi: 61566
Duration (sec): 182298756 = 5y in interval [1580918267, 1763217023]
Delta (sec): 182298756 = 5y9m2w


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 3852

size 2 → 1494 pattern
size 3 → 623 pattern
size 4 → 367 pattern
size 5 → 258 pattern
size 6 → 179 pattern
size 7 → 127 pattern
size 8 → 98 pattern
size 9 → 70 pattern
size 10 → 60 pattern
size 11 → 46 pattern
size 12 → 57 pattern
size 13 → 34 pattern
size 14 → 28 pattern
size 15 → 34 pattern
size 16 → 22 pattern
size 17 → 14 pattern
size 18 → 16 pattern
size 19 → 15 pattern
size 20 → 15 pattern
size 21 → 19 pattern
size 22 → 13 pattern
size 23 → 7 pattern
size 24 → 10 pattern
size 25 → 8 pattern
size 26 → 7 pattern
size 27 → 8 pattern
size 28 → 6 pattern
size 29 → 7 pattern
size 30 → 4 pattern
size 31 → 10 pattern
size 32 → 5 pattern
size 33 → 1 pattern
size 34 → 5 pattern
size 35 → 4 pattern
size 36 → 5 pattern
size 37 → 7 pattern
size 38 → 4 pattern
size 39 → 5 pattern
size 40 → 4 pattern
size 41 → 2 pattern
size 43 → 4 pattern
size 44 → 2 pattern
size 45 → 4 pattern
size 46 → 2 pattern
size 47 → 5 pattern
size 48 → 2 pattern
size 49 → 2 pattern
size 50 → 2 pattern
size 51 → 1 pattern
size 52 → 1 pattern
size 53 → 2 pattern
size 54 → 2 pattern
size 55 → 1 pattern
size 56 → 3 pattern
size 57 → 3 pattern
size 58 → 3 pattern
size 59 → 1 pattern
size 60 → 4 pattern
size 61 → 2 pattern
size 62 → 1 pattern
size 63 → 3 pattern
size 64 → 2 pattern
size 65 → 1 pattern
size 66 → 2 pattern
size 67 → 1 pattern
size 70 → 2 pattern
size 71 → 1 pattern
size 72 → 2 pattern
size 73 → 1 pattern
size 74 → 1 pattern
size 75 → 1 pattern
size 76 → 4 pattern
size 77 → 1 pattern
size 78 → 1 pattern
size 79 → 3 pattern
size 80 → 1 pattern
size 81 → 1 pattern
size 82 → 2 pattern
size 84 → 2 pattern
size 88 → 4 pattern
size 89 → 1 pattern
size 90 → 1 pattern
size 91 → 1 pattern
size 94 → 1 pattern
size 98 → 1 pattern
size 100 → 2 pattern
size 102 → 1 pattern
size 104 → 1 pattern
size 106 → 1 pattern
size 108 → 2 pattern
size 110 → 1 pattern
size 111 → 2 pattern
size 112 → 1 pattern
size 113 → 2 pattern
size 114 → 1 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 124 → 1 pattern
size 126 → 2 pattern
size 127 → 1 pattern
size 128 → 1 pattern
size 132 → 1 pattern
size 133 → 1 pattern
size 136 → 1 pattern
size 138 → 1 pattern
size 139 → 2 pattern
size 140 → 2 pattern
size 143 → 1 pattern
size 146 → 1 pattern
size 147 → 2 pattern
size 148 → 1 pattern
size 151 → 3 pattern
size 160 → 1 pattern
size 165 → 1 pattern
size 176 → 1 pattern
size 178 → 1 pattern
size 184 → 1 pattern
size 185 → 2 pattern
size 188 → 1 pattern
size 192 → 1 pattern
size 193 → 1 pattern
size 199 → 1 pattern
size 200 → 1 pattern
