=== non-contiguous nft : chains ===
Found 0 chain interruption in 42024 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100000524771658066136810291574007504540382436851477100100347508325030054457380:	1 
100000618852876455496879488814776514643693866530705257696205007131937627621153:	3 
100001026900980721001772353540044709580796303768996811119435702452667891040275:	4 
100001412392732657888064903707417587364790601924513330024243627657968042545609:	1 
100002443636960523153093908483121350791776174730745117359662328356485145064247:	2 
100003890662312973585969516260914700467708058888303383947148113224996415898295:	1 
100007786494516709016350769982192803016902029499445320511646691392500982329667:	1 
100008086878485824013209096438740288907529867129183556900612579042839866058040:	2 
100009896309457166373687507975349509556211702143872372123357088538198653003460:	4 
100010546097771643050145081385056406585215420967124485422940128839453643491476:	1 
100012004936223998868273819187973603185310120981666322192033117769713180346087:	1 
100012297285702778429713783136028109344235787386870940425117762295113654346978:	2 
100012661106632303606144399407708840726585649070025206702081056415424632777375:	3 
100016260758702558298407160126237504774799958010154414280312233479652559641666:	1 
100018247831341689256846365852403706902528897260485783751612391154177585501904:	2 
100018410228131291490306102245307220988701145621668905042895979808552158871684:	1 
100021130968298486708153218871711840348994268610339911976839145118729258685339:	4 
100021335964648097458049700385729411842524769620827181488886381449143874419471:	1 
100022836206399686471800736080361106651413228367147634890601878119052604538804:	1 
100029907298409902015404427083459089670090054037600780793217421973140618643860:	1 
100030093910481877381536761852264653158340732935375284122786142997394802388641:	1 
100031276678739116007741307943745191052341550536406613718484351117135934890543:	1 
100033909797842559889823082657348648635178177480096321426712227822100203877183:	3 
100039670813522432841156632294499596780951487066663867299740801183379099813204:	2 
100040565987202558908558601892065798741562890711340673599234339819206385002623:	1 
100054744086687872390698313613920738735073100536926317247711134384359591794593:	1 
100054818417139286049598698180915574933080678924280226457315498571345861886180:	2 
100056690822275733003266055859329272279589323149612530137382247543157326270861:	1 
100064616101390006607234259523980043468892712057176902168990672531301845501034:	2 
100065391532644608689927840584897914660269411453732028874846689889512869609580:	1 
100066461599737426966866263022929341421071146554346342101145495753380052369781:	1 
100067055888918126270063534481735687747126979752838965764521567291653079559799:	1 
100068469923668458373736525751847165229571124498396125646665369324678341265340:	3 
100069189674009161249533838756457698105752733573929428856727277225774657483918:	1 
100075510146862779172904084503293278075906948888823099799826823541896691523272:	1 
100077009529582184924040694535728456267987148976560428284973525868576811418914:	1 
100080788402023544779111133227469448072759782573038011880018219746379262535816:	1 
100086273978507170541368487827131615118883961879397250790170037852422485662689:	2 
100091415725979904533752400740693717499320030260059808466903612658574139895348:	1 
100091657105938982595653513667655254793014797581471160336026932155093154167051:	1 
100095243707284058012191265144455561613108303103127450918986478480306258670175:	2 
10009804342404735131457619344253139034671099302346570530847001730793273002162:	1 
100100188272730371315934486197410971839942717893164144143252408056380879541870:	1 
100103701559262158608993616378095390483917686631432949552563417994446862117918:	1 
100105840900126541455271143474342609520943242484297403593988898837684322451887:	3 
100107427215382895699897353135291124609972837813942694384223017527255576689187:	1 
100108289425087585791377908666328737871988064165505634816750216455028883304637:	2 
100111615082865104227778406750917382847955292211376816798232154374528021664617:	1 
100113124708657503717316366198898931879807157998567973953216982606817091571152:	2 
100113240262664484002045271657023577574343644232743721226637205806107020272134:	2 
100118490930367816690356028619029745324595664105484715811321129053743875669655:	9 
100118898176852143140729902100577225914501626085638004822579306808580257024635:	2 
100123789699009328257537800777409522482537418866384317443617606883446438665867:	2 
100128024150335263073087292061116646072003096717296107272530270161498723990015:	1 
10012821174111656904853714189421742724559226536688109455801612152861229040556:	3 
100129740139821084585144434836919234752367896396780785734348642824471111614311:	1 
100134692449950977788943491689612617764190056606389258223789147387833199460933:	1 
100137425424839879155448790739469652447308582951066883135049613964301759318654:	4 
100143526916640225944238015196906452836598135629779424040320223102464199536108:	2 
100143644899240275519168402144819029069059237979698380596737804692925152133221:	3 
1001479269061603173453837668109417569435091152413724725598674181650911319105:	2 
100154218147001504368044903435167550482838418664165267868221544881117343044771:	2 
1001577872907649592612343967010290999539841859189074451323388345388639938200:	2 
100166118572788810310144147907132371829527150576836288167995786974992562516009:	1 
100179029542758618373110170125363583749258005068295929266787970776216489575046:	1 
100179665417192856537896837988726157913065649719002554309658766028663900253491:	1 
100188072381072738767368339226989234561354244025312049069133260432756200608925:	1 
100188589030800467247516498863406852702928555695486110001465219906397599027990:	1 
10018992981324727374628696489321224807939450561518781586012634265753221327501:	1 
10019279179246348608677340918487257088462352498600594134218494688455364889539:	2 
100198512289085307328339227556288630382443343809572391932671725170621197091336:	1 
100199249336168875566614197856211312033024546702359625852919531186099225350070:	3 
100201075347805208172068591885527037704299059681891119364857149038274909544747:	1 
100202870028445582509280762445709477102792112133293103868691015538616613703025:	1 
100208170373986350047500902507612374785114992576749510701691729209965474084286:	2 
100208458733888968903514991802418085215698194698138974488827374305415730678982:	1 
100209921855964837736518159993087213876447497887003028604976796499892649262144:	1 
1002111918113393637535405976761921897819761386760340035645810287762565671577:	1 
100211657926522859545662155594028880053633782146665160668331256207559472726573:	1 
100215992758015894340288601518998093730995683175162199795199552953265742974981:	3 
100218293340668964489159742793925391220722140431302311016335951993388690742159:	2 
100219392721134044796393075069078598306499668237462057987047753554489315333181:	1 
100223047911925755464833366768445932939656368474378831760375973739935521175923:	1 
100247121689830750641028583932534334192594784565089884089974822179241438142861:	1 
100247759266252818269462910470427030680300792626285428835999552355129607226648:	1 
100252041948268885245459918050015140757543940334594334112224028058719323511763:	1 
100254484696734297646630037726056890463755376025106621844580109573911326825908:	2 
100255614023001279547707197065470477110751807334075834218426424262429295599464:	1 
100257545835582303910286123422661396625845834506506858490046396697775632686163:	1 
100258461969731126405849207811062505166163183575730247006195580475257921588670:	1 
100258830881338964175091062473715048489635914195810413742897751437995564119186:	1 
100260108454747508185980132385738888465353865351865547349190898429635361950706:	4 
10026291865029105583720564644145650139953346322973573143608002491815283993832:	1 
100267185869348893933089207430183606052924255100346603333621997310990491722315:	1 
100271491739078710533047296244729708962954830548788233911692938834130290233885:	1 
10027269882374063152083924012487553669510647607304740480327593687247302760220:	1 
