k,aiA,dE,dL,dN,sbL
1,0,0,0,0,0
2,0.9003,0.7521,0.9140,0.7388,0.9315
4,0.9876,0.9041,0.9767,0.9231,0.9822
6,0.9981,0.9585,0.9904,0.9690,0.9911
8,0.9998,0.9853,0.9956,0.9975,0.9928
10,1.0000,0.9917,0.9968,1.0000,0.9950
12,1.0000,0.9954,0.9972,-1,0.9955
16,-1,0.9982,0.9984,-1,0.9961
18,-1,0.9991,0.9992,-1,0.9983
22,-1,-1,-1,-1,0.9994
24,-1,1.0000,-1,-1,-1
28,-1,-1,0.9996,-1,-1
32,-1,-1,-1,-1,1.0000
38,-1,-1,1.0000,-1,-1
12,0,-1,-1,-1,-1
24,-1,0,-1,-1,-1
38,-1,-1,0,-1,-1
10,-1,-1,-1,0,-1
32,-1,-1,-1,-1,0
