k,aiA,dE,dL,dN,sbL
1,0,0,0,0,0
2,0.4824,0.5455,0.3900,0.5119,0.3822
3,0.7606,0.7408,0.4998,0.6969,0.5190
4,0.8410,0.8428,0.6346,0.7965,0.6115
5,0.8848,0.8897,0.6737,0.8492,0.6607
6,0.9144,0.9188,0.7246,0.8810,0.6902
7,0.9336,0.9400,0.7418,0.9013,0.7108
8,0.9475,0.9545,0.7710,0.9191,0.7278
9,0.9575,0.9603,0.7966,0.9323,0.8253
10,0.9651,0.9666,0.8173,0.9415,0.8460
11,0.9708,0.9710,0.8266,0.9491,0.8589
12,0.9756,0.9768,0.8511,0.9568,0.8692
13,0.9789,0.9807,0.8583,0.9628,0.8763
14,0.9814,0.9836,0.8663,0.9672,0.8825
15,0.9837,0.9860,0.8752,0.9722,0.8873
16,0.9858,0.9889,0.8866,0.9750,0.8912
17,0.9875,0.9903,0.8895,0.9780,0.8941
18,0.9887,0.9913,0.8963,0.9799,0.9044
19,0.9899,0.9923,0.9006,0.9818,0.9083
20,0.9911,0.9927,0.9126,0.9838,0.9122
21,0.9920,0.9932,0.9165,0.9848,0.9151
22,0.9928,-1,0.9191,0.9855,0.9174
23,0.9936,0.9937,0.9210,0.9868,0.9190
24,0.9942,0.9942,0.9273,0.9881,0.9207
25,0.9946,-1,0.9351,0.9887,0.9224
26,0.9951,-1,0.9383,0.9895,0.9236
27,0.9955,-1,0.9394,0.9904,0.9267
28,0.9958,0.9947,0.9420,0.9909,0.9277
29,0.9960,-1,0.9434,0.9914,0.9291
30,0.9972,0.9952,0.9455,0.9918,0.9300
31,0.9974,0.9961,0.9471,0.9923,0.9314
32,0.9976,0.9971,0.9488,0.9929,0.9323
33,0.9978,-1,0.9496,0.9931,0.9335
34,0.9980,-1,0.9506,0.9932,0.9342
35,0.9981,0.9976,0.9526,0.9936,0.9356
36,0.9982,-1,0.9546,0.9939,0.9541
37,0.9983,0.9981,0.9557,0.9940,0.9563
38,0.9984,0.9985,0.9572,0.9943,0.9578
39,0.9985,-1,0.9581,-1,0.9588
40,0.9986,0.9990,0.9604,0.9948,0.9597
41,0.9987,-1,0.9609,0.9950,0.9603
42,0.9988,-1,0.9618,0.9953,0.9612
43,0.9989,0.9995,0.9622,0.9954,0.9620
44,0.9990,-1,0.9631,0.9956,0.9630
45,0.9991,-1,0.9640,-1,0.9650
46,0.9991,-1,0.9646,-1,0.9659
47,0.9992,-1,0.9649,-1,0.9663
48,0.9992,-1,0.9655,-1,0.9667
49,0.9992,-1,0.9661,0.9958,0.9670
50,0.9993,-1,0.9674,0.9962,0.9677
51,0.9993,-1,0.9677,0.9964,0.9682
52,0.9994,-1,0.9684,-1,0.9685
53,0.9994,-1,0.9690,0.9965,0.9689
54,0.9994,-1,0.9697,0.9967,0.9697
55,0.9994,-1,0.9703,0.9970,0.9702
56,0.9995,-1,0.9711,-1,0.9705
57,0.9995,-1,0.9715,-1,0.9710
58,0.9995,-1,0.9717,0.9972,0.9713
59,0.9995,-1,0.9719,-1,0.9716
60,0.9996,1.0000,0.9734,0.9973,0.9720
61,0.9996,-1,0.9737,0.9975,0.9723
62,0.9996,-1,0.9739,-1,0.9726
63,0.9997,-1,0.9742,0.9976,0.9734
64,0.9997,-1,0.9745,-1,0.9740
65,0.9997,-1,0.9748,-1,0.9745
66,0.9997,-1,0.9751,0.9978,0.9745
67,0.9997,-1,0.9752,-1,0.9748
68,-1,-1,0.9755,-1,0.9749
69,-1,-1,0.9756,-1,0.9750
70,0.9998,-1,0.9760,-1,-1
71,-1,-1,0.9763,0.9980,0.9753
72,0.9998,-1,0.9768,-1,0.9765
73,0.9998,-1,0.9770,-1,0.9771
74,-1,-1,0.9772,-1,0.9772
75,-1,-1,0.9772,-1,0.9775
76,0.9998,-1,0.9774,-1,0.9778
77,-1,-1,0.9775,0.9981,0.9779
78,0.9998,-1,0.9776,-1,0.9782
79,-1,-1,-1,-1,0.9783
80,-1,-1,0.9782,0.9983,0.9785
81,0.9998,-1,0.9784,-1,0.9789
82,-1,-1,0.9788,-1,0.9792
83,0.9998,-1,0.9790,-1,0.9797
84,0.9998,-1,0.9794,-1,0.9799
85,0.9999,-1,0.9796,-1,0.9800
86,-1,-1,-1,-1,0.9801
87,-1,-1,0.9796,-1,0.9803
88,-1,-1,0.9799,-1,0.9804
89,0.9999,-1,0.9801,-1,0.9807
90,0.9999,-1,0.9801,-1,0.9809
91,-1,-1,0.9804,-1,0.9810
92,-1,-1,0.9805,-1,0.9811
93,-1,-1,-1,-1,0.9812
94,-1,-1,0.9807,-1,0.9813
95,0.9999,-1,-1,-1,0.9813
96,-1,-1,0.9810,0.9984,0.9814
97,0.9999,-1,0.9814,-1,-1
98,0.9999,-1,-1,0.9986,0.9815
99,0.9999,-1,0.9816,-1,0.9817
100,0.9999,-1,0.9825,-1,0.9817
101,1.0000,-1,0.9828,-1,0.9818
102,-1,-1,0.9829,-1,0.9821
103,-1,-1,-1,-1,0.9821
105,-1,-1,0.9830,-1,0.9822
106,1.0000,-1,0.9831,-1,0.9822
107,-1,-1,-1,-1,0.9823
108,-1,-1,0.9832,-1,0.9827
109,-1,-1,0.9833,-1,0.9828
110,1.0000,-1,-1,-1,0.9828
111,-1,-1,-1,0.9987,0.9830
112,-1,-1,0.9834,-1,-1
113,-1,-1,0.9835,-1,0.9830
114,1.0000,-1,0.9837,0.9989,0.9831
115,-1,-1,0.9838,-1,0.9832
116,1.0000,-1,-1,-1,0.9833
117,-1,-1,0.9840,-1,-1
118,-1,-1,0.9840,0.9991,0.9833
119,-1,-1,0.9842,-1,0.9834
120,-1,-1,0.9843,-1,0.9835
121,1.0000,-1,0.9844,-1,-1
124,-1,-1,-1,-1,0.9836
125,-1,-1,0.9845,-1,0.9836
126,-1,-1,0.9846,-1,0.9838
127,-1,-1,0.9847,-1,0.9838
129,-1,-1,-1,-1,0.9840
130,-1,-1,-1,-1,0.9840
131,-1,-1,-1,-1,0.9841
132,-1,-1,-1,-1,0.9842
134,-1,-1,-1,0.9992,-1
135,-1,-1,0.9848,-1,0.9842
136,-1,-1,0.9849,-1,0.9843
137,-1,-1,0.9850,-1,0.9843
138,-1,-1,-1,-1,0.9845
139,-1,-1,-1,0.9995,0.9846
140,-1,-1,0.9853,-1,0.9847
141,-1,-1,-1,-1,0.9851
142,-1,-1,0.9855,-1,-1
143,-1,-1,-1,-1,0.9853
144,-1,-1,0.9856,-1,0.9894
145,-1,-1,-1,-1,0.9897
146,-1,-1,-1,-1,0.9901
147,-1,-1,-1,-1,0.9903
148,-1,-1,-1,-1,0.9905
149,-1,-1,-1,-1,0.9908
150,-1,-1,-1,-1,0.9909
151,-1,-1,-1,0.9998,0.9911
152,-1,-1,0.9858,-1,0.9911
153,-1,-1,-1,-1,0.9913
154,-1,-1,0.9858,-1,0.9914
155,-1,-1,0.9859,-1,0.9914
156,-1,-1,0.9861,-1,0.9915
160,-1,-1,0.9865,-1,0.9916
162,1.0000,-1,-1,-1,0.9917
163,-1,-1,0.9867,-1,-1
164,-1,-1,-1,-1,0.9918
165,-1,-1,-1,-1,0.9918
166,-1,-1,-1,-1,0.9919
167,-1,-1,-1,-1,0.9919
168,-1,-1,0.9868,-1,0.9920
169,-1,-1,-1,-1,0.9920
170,-1,-1,-1,-1,0.9921
171,-1,-1,-1,-1,0.9923
174,-1,-1,0.9869,-1,-1
175,-1,-1,-1,1.0000,0.9923
176,-1,-1,0.9870,-1,0.9924
178,-1,-1,0.9870,-1,-1
179,-1,-1,-1,-1,0.9925
180,-1,-1,-1,-1,0.9928
181,-1,-1,0.9871,-1,0.9929
182,-1,-1,-1,-1,0.9931
184,-1,-1,0.9872,-1,-1
185,-1,-1,-1,-1,0.9932
186,-1,-1,-1,-1,0.9934
187,-1,-1,0.9873,-1,-1
188,-1,-1,0.9874,-1,-1
189,-1,-1,-1,-1,0.9934
190,-1,-1,0.9876,-1,0.9935
192,-1,-1,0.9878,-1,-1
195,-1,-1,0.9879,-1,-1
197,-1,-1,0.9879,-1,0.9935
200,-1,-1,-1,-1,0.9936
201,-1,-1,0.9880,-1,-1
203,-1,-1,-1,-1,0.9936
204,-1,-1,0.9881,-1,-1
205,-1,-1,0.9882,-1,-1
206,-1,-1,0.9882,-1,-1
207,-1,-1,0.9883,-1,0.9937
208,-1,-1,0.9884,-1,0.9938
210,-1,-1,-1,-1,0.9939
211,-1,-1,0.9886,-1,-1
212,-1,-1,-1,-1,0.9940
214,-1,-1,-1,-1,0.9941
215,-1,-1,0.9888,-1,-1
216,-1,-1,0.9888,-1,-1
218,-1,-1,0.9889,-1,-1
219,-1,-1,-1,-1,0.9941
220,-1,-1,-1,-1,0.9942
221,-1,-1,-1,-1,0.9943
222,-1,-1,-1,-1,0.9944
224,-1,-1,0.9890,-1,0.9944
231,-1,-1,-1,-1,0.9945
234,-1,-1,0.9891,-1,-1
235,-1,-1,0.9891,-1,0.9945
236,-1,-1,-1,-1,0.9947
240,-1,-1,0.9895,-1,-1
241,-1,-1,0.9896,-1,-1
242,-1,-1,-1,-1,0.9948
243,-1,-1,0.9897,-1,0.9948
244,-1,-1,-1,-1,0.9949
245,-1,-1,0.9897,-1,-1
248,-1,-1,0.9898,-1,-1
252,-1,-1,-1,-1,0.9949
254,-1,-1,-1,-1,0.9950
256,-1,-1,-1,-1,0.9950
258,-1,-1,-1,-1,0.9951
260,-1,-1,0.9900,-1,-1
262,-1,-1,0.9900,-1,-1
263,-1,-1,-1,-1,0.9952
265,-1,-1,-1,-1,0.9953
267,-1,-1,0.9901,-1,-1
281,-1,-1,0.9902,-1,-1
285,-1,-1,0.9903,-1,-1
286,-1,-1,0.9903,-1,-1
287,-1,-1,0.9904,-1,-1
288,-1,-1,-1,-1,0.9954
292,-1,-1,0.9905,-1,-1
294,-1,-1,0.9906,-1,-1
301,-1,-1,-1,-1,0.9955
306,-1,-1,0.9906,-1,-1
307,-1,-1,0.9907,-1,-1
308,-1,-1,0.9908,-1,-1
309,-1,-1,0.9909,-1,-1
310,-1,-1,0.9909,-1,-1
314,-1,-1,-1,-1,0.9956
315,-1,-1,0.9910,-1,0.9957
317,-1,-1,0.9911,-1,0.9957
320,-1,-1,0.9912,-1,-1
322,-1,-1,0.9913,-1,-1
324,-1,-1,0.9914,-1,0.9958
325,-1,-1,0.9915,-1,-1
326,-1,-1,0.9915,-1,0.9958
327,-1,-1,-1,-1,0.9959
329,-1,-1,0.9916,-1,-1
333,-1,-1,0.9917,-1,0.9960
334,-1,-1,0.9918,-1,-1
341,-1,-1,-1,-1,0.9960
342,-1,-1,-1,-1,0.9961
349,-1,-1,-1,-1,0.9962
350,-1,-1,0.9918,-1,-1
352,-1,-1,0.9919,-1,-1
359,-1,-1,0.9920,-1,-1
360,-1,-1,0.9922,-1,-1
364,-1,-1,-1,-1,0.9962
370,-1,-1,0.9923,-1,-1
374,-1,-1,-1,-1,0.9963
375,-1,-1,0.9924,-1,-1
380,-1,-1,0.9925,-1,-1
389,-1,-1,-1,-1,0.9963
390,-1,-1,0.9926,-1,-1
396,-1,-1,-1,-1,0.9964
400,-1,-1,0.9927,-1,-1
405,-1,-1,0.9928,-1,-1
406,-1,-1,0.9929,-1,-1
413,-1,-1,-1,-1,0.9964
414,-1,-1,0.9930,-1,-1
415,-1,-1,0.9930,-1,-1
416,-1,-1,0.9931,-1,-1
418,-1,-1,0.9932,-1,0.9965
420,-1,-1,0.9933,-1,-1
423,-1,-1,-1,-1,0.9965
428,-1,-1,0.9933,-1,-1
440,-1,-1,0.9934,-1,-1
452,-1,-1,0.9935,-1,-1
454,-1,-1,0.9936,-1,-1
460,-1,-1,0.9937,-1,-1
464,-1,-1,-1,-1,0.9966
468,-1,-1,-1,-1,0.9967
473,-1,-1,0.9938,-1,-1
495,-1,-1,0.9939,-1,-1
503,-1,-1,-1,-1,0.9967
512,-1,-1,-1,-1,0.9968
525,-1,-1,0.9939,-1,-1
540,-1,-1,0.9940,-1,-1
546,-1,-1,0.9941,-1,-1
560,-1,-1,0.9942,-1,-1
561,-1,-1,0.9943,-1,-1
563,-1,-1,-1,-1,0.9968
568,-1,-1,0.9944,-1,-1
575,-1,-1,-1,-1,0.9969
576,-1,-1,-1,-1,0.9980
577,-1,-1,-1,-1,0.9981
580,-1,-1,0.9945,-1,-1
585,-1,-1,-1,-1,0.9982
590,-1,-1,0.9946,-1,-1
597,-1,-1,-1,-1,0.9983
600,-1,-1,0.9947,-1,-1
608,-1,-1,-1,-1,0.9983
609,-1,-1,-1,-1,0.9984
612,-1,-1,-1,-1,0.9985
620,-1,-1,-1,-1,0.9986
624,-1,-1,0.9948,-1,-1
632,-1,-1,0.9948,-1,-1
637,-1,-1,0.9949,-1,-1
648,-1,-1,-1,-1,0.9987
650,-1,-1,-1,-1,0.9987
660,-1,-1,0.9951,-1,-1
680,-1,-1,0.9951,-1,-1
691,-1,-1,-1,-1,0.9988
696,-1,-1,0.9952,-1,-1
711,-1,-1,-1,-1,0.9988
719,-1,-1,0.9953,-1,-1
729,-1,-1,-1,-1,0.9989
730,-1,-1,0.9954,-1,-1
735,-1,-1,0.9954,-1,-1
740,-1,-1,0.9956,-1,-1
