k,aiA,dE,dL,dN,sbL
1,0,0,0,0,0
2,0.9970,0.8866,0.9261,0.9953,0.9069
3,1.0000,0.9801,0.9821,0.9994,0.9760
4,-1,0.9986,0.9979,1.0000,0.9867
5,-1,0.9995,0.9986,-1,0.9876
6,-1,1.0000,0.9990,-1,0.9998
8,-1,-1,0.9990,-1,-1
10,-1,-1,0.9992,-1,-1
12,-1,-1,0.9993,-1,-1
13,-1,-1,0.9994,-1,-1
14,-1,-1,0.9995,-1,-1
16,-1,-1,0.9996,-1,0.9999
17,-1,-1,0.9997,-1,-1
18,-1,-1,-1,-1,1.0000
20,-1,-1,0.9998,-1,-1
30,-1,-1,0.9999,-1,-1
51,-1,-1,1.0000,-1,-1
3,0,-1,-1,-1,-1
6,-1,0,-1,-1,-1
51,-1,-1,0,-1,-1
4,-1,-1,-1,0,-1
18,-1,-1,-1,-1,0
