k,aiA,dE,dL,dN,sbL
1,0,0,0,0,0
2,36463,816,2274,1191,1672
3,0,0,0,0,0
4,3536,165,156,297,91
5,0,0,0,0,0
6,429,59,34,74,16
7,0,0,0,0,0
8,66,29,13,46,3
9,0,0,0,0,0
10,7,7,3,4,4
11,0,0,0,0,0
12,2,4,1,0,1
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,3,3,0,1
17,0,0,0,0,0
18,0,1,2,0,4
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,2
23,0,0,0,0,0
24,0,1,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,1,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,1
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,1,0,0
