k,aiA,dE,dL,dN,sbL
2,62271,1128,5206,3258,6859
3,35923,404,1466,1177,2456
4,10376,211,1800,634,1661
5,5652,97,522,335,882
6,3827,60,680,203,530
7,2480,44,229,129,369
8,1791,30,390,113,305
9,1294,12,342,84,1751
10,979,13,276,59,371
11,728,9,124,48,232
12,620,12,327,49,184
13,427,8,96,38,127
14,333,6,107,28,112
15,290,5,119,32,86
16,271,6,152,18,71
17,222,3,39,19,51
18,156,2,90,12,186
19,157,2,58,12,69
20,157,1,160,13,70
21,108,1,52,6,52
22,106,0,35,5,41
23,104,1,26,8,30
24,75,1,84,8,29
25,59,0,104,4,31
26,60,0,42,5,22
27,52,0,15,6,55
28,38,1,35,3,19
29,31,0,19,3,25
30,144,1,28,3,16
31,28,2,21,3,24
32,31,2,22,4,17
33,21,0,11,1,21
34,23,0,14,1,13
35,16,1,26,2,25
36,11,0,27,2,333
37,13,1,14,1,39
38,14,1,21,2,27
39,16,0,12,0,18
40,16,1,31,3,15
41,11,0,6,1,11
42,10,0,12,2,16
43,12,1,6,1,15
44,10,0,12,1,18
45,13,0,12,0,36
46,7,0,7,0,16
47,8,0,4,0,8
48,6,0,9,0,7
49,3,0,7,1,4
50,5,0,18,3,13
51,5,0,4,1,10
52,5,0,9,0,5
53,1,0,8,1,6
54,8,0,10,1,16
55,1,0,7,2,9
56,2,0,11,0,4
57,2,0,5,0,9
58,2,0,3,1,6
59,1,0,3,0,6
60,15,1,20,1,7
61,1,0,4,1,4
62,1,0,3,0,7
63,3,0,3,1,13
64,3,0,4,0,11
65,1,0,5,0,9
66,2,0,3,1,1
67,5,0,2,0,4
68,0,0,4,0,3
69,0,0,1,0,1
70,2,0,6,0,0
71,0,0,4,1,5
72,2,0,6,0,23
73,1,0,3,0,10
74,0,0,2,0,2
75,0,0,1,0,6
76,1,0,2,0,4
77,0,0,1,1,3
78,2,0,2,0,4
79,0,0,0,0,2
80,0,0,8,1,5
81,2,0,3,0,7
82,0,0,5,0,5
83,2,0,3,0,8
84,2,0,5,0,4
85,2,0,2,0,2
86,0,0,0,0,2
87,0,0,1,0,4
88,0,0,3,0,1
89,1,0,3,0,6
90,4,0,1,0,3
91,0,0,3,0,2
92,0,0,2,0,2
93,0,0,0,0,1
94,0,0,3,0,2
95,1,0,0,0,1
96,0,0,4,1,1
97,2,0,5,0,0
98,1,0,0,1,2
99,1,0,3,0,3
100,1,0,12,0,1
101,1,0,3,0,1
102,0,0,2,0,5
103,0,0,0,0,1
105,0,0,1,0,1
106,1,0,1,0,1
107,0,0,0,0,1
108,0,0,2,0,7
109,0,0,1,0,2
110,1,0,0,0,1
111,0,0,0,1,2
112,0,0,2,0,0
113,0,0,1,0,1
114,1,0,2,1,2
115,0,0,2,0,2
116,1,0,0,0,1
117,0,0,2,0,0
118,0,0,1,1,1
119,0,0,2,0,1
120,0,0,2,0,1
121,1,0,1,0,0
124,0,0,0,0,2
125,0,0,1,0,1
126,0,0,1,0,3
127,0,0,2,0,1
129,0,0,0,0,2
130,0,0,0,0,1
131,0,0,0,0,2
132,0,0,0,0,1
134,0,0,0,1,0
135,0,0,1,0,1
136,0,0,1,0,1
137,0,0,2,0,1
138,0,0,0,0,2
139,0,0,0,2,2
140,0,0,4,0,3
141,0,0,0,0,6
142,0,0,3,0,0
143,0,0,0,0,5
144,0,0,1,0,73
145,0,0,0,0,6
146,0,0,0,0,7
147,0,0,0,0,3
148,0,0,0,0,4
149,0,0,0,0,4
150,0,0,0,0,2
151,0,0,0,2,4
152,0,0,2,0,1
153,0,0,0,0,2
154,0,0,1,0,2
155,0,0,1,0,1
156,0,0,3,0,1
160,0,0,5,0,3
162,1,0,0,0,1
163,0,0,2,0,0
164,0,0,0,0,1
165,0,0,0,0,1
166,0,0,0,0,1
167,0,0,0,0,1
168,0,0,2,0,1
169,0,0,0,0,1
170,0,0,0,0,1
171,0,0,0,0,3
174,0,0,1,0,0
175,0,0,0,1,1
176,0,0,1,0,2
178,0,0,1,0,0
179,0,0,0,0,1
180,0,0,0,0,6
181,0,0,1,0,2
182,0,0,0,0,3
184,0,0,1,0,0
185,0,0,0,0,2
186,0,0,0,0,3
187,0,0,1,0,0
188,0,0,2,0,0
189,0,0,0,0,1
190,0,0,3,0,1
192,0,0,2,0,0
195,0,0,1,0,0
197,0,0,1,0,1
200,0,0,0,0,1
201,0,0,1,0,0
203,0,0,0,0,1
204,0,0,1,0,0
205,0,0,1,0,0
206,0,0,1,0,0
207,0,0,1,0,1
208,0,0,1,0,2
210,0,0,0,0,2
211,0,0,3,0,0
212,0,0,0,0,2
214,0,0,0,0,1
215,0,0,2,0,0
216,0,0,1,0,0
218,0,0,1,0,0
219,0,0,0,0,1
220,0,0,0,0,1
221,0,0,0,0,2
222,0,0,0,0,1
224,0,0,1,0,1
231,0,0,0,0,1
234,0,0,1,0,0
235,0,0,1,0,1
236,0,0,0,0,3
240,0,0,5,0,0
241,0,0,1,0,0
242,0,0,0,0,1
243,0,0,1,0,1
244,0,0,0,0,1
245,0,0,1,0,0
248,0,0,1,0,0
252,0,0,0,0,1
254,0,0,0,0,1
256,0,0,0,0,1
258,0,0,0,0,1
260,0,0,2,0,0
262,0,0,1,0,0
263,0,0,0,0,2
265,0,0,0,0,1
267,0,0,1,0,0
281,0,0,1,0,0
285,0,0,1,0,0
286,0,0,1,0,0
287,0,0,1,0,0
288,0,0,0,0,3
292,0,0,1,0,0
294,0,0,1,0,0
301,0,0,0,0,2
306,0,0,1,0,0
307,0,0,1,0,0
308,0,0,1,0,0
309,0,0,1,0,0
310,0,0,1,0,0
314,0,0,0,0,1
315,0,0,1,0,1
317,0,0,1,0,1
320,0,0,2,0,0
322,0,0,1,0,0
324,0,0,1,0,1
325,0,0,1,0,0
326,0,0,1,0,1
327,0,0,0,0,1
329,0,0,1,0,0
333,0,0,1,0,2
334,0,0,1,0,0
341,0,0,0,0,1
342,0,0,0,0,1
349,0,0,0,0,1
350,0,0,1,0,0
352,0,0,1,0,0
359,0,0,1,0,0
360,0,0,3,0,0
364,0,0,0,0,1
370,0,0,1,0,0
374,0,0,0,0,1
375,0,0,1,0,0
380,0,0,2,0,0
389,0,0,0,0,1
390,0,0,1,0,0
396,0,0,0,0,1
400,0,0,1,0,0
405,0,0,2,0,0
406,0,0,1,0,0
413,0,0,0,0,1
414,0,0,1,0,0
415,0,0,1,0,0
416,0,0,1,0,0
418,0,0,1,0,1
420,0,0,1,0,0
423,0,0,0,0,1
428,0,0,1,0,0
440,0,0,1,0,0
452,0,0,1,0,0
454,0,0,2,0,0
460,0,0,1,0,0
464,0,0,0,0,1
468,0,0,0,0,1
473,0,0,1,0,0
495,0,0,1,0,0
503,0,0,0,0,1
512,0,0,0,0,1
525,0,0,1,0,0
540,0,0,1,0,0
546,0,0,1,0,0
560,0,0,1,0,0
561,0,0,2,0,0
563,0,0,0,0,1
568,0,0,1,0,0
575,0,0,0,0,1
576,0,0,0,0,21
577,0,0,0,0,1
580,0,0,2,0,0
585,0,0,0,0,2
590,0,0,1,0,0
597,0,0,0,0,1
600,0,0,1,0,0
608,0,0,0,0,1
609,0,0,0,0,1
612,0,0,0,0,2
620,0,0,0,0,1
624,0,0,1,0,0
632,0,0,1,0,0
637,0,0,1,0,0
648,0,0,0,0,2
650,0,0,0,0,1
660,0,0,2,0,0
680,0,0,1,0,0
691,0,0,0,0,1
696,0,0,1,0,0
711,0,0,0,0,1
719,0,0,1,0,0
729,0,0,0,0,1
730,0,0,1,0,0
735,0,0,1,0,0
740,0,0,2,0,0
756,0,0,0,0,1
758,0,0,1,0,0
771,0,0,1,0,0
777,0,0,1,0,0
792,0,0,0,0,1
800,0,0,0,0,1
802,0,0,0,0,1
805,0,0,0,0,1
819,0,0,0,0,1
821,0,0,1,0,0
844,0,0,1,0,0
850,0,0,1,0,0
861,0,0,1,0,0
871,0,0,0,0,1
876,0,0,0,0,1
881,0,0,1,0,0
885,0,0,1,0,0
890,0,0,1,0,0
895,0,0,1,0,0
897,0,0,1,0,0
918,0,0,0,0,1
920,0,0,1,0,0
930,0,0,1,0,0
940,0,0,1,0,0
952,0,0,1,0,0
956,0,0,1,0,0
975,0,0,1,0,0
980,0,0,1,0,0
1031,0,0,1,0,0
1054,0,0,1,0,0
1085,0,0,1,0,0
1100,0,0,2,0,0
1120,0,0,1,0,0
1140,0,0,3,0,0
1152,0,0,0,0,1
1158,0,0,0,0,1
1180,0,0,1,0,0
1181,0,0,1,0,0
1211,0,0,0,0,1
1220,0,0,2,0,0
1231,0,0,1,0,0
1280,0,0,1,0,0
1285,0,0,0,0,1
1290,0,0,1,0,0
1300,0,0,1,0,0
1311,0,0,1,0,0
1326,0,0,1,0,0
1345,0,0,1,0,0
1360,0,0,1,0,0
1380,0,0,1,0,0
1404,0,0,0,0,1
1405,0,0,1,0,0
1460,0,0,1,0,0
1467,0,0,1,0,0
1488,0,0,1,0,0
1588,0,0,1,0,0
1622,0,0,0,0,1
1638,0,0,1,0,0
1680,0,0,1,0,0
1697,0,0,0,0,1
1732,0,0,1,0,0
1744,0,0,1,0,0
1844,0,0,1,0,0
1935,0,0,1,0,0
1940,0,0,1,0,0
1960,0,0,1,0,0
1996,0,0,2,0,0
2000,0,0,1,0,0
2080,0,0,1,0,0
2482,0,0,0,0,1
2508,0,0,1,0,0
2534,0,0,0,0,1
3262,0,0,0,0,1
45176,0,0,0,0,1
