
=== GRAPH INFO ===
Nodi: 38385
Archi: 311169
Duration (sec): 119892542 = 3y in interval [1643391657, 1763284199]
Delta (sec): 120 = 2min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 20497

size 2 → 8403 pattern
size 3 → 3074 pattern
size 4 → 1903 pattern
size 5 → 833 pattern
size 6 → 540 pattern
size 7 → 364 pattern
size 8 → 312 pattern
size 9 → 1956 pattern
size 10 → 335 pattern
size 11 → 183 pattern
size 12 → 167 pattern
size 13 → 94 pattern
size 14 → 100 pattern
size 15 → 76 pattern
size 16 → 80 pattern
size 17 → 44 pattern
size 18 → 239 pattern
size 19 → 74 pattern
size 20 → 165 pattern
size 21 → 41 pattern
size 22 → 33 pattern
size 23 → 29 pattern
size 24 → 24 pattern
size 25 → 33 pattern
size 26 → 21 pattern
size 27 → 72 pattern
size 28 → 12 pattern
size 29 → 19 pattern
size 30 → 27 pattern
size 31 → 17 pattern
size 32 → 11 pattern
size 33 → 17 pattern
size 34 → 12 pattern
size 35 → 18 pattern
size 36 → 351 pattern
size 37 → 32 pattern
size 38 → 27 pattern
size 39 → 14 pattern
size 40 → 70 pattern
size 41 → 12 pattern
size 42 → 10 pattern
size 43 → 11 pattern
size 44 → 11 pattern
size 45 → 39 pattern
size 46 → 9 pattern
size 47 → 7 pattern
size 48 → 13 pattern
size 49 → 6 pattern
size 50 → 25 pattern
size 51 → 13 pattern
size 52 → 3 pattern
size 53 → 7 pattern
size 54 → 23 pattern
size 55 → 6 pattern
size 56 → 6 pattern
size 57 → 6 pattern
size 58 → 3 pattern
size 59 → 7 pattern
size 60 → 20 pattern
size 61 → 3 pattern
size 62 → 1 pattern
size 63 → 12 pattern
size 64 → 4 pattern
size 65 → 3 pattern
size 66 → 7 pattern
size 67 → 3 pattern
size 68 → 2 pattern
size 70 → 2 pattern
size 71 → 3 pattern
size 72 → 32 pattern
size 73 → 5 pattern
size 74 → 6 pattern
size 75 → 3 pattern
size 76 → 2 pattern
size 77 → 2 pattern
size 78 → 3 pattern
size 79 → 1 pattern
size 80 → 3 pattern
size 81 → 4 pattern
size 82 → 5 pattern
size 83 → 15 pattern
size 84 → 5 pattern
size 85 → 2 pattern
size 86 → 2 pattern
size 87 → 2 pattern
size 88 → 1 pattern
size 89 → 7 pattern
size 90 → 6 pattern
size 91 → 1 pattern
size 93 → 2 pattern
size 94 → 3 pattern
size 96 → 2 pattern
size 98 → 2 pattern
size 99 → 3 pattern
size 100 → 8 pattern
size 101 → 1 pattern
size 102 → 2 pattern
size 103 → 1 pattern
size 104 → 1 pattern
size 105 → 2 pattern
size 108 → 5 pattern
size 110 → 1 pattern
size 111 → 1 pattern
size 113 → 1 pattern
size 114 → 2 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 117 → 2 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 120 → 1 pattern
size 122 → 2 pattern
size 125 → 1 pattern
size 129 → 1 pattern
size 131 → 3 pattern
size 132 → 1 pattern
size 133 → 3 pattern
size 135 → 1 pattern
size 136 → 1 pattern
size 139 → 1 pattern
size 144 → 81 pattern
size 145 → 2 pattern
size 146 → 3 pattern
size 147 → 1 pattern
