
=== GRAPH INFO ===
Nodi: 38385
Archi: 311169
Duration (sec): 119892542 = 3y in interval [1643391657, 1763284199]
Delta (sec): 8907 = 2h28min27s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 17948

size 2 → 6859 pattern
size 3 → 2456 pattern
size 4 → 1661 pattern
size 5 → 882 pattern
size 6 → 530 pattern
size 7 → 369 pattern
size 8 → 305 pattern
size 9 → 1751 pattern
size 10 → 371 pattern
size 11 → 232 pattern
size 12 → 184 pattern
size 13 → 127 pattern
size 14 → 112 pattern
size 15 → 86 pattern
size 16 → 71 pattern
size 17 → 51 pattern
size 18 → 186 pattern
size 19 → 69 pattern
size 20 → 70 pattern
size 21 → 52 pattern
size 22 → 41 pattern
size 23 → 30 pattern
size 24 → 29 pattern
size 25 → 31 pattern
size 26 → 22 pattern
size 27 → 55 pattern
size 28 → 19 pattern
size 29 → 25 pattern
size 30 → 16 pattern
size 31 → 24 pattern
size 32 → 17 pattern
size 33 → 21 pattern
size 34 → 13 pattern
size 35 → 25 pattern
size 36 → 333 pattern
size 37 → 39 pattern
size 38 → 27 pattern
size 39 → 18 pattern
size 40 → 15 pattern
size 41 → 11 pattern
size 42 → 16 pattern
size 43 → 15 pattern
size 44 → 18 pattern
size 45 → 36 pattern
size 46 → 16 pattern
size 47 → 8 pattern
size 48 → 7 pattern
size 49 → 4 pattern
size 50 → 13 pattern
size 51 → 10 pattern
size 52 → 5 pattern
size 53 → 6 pattern
size 54 → 16 pattern
size 55 → 9 pattern
size 56 → 4 pattern
size 57 → 9 pattern
size 58 → 6 pattern
size 59 → 6 pattern
size 60 → 7 pattern
size 61 → 4 pattern
size 62 → 7 pattern
size 63 → 13 pattern
size 64 → 11 pattern
size 65 → 9 pattern
size 66 → 1 pattern
size 67 → 4 pattern
size 68 → 3 pattern
size 69 → 1 pattern
size 71 → 5 pattern
size 72 → 23 pattern
size 73 → 10 pattern
size 74 → 2 pattern
size 75 → 6 pattern
size 76 → 4 pattern
size 77 → 3 pattern
size 78 → 4 pattern
size 79 → 2 pattern
size 80 → 5 pattern
size 81 → 7 pattern
size 82 → 5 pattern
size 83 → 8 pattern
size 84 → 4 pattern
size 85 → 2 pattern
size 86 → 2 pattern
size 87 → 4 pattern
size 88 → 1 pattern
size 89 → 6 pattern
size 90 → 3 pattern
size 91 → 2 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 95 → 1 pattern
size 96 → 1 pattern
size 98 → 2 pattern
size 99 → 3 pattern
size 100 → 1 pattern
size 101 → 1 pattern
size 102 → 5 pattern
size 103 → 1 pattern
size 105 → 1 pattern
size 106 → 1 pattern
size 107 → 1 pattern
size 108 → 7 pattern
size 109 → 2 pattern
size 110 → 1 pattern
size 111 → 2 pattern
size 113 → 1 pattern
size 114 → 2 pattern
size 115 → 2 pattern
size 116 → 1 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 120 → 1 pattern
size 124 → 2 pattern
size 125 → 1 pattern
size 126 → 3 pattern
size 127 → 1 pattern
size 129 → 2 pattern
size 130 → 1 pattern
size 131 → 2 pattern
size 132 → 1 pattern
size 135 → 1 pattern
size 136 → 1 pattern
