
=== GRAPH INFO ===
Nodi: 38385
Archi: 311169
Duration (sec): 119892542 = 3y in interval [1643391657, 1763284199]
Delta (sec): 718482 = 1w1d7h34min42s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 16778

size 2 → 6609 pattern
size 3 → 2426 pattern
size 4 → 1551 pattern
size 5 → 825 pattern
size 6 → 458 pattern
size 7 → 316 pattern
size 8 → 268 pattern
size 9 → 1524 pattern
size 10 → 350 pattern
size 11 → 229 pattern
size 12 → 171 pattern
size 13 → 126 pattern
size 14 → 103 pattern
size 15 → 72 pattern
size 16 → 60 pattern
size 17 → 48 pattern
size 18 → 164 pattern
size 19 → 69 pattern
size 20 → 56 pattern
size 21 → 41 pattern
size 22 → 34 pattern
size 23 → 25 pattern
size 24 → 27 pattern
size 25 → 31 pattern
size 26 → 18 pattern
size 27 → 46 pattern
size 28 → 18 pattern
size 29 → 25 pattern
size 30 → 20 pattern
size 31 → 15 pattern
size 32 → 15 pattern
size 33 → 15 pattern
size 34 → 10 pattern
size 35 → 16 pattern
size 36 → 298 pattern
size 37 → 37 pattern
size 38 → 18 pattern
size 39 → 17 pattern
size 40 → 12 pattern
size 41 → 6 pattern
size 42 → 9 pattern
size 43 → 8 pattern
size 44 → 15 pattern
size 45 → 40 pattern
size 46 → 11 pattern
size 47 → 7 pattern
size 48 → 10 pattern
size 49 → 3 pattern
size 50 → 10 pattern
size 51 → 9 pattern
size 52 → 3 pattern
size 53 → 6 pattern
size 54 → 9 pattern
size 55 → 8 pattern
size 56 → 5 pattern
size 57 → 7 pattern
size 58 → 1 pattern
size 59 → 3 pattern
size 60 → 7 pattern
size 61 → 2 pattern
size 62 → 3 pattern
size 63 → 15 pattern
size 64 → 9 pattern
size 65 → 6 pattern
size 66 → 1 pattern
size 67 → 1 pattern
size 68 → 2 pattern
size 69 → 1 pattern
size 71 → 5 pattern
size 72 → 18 pattern
size 73 → 8 pattern
size 74 → 5 pattern
size 75 → 2 pattern
size 76 → 1 pattern
size 77 → 5 pattern
size 78 → 4 pattern
size 79 → 1 pattern
size 80 → 3 pattern
size 81 → 6 pattern
size 82 → 5 pattern
size 83 → 4 pattern
size 84 → 3 pattern
size 85 → 2 pattern
size 86 → 1 pattern
size 87 → 4 pattern
size 88 → 2 pattern
size 89 → 6 pattern
size 90 → 6 pattern
size 91 → 2 pattern
size 92 → 1 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 98 → 1 pattern
size 99 → 1 pattern
size 100 → 1 pattern
size 102 → 5 pattern
size 103 → 3 pattern
size 105 → 2 pattern
size 106 → 2 pattern
size 108 → 5 pattern
size 110 → 1 pattern
size 111 → 1 pattern
size 113 → 1 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 116 → 2 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 120 → 2 pattern
size 122 → 1 pattern
size 123 → 1 pattern
size 124 → 1 pattern
size 129 → 1 pattern
size 131 → 3 pattern
size 132 → 1 pattern
size 133 → 1 pattern
size 135 → 1 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 138 → 1 pattern
size 139 → 1 pattern
size 140 → 1 pattern
