
=== GRAPH INFO ===
Nodi: 38385
Archi: 311169
Duration (sec): 119892542 = 3y in interval [1643391657, 1763284199]
Delta (sec): 431689 = 4d23h54min49s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 16769

size 2 → 6575 pattern
size 3 → 2408 pattern
size 4 → 1539 pattern
size 5 → 828 pattern
size 6 → 459 pattern
size 7 → 320 pattern
size 8 → 271 pattern
size 9 → 1536 pattern
size 10 → 360 pattern
size 11 → 239 pattern
size 12 → 167 pattern
size 13 → 122 pattern
size 14 → 98 pattern
size 15 → 75 pattern
size 16 → 60 pattern
size 17 → 46 pattern
size 18 → 170 pattern
size 19 → 67 pattern
size 20 → 56 pattern
size 21 → 43 pattern
size 22 → 33 pattern
size 23 → 25 pattern
size 24 → 24 pattern
size 25 → 30 pattern
size 26 → 18 pattern
size 27 → 46 pattern
size 28 → 21 pattern
size 29 → 23 pattern
size 30 → 18 pattern
size 31 → 16 pattern
size 32 → 13 pattern
size 33 → 15 pattern
size 34 → 10 pattern
size 35 → 19 pattern
size 36 → 304 pattern
size 37 → 39 pattern
size 38 → 21 pattern
size 39 → 16 pattern
size 40 → 11 pattern
size 41 → 7 pattern
size 42 → 11 pattern
size 43 → 10 pattern
size 44 → 14 pattern
size 45 → 36 pattern
size 46 → 11 pattern
size 47 → 5 pattern
size 48 → 9 pattern
size 49 → 3 pattern
size 50 → 10 pattern
size 51 → 11 pattern
size 52 → 5 pattern
size 53 → 5 pattern
size 54 → 9 pattern
size 55 → 8 pattern
size 56 → 4 pattern
size 57 → 6 pattern
size 58 → 2 pattern
size 59 → 4 pattern
size 60 → 7 pattern
size 61 → 2 pattern
size 62 → 5 pattern
size 63 → 17 pattern
size 64 → 8 pattern
size 65 → 6 pattern
size 66 → 4 pattern
size 67 → 2 pattern
size 68 → 2 pattern
size 69 → 1 pattern
size 71 → 3 pattern
size 72 → 19 pattern
size 73 → 8 pattern
size 74 → 4 pattern
size 75 → 3 pattern
size 76 → 1 pattern
size 77 → 4 pattern
size 78 → 4 pattern
size 79 → 3 pattern
size 80 → 1 pattern
size 81 → 7 pattern
size 82 → 5 pattern
size 83 → 4 pattern
size 84 → 3 pattern
size 85 → 2 pattern
size 86 → 1 pattern
size 87 → 3 pattern
size 88 → 2 pattern
size 89 → 7 pattern
size 90 → 6 pattern
size 91 → 2 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 94 → 2 pattern
size 98 → 2 pattern
size 99 → 1 pattern
size 100 → 1 pattern
size 102 → 5 pattern
size 103 → 3 pattern
size 104 → 1 pattern
size 105 → 2 pattern
size 107 → 1 pattern
size 108 → 5 pattern
size 110 → 1 pattern
size 114 → 1 pattern
size 116 → 2 pattern
size 117 → 1 pattern
size 120 → 2 pattern
size 123 → 1 pattern
size 124 → 1 pattern
size 125 → 2 pattern
size 127 → 1 pattern
size 129 → 1 pattern
size 130 → 1 pattern
size 131 → 3 pattern
size 132 → 1 pattern
size 133 → 2 pattern
size 136 → 1 pattern
size 137 → 1 pattern
size 139 → 1 pattern
size 141 → 7 pattern
size 142 → 1 pattern
size 143 → 4 pattern
size 144 → 71 pattern
size 145 → 4 pattern
