
=== GRAPH INFO ===
Nodi: 7522
Archi: 31705
Duration (sec): 189315070 = 6y in interval [1573931917, 1763246987]
Delta (sec): 180662903 = 5y8m3w5d


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 3031

size 2 → 933 pattern
size 3 → 458 pattern
size 4 → 322 pattern
size 5 → 215 pattern
size 6 → 158 pattern
size 7 → 121 pattern
size 8 → 82 pattern
size 9 → 79 pattern
size 10 → 79 pattern
size 11 → 59 pattern
size 12 → 42 pattern
size 13 → 44 pattern
size 14 → 37 pattern
size 15 → 28 pattern
size 16 → 22 pattern
size 17 → 20 pattern
size 18 → 20 pattern
size 19 → 13 pattern
size 20 → 15 pattern
size 21 → 13 pattern
size 22 → 23 pattern
size 23 → 22 pattern
size 24 → 8 pattern
size 25 → 8 pattern
size 26 → 13 pattern
size 27 → 10 pattern
size 28 → 8 pattern
size 29 → 9 pattern
size 30 → 3 pattern
size 31 → 7 pattern
size 32 → 6 pattern
size 33 → 4 pattern
size 34 → 5 pattern
size 35 → 5 pattern
size 36 → 8 pattern
size 37 → 7 pattern
size 38 → 5 pattern
size 39 → 3 pattern
size 40 → 7 pattern
size 41 → 3 pattern
size 42 → 5 pattern
size 43 → 2 pattern
size 44 → 2 pattern
size 45 → 3 pattern
size 46 → 2 pattern
size 47 → 2 pattern
size 48 → 1 pattern
size 49 → 2 pattern
size 50 → 3 pattern
size 51 → 2 pattern
size 52 → 1 pattern
size 53 → 3 pattern
size 54 → 2 pattern
size 56 → 3 pattern
size 57 → 2 pattern
size 58 → 1 pattern
size 59 → 2 pattern
size 60 → 1 pattern
size 63 → 1 pattern
size 65 → 2 pattern
size 66 → 1 pattern
size 68 → 2 pattern
size 70 → 3 pattern
size 72 → 3 pattern
size 74 → 2 pattern
size 75 → 1 pattern
size 76 → 2 pattern
size 79 → 1 pattern
size 80 → 1 pattern
size 81 → 2 pattern
size 83 → 1 pattern
size 84 → 1 pattern
size 87 → 1 pattern
size 88 → 2 pattern
size 91 → 1 pattern
size 94 → 3 pattern
size 95 → 3 pattern
size 97 → 1 pattern
size 99 → 1 pattern
size 102 → 1 pattern
size 103 → 1 pattern
size 105 → 3 pattern
size 106 → 2 pattern
size 107 → 1 pattern
size 108 → 1 pattern
size 111 → 1 pattern
size 112 → 1 pattern
size 113 → 1 pattern
size 115 → 1 pattern
size 119 → 1 pattern
size 126 → 1 pattern
size 127 → 1 pattern
size 130 → 2 pattern
size 135 → 2 pattern
size 144 → 1 pattern
size 153 → 1 pattern
size 157 → 1 pattern
size 162 → 1 pattern
size 164 → 2 pattern
size 167 → 1 pattern
size 177 → 1 pattern
size 185 → 2 pattern
size 188 → 1 pattern
size 230 → 1 pattern
size 450 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 1565

size 2 → 1372 pattern
size 4 → 154 pattern
size 6 → 28 pattern
size 8 → 6 pattern
size 10 → 4 pattern
size 18 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 2369

size 2 → 2154 pattern
size 4 → 169 pattern
size 6 → 34 pattern
size 8 → 7 pattern
size 10 → 3 pattern
size 12 → 1 pattern
size 20 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 984

size 2 → 897 pattern
size 4 → 60 pattern
size 6 → 18 pattern
size 8 → 4 pattern
size 10 → 3 pattern
size 12 → 1 pattern
size 20 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 15774
Archi: 31705
Delta (sec): 180662903


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 7559

size 2 → 3880 pattern
size 3 → 1787 pattern
size 4 → 838 pattern
size 5 → 454 pattern
size 6 → 234 pattern
size 7 → 147 pattern
size 8 → 85 pattern
size 9 → 44 pattern
size 10 → 18 pattern
size 11 → 17 pattern
size 12 → 11 pattern
size 13 → 9 pattern
size 14 → 11 pattern
size 15 → 6 pattern
size 16 → 3 pattern
size 17 → 3 pattern
size 18 → 4 pattern
size 19 → 3 pattern
size 20 → 1 pattern
size 21 → 1 pattern
size 28 → 2 pattern
size 37 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 6159

size 2 → 4761 pattern
size 3 → 1033 pattern
size 4 → 258 pattern
size 5 → 69 pattern
size 6 → 18 pattern
size 7 → 8 pattern
size 8 → 1 pattern
size 9 → 2 pattern
size 12 → 4 pattern
size 13 → 1 pattern
size 14 → 2 pattern
size 28 → 1 pattern
size 37 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 282

size 2 → 218 pattern
size 3 → 33 pattern
size 4 → 10 pattern
size 5 → 3 pattern
size 6 → 6 pattern
size 7 → 1 pattern
size 8 → 2 pattern
size 9 → 1 pattern
size 10 → 3 pattern
size 12 → 1 pattern
size 13 → 1 pattern
size 14 → 1 pattern
size 17 → 1 pattern
size 19 → 1 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 229

size 2 → 208 pattern
size 3 → 10 pattern
size 4 → 3 pattern
size 6 → 2 pattern
size 8 → 2 pattern
size 9 → 1 pattern
size 12 → 1 pattern
size 17 → 1 pattern
size 19 → 1 pattern
