=== non-contiguous nft : chains ===
Found 459 chain interruption in 3816 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1002:	1 
1006:	1 
1007:	1 
1008:	1 
1009:	3 
101:	2 
1010:	1 
1014:	1 
1017:	1 
1019:	2 
102:	2 
1020:	1 
1021:	2 
1022:	3 
1023:	2 
1025:	1 
1026:	1 
1027:	2 
1028:	1 
1029:	1 
103:	1 
1033:	1 
1034:	1 
1035:	2 
1043:	1 
1044:	3 
1045:	1 
1046:	1 
1047:	2 
1048:	1 
1049:	1 
1052:	1 
1056:	1 
1057:	1 
1059:	1 
106:	1 
1061:	2 
1062:	1 
1064:	1 
1065:	1 
1066:	2 
1069:	2 
1071:	2 
1073:	2 
1076:	1 
1078:	2 1 2 
1081:	1 
1083:	2 1 
1084:	1 
1086:	2 
1087:	1 
1088:	1 
1089:	1 
109:	2 
1091:	1 
1092:	2 
1094:	2 
1096:	2 
1098:	2 
11:	5 1 
110:	1 
1100:	2 
1101:	2 
1104:	2 
1107:	1 
1108:	3 1 
1109:	1 
1110:	2 
1111:	1 
1112:	2 
1115:	4 
1119:	1 
1120:	1 
1121:	1 
1122:	1 
1123:	1 
1127:	2 
113:	2 
1130:	2 
1132:	2 
1133:	1 
1134:	2 
1135:	4 
1137:	1 
1138:	2 
1139:	1 
114:	1 
1142:	1 
1143:	2 
1144:	1 
1145:	1 
1146:	3 
1148:	1 
1149:	1 
115:	1 5 
1150:	1 
1152:	3 
1153:	1 
1154:	1 
1157:	1 
1158:	4 1 
1159:	5 
1160:	1 
1161:	1 
1162:	1 
1164:	2 
1165:	1 
1166:	1 
1167:	2 
1168:	1 
117:	2 2 
1170:	1 
1171:	2 
1172:	3 
1174:	1 
1175:	1 1 2 
1176:	1 
1178:	2 
1179:	4 
1180:	6 
1181:	1 
1182:	1 
1183:	2 
1185:	1 
1186:	2 
1187:	3 
1188:	4 1 
1189:	1 
1190:	2 
1191:	2 
1192:	2 
1194:	1 
1195:	2 
1196:	1 
1197:	2 
1198:	1 
1199:	2 
120:	3 
1200:	1 
1201:	4 
1202:	2 2 
1203:	3 
1204:	1 
1205:	1 
1206:	1 
1207:	1 3 
1208:	1 
1209:	2 
1210:	1 
1211:	1 
1212:	3 
1216:	2 
1217:	1 
1218:	1 
1223:	3 
1227:	1 
1228:	2 
1229:	2 
1230:	3 
1231:	1 
1232:	3 
1236:	1 
1237:	1 
1238:	2 
1239:	1 
1240:	1 
1241:	1 
1242:	1 
1245:	1 
1249:	2 
1250:	1 
1252:	1 
1253:	2 
1254:	2 1 
1255:	1 1 2 
1256:	7 
1259:	1 
1261:	2 
1262:	2 
1263:	1 
1264:	1 
1266:	1 
1267:	6 
1268:	1 
127:	2 1 1 1 
1270:	1 
1271:	1 
1272:	1 
1273:	2 
1274:	1 
1278:	3 
1279:	1 
1280:	3 
1281:	3 
1284:	3 
1285:	4 
1286:	3 1 1 
1290:	1 
1292:	2 
1293:	1 
1295:	6 
1296:	2 
1297:	1 
