=== non-contiguous nft : chains ===
Found 178 chain interruption in 12831 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100000618852876455496879488814776514643693866530705257696205007131937627621153:	1 
100001026900980721001772353540044709580796303768996811119435702452667891040275:	1 1 
100002443636960523153093908483121350791776174730745117359662328356485145064247:	1 
100008086878485824013209096438740288907529867129183556900612579042839866058040:	1 
100009896309457166373687507975349509556211702143872372123357088538198653003460:	1 1 
100012297285702778429713783136028109344235787386870940425117762295113654346978:	1 
100012661106632303606144399407708840726585649070025206702081056415424632777375:	1 
100018247831341689256846365852403706902528897260485783751612391154177585501904:	1 
100021130968298486708153218871711840348994268610339911976839145118729258685339:	1 
100033909797842559889823082657348648635178177480096321426712227822100203877183:	1 
100039670813522432841156632294499596780951487066663867299740801183379099813204:	1 
100054818417139286049598698180915574933080678924280226457315498571345861886180:	1 
100064616101390006607234259523980043468892712057176902168990672531301845501034:	1 
100068469923668458373736525751847165229571124498396125646665369324678341265340:	1 
100086273978507170541368487827131615118883961879397250790170037852422485662689:	1 
100095243707284058012191265144455561613108303103127450918986478480306258670175:	1 
100105840900126541455271143474342609520943242484297403593988898837684322451887:	2 
100108289425087585791377908666328737871988064165505634816750216455028883304637:	1 
100113124708657503717316366198898931879807157998567973953216982606817091571152:	1 
100113240262664484002045271657023577574343644232743721226637205806107020272134:	1 
100118490930367816690356028619029745324595664105484715811321129053743875669655:	8 
10012821174111656904853714189421742724559226536688109455801612152861229040556:	2 
100137425424839879155448790739469652447308582951066883135049613964301759318654:	1 
100143526916640225944238015196906452836598135629779424040320223102464199536108:	1 
100143644899240275519168402144819029069059237979698380596737804692925152133221:	2 
1001479269061603173453837668109417569435091152413724725598674181650911319105:	1 
100154218147001504368044903435167550482838418664165267868221544881117343044771:	1 
10019279179246348608677340918487257088462352498600594134218494688455364889539:	1 
100199249336168875566614197856211312033024546702359625852919531186099225350070:	2 
100208170373986350047500902507612374785114992576749510701691729209965474084286:	1 
100215992758015894340288601518998093730995683175162199795199552953265742974981:	2 
100218293340668964489159742793925391220722140431302311016335951993388690742159:	1 
100254484696734297646630037726056890463755376025106621844580109573911326825908:	1 
100260108454747508185980132385738888465353865351865547349190898429635361950706:	2 
100303579542653483797099051336497494078212842921518735985161094076201465542458:	1 
100310942919345369841658092085737400358674894831824939351828324929709526027964:	2 
100320194782016285776572433075297899132275086639132942833196152491894554996345:	1 
100322848672338718909599317648456271975302362810716375820206780284047854591830:	2 
100324477837974872186855662444498206090700789288580737178167185921633094214173:	1 
10033060438032418450467923858348921517005807337827541564031027833519011232455:	1 
100363589024414605045489040390761118636683560827123588114079032142832271990590:	1 
