
=== GRAPH INFO ===
Nodi: 150326
Archi: 330170
Duration (sec): 152407963 = 4y in interval [1610801512, 1763209475]
Delta (sec): 231174 = 2d16h12min54s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 37019

size 2 → 20385 pattern
size 3 → 6729 pattern
size 4 → 3238 pattern
size 5 → 2165 pattern
size 6 → 1499 pattern
size 7 → 687 pattern
size 8 → 494 pattern
size 9 → 327 pattern
size 10 → 253 pattern
size 11 → 196 pattern
size 12 → 153 pattern
size 13 → 97 pattern
size 14 → 91 pattern
size 15 → 106 pattern
size 16 → 86 pattern
size 17 → 50 pattern
size 18 → 48 pattern
size 19 → 41 pattern
size 20 → 30 pattern
size 21 → 36 pattern
size 22 → 19 pattern
size 23 → 22 pattern
size 24 → 11 pattern
size 25 → 17 pattern
size 26 → 18 pattern
size 27 → 20 pattern
size 28 → 13 pattern
size 29 → 10 pattern
size 30 → 11 pattern
size 31 → 11 pattern
size 32 → 12 pattern
size 33 → 10 pattern
size 34 → 7 pattern
size 35 → 5 pattern
size 36 → 6 pattern
size 37 → 5 pattern
size 38 → 7 pattern
size 39 → 8 pattern
size 40 → 7 pattern
size 41 → 4 pattern
size 42 → 6 pattern
size 43 → 3 pattern
size 44 → 3 pattern
size 45 → 1 pattern
size 46 → 3 pattern
size 47 → 5 pattern
size 48 → 2 pattern
size 49 → 1 pattern
size 50 → 4 pattern
size 51 → 1 pattern
size 52 → 3 pattern
size 53 → 1 pattern
size 55 → 2 pattern
size 56 → 4 pattern
size 57 → 1 pattern
size 59 → 2 pattern
size 60 → 1 pattern
size 62 → 1 pattern
size 63 → 2 pattern
size 64 → 2 pattern
size 65 → 2 pattern
size 66 → 1 pattern
size 67 → 1 pattern
size 68 → 1 pattern
size 69 → 2 pattern
size 70 → 1 pattern
size 76 → 1 pattern
size 78 → 2 pattern
size 80 → 1 pattern
size 81 → 2 pattern
size 82 → 1 pattern
size 86 → 2 pattern
size 88 → 2 pattern
size 93 → 1 pattern
size 94 → 1 pattern
size 95 → 1 pattern
size 97 → 1 pattern
size 100 → 1 pattern
size 102 → 1 pattern
size 103 → 1 pattern
size 107 → 1 pattern
size 115 → 1 pattern
size 125 → 1 pattern
size 127 → 1 pattern
size 128 → 1 pattern
size 135 → 2 pattern
size 199 → 1 pattern
size 216 → 1 pattern
size 312 → 1 pattern
size 506 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 5830

size 2 → 5360 pattern
size 4 → 388 pattern
size 6 → 46 pattern
size 8 → 16 pattern
size 10 → 8 pattern
size 12 → 7 pattern
size 14 → 1 pattern
size 16 → 1 pattern
size 20 → 3 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 18435

size 2 → 17689 pattern
size 4 → 628 pattern
size 6 → 75 pattern
size 8 → 17 pattern
size 10 → 13 pattern
size 12 → 6 pattern
size 14 → 2 pattern
size 16 → 2 pattern
size 20 → 2 pattern
size 22 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 14344

size 2 → 13830 pattern
size 4 → 426 pattern
size 6 → 51 pattern
size 8 → 16 pattern
