=== non-contiguous nft : chains ===
Found 313407 chain interruption in 6028 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100006736597871421315517330558794769948248040153636815290516555327968011939840:	1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939841:	1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939842:	1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939843:	1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939844:	1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939845:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939846:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939847:	1 1 1 1 1 1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939848:	1 1 1 1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939849:	1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939850:	1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939851:	1 1 1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939852:	1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939853:	1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939854:	1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939855:	1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939856:	1 
100006736597871421315517330558794769948248040153636815290516555327968011939857:	1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939858:	1 
100006736597871421315517330558794769948248040153636815290516555327968011939859:	1 
100006736597871421315517330558794769948248040153636815290516555327968011939860:	1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939861:	1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939862:	1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939863:	1 1 1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939864:	1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939865:	1 
100006736597871421315517330558794769948248040153636815290516555327968011939866:	2 
100006736597871421315517330558794769948248040153636815290516555327968011939867:	1 1 1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939868:	1 1 1 
100006736597871421315517330558794769948248040153636815290516555327968011939869:	1 1 1 
100059551990281232564187902946305959235119046062963687920910578335435299227648:	1 1 1 1 1 1 
100317492111147846161191418176248882227355249164770815530835058664639404443648:	1 1 
100317492111147846161191418176248882227355249164770815530835058664639412832256:	1 1 1 1 
100317492111147846161191418176248882227355249164810429612092190833436176418817:	1 
100317492111147846161191418176248882227355249164810429612092190833436176418818:	1 
100468683980001231564036174829257396147616274791536047562468615896425643911168:	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
100468683980001231564036174829257396147616274791536047562468615896425643911169:	1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 3 1 1 1 
100468683980001231564036174829257396147616274791536047562468615896425643911170:	1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 
100468683980001231564036174829257396147616274791536047562468615896425643911171:	1 1 1 1 1 1 2 
100468683980001231564036174829257396147616274791536047562468615896425643911172:	1 1 
