
=== GRAPH INFO ===
Nodi: 29434
Archi: 63006
Duration (sec): 119872130 = 3y in interval [1643412069, 1763284199]
Delta (sec): 115533522 = 3y8m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 7492

size 2 → 3689 pattern
size 3 → 1332 pattern
size 4 → 731 pattern
size 5 → 450 pattern
size 6 → 235 pattern
size 7 → 166 pattern
size 8 → 102 pattern
size 9 → 244 pattern
size 10 → 114 pattern
size 11 → 59 pattern
size 12 → 57 pattern
size 13 → 33 pattern
size 14 → 25 pattern
size 15 → 26 pattern
size 16 → 15 pattern
size 17 → 14 pattern
size 18 → 20 pattern
size 19 → 10 pattern
size 20 → 10 pattern
size 21 → 11 pattern
size 22 → 10 pattern
size 23 → 3 pattern
size 24 → 8 pattern
size 25 → 1 pattern
size 26 → 7 pattern
size 27 → 8 pattern
size 28 → 2 pattern
size 29 → 6 pattern
size 30 → 2 pattern
size 31 → 3 pattern
size 32 → 4 pattern
size 33 → 4 pattern
size 34 → 3 pattern
size 35 → 3 pattern
size 36 → 24 pattern
size 37 → 2 pattern
size 38 → 1 pattern
size 39 → 2 pattern
size 40 → 2 pattern
size 42 → 3 pattern
size 43 → 2 pattern
size 45 → 1 pattern
size 46 → 1 pattern
size 47 → 2 pattern
size 49 → 1 pattern
size 50 → 1 pattern
size 53 → 1 pattern
size 56 → 2 pattern
size 58 → 3 pattern
size 60 → 1 pattern
size 61 → 2 pattern
size 62 → 1 pattern
size 63 → 1 pattern
size 64 → 4 pattern
size 72 → 1 pattern
size 73 → 1 pattern
size 75 → 1 pattern
size 79 → 1 pattern
size 90 → 1 pattern
size 111 → 2 pattern
size 112 → 1 pattern
size 118 → 1 pattern
size 138 → 1 pattern
size 139 → 1 pattern
size 143 → 1 pattern
size 144 → 2 pattern
size 163 → 1 pattern
size 173 → 1 pattern
size 204 → 1 pattern
size 258 → 1 pattern
size 293 → 1 pattern
size 323 → 1 pattern
size 330 → 1 pattern
size 400 → 1 pattern
size 522 → 1 pattern
size 576 → 2 pattern
size 800 → 1 pattern
size 1966 → 1 pattern
size 2736 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 5538

size 2 → 4158 pattern
size 4 → 833 pattern
size 6 → 271 pattern
size 8 → 123 pattern
size 10 → 55 pattern
size 12 → 23 pattern
size 14 → 21 pattern
size 16 → 18 pattern
size 18 → 8 pattern
size 20 → 6 pattern
size 22 → 2 pattern
size 24 → 3 pattern
size 26 → 3 pattern
size 28 → 2 pattern
size 30 → 1 pattern
size 32 → 3 pattern
size 34 → 3 pattern
size 36 → 1 pattern
size 42 → 1 pattern
size 52 → 1 pattern
size 54 → 1 pattern
size 58 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 13510

size 2 → 11482 pattern
size 4 → 1372 pattern
size 6 → 355 pattern
size 8 → 135 pattern
size 10 → 64 pattern
size 12 → 20 pattern
size 14 → 25 pattern
size 16 → 16 pattern
size 18 → 11 pattern
size 20 → 7 pattern
size 22 → 3 pattern
size 24 → 1 pattern
size 26 → 5 pattern
size 28 → 2 pattern
size 30 → 1 pattern
size 32 → 3 pattern
