
=== GRAPH INFO ===
Nodi: 29434
Archi: 63006
Duration (sec): 119872130 = 3y in interval [1643412069, 1763284199]
Delta (sec): 202404 = 2d8h13min24s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 7144

size 2 → 3575 pattern
size 3 → 1213 pattern
size 4 → 686 pattern
size 5 → 401 pattern
size 6 → 207 pattern
size 7 → 133 pattern
size 8 → 123 pattern
size 9 → 259 pattern
size 10 → 97 pattern
size 11 → 53 pattern
size 12 → 43 pattern
size 13 → 25 pattern
size 14 → 27 pattern
size 15 → 21 pattern
size 16 → 15 pattern
size 17 → 13 pattern
size 18 → 24 pattern
size 19 → 10 pattern
size 20 → 14 pattern
size 21 → 9 pattern
size 22 → 9 pattern
size 23 → 6 pattern
size 24 → 3 pattern
size 25 → 4 pattern
size 26 → 5 pattern
size 27 → 7 pattern
size 28 → 6 pattern
size 29 → 7 pattern
size 30 → 8 pattern
size 31 → 5 pattern
size 32 → 7 pattern
size 33 → 6 pattern
size 34 → 3 pattern
size 35 → 4 pattern
size 36 → 25 pattern
size 37 → 6 pattern
size 38 → 1 pattern
size 39 → 2 pattern
size 40 → 7 pattern
size 41 → 1 pattern
size 42 → 3 pattern
size 43 → 4 pattern
size 45 → 3 pattern
size 46 → 1 pattern
size 47 → 3 pattern
size 48 → 1 pattern
size 50 → 2 pattern
size 51 → 1 pattern
size 52 → 1 pattern
size 55 → 1 pattern
size 57 → 1 pattern
size 58 → 2 pattern
size 60 → 2 pattern
size 61 → 1 pattern
size 63 → 3 pattern
size 64 → 2 pattern
size 65 → 2 pattern
size 66 → 1 pattern
size 67 → 1 pattern
size 68 → 1 pattern
size 72 → 1 pattern
size 73 → 2 pattern
size 75 → 1 pattern
size 76 → 1 pattern
size 79 → 1 pattern
size 81 → 1 pattern
size 86 → 1 pattern
size 89 → 1 pattern
size 96 → 1 pattern
size 102 → 1 pattern
size 106 → 1 pattern
size 111 → 2 pattern
size 112 → 1 pattern
size 118 → 1 pattern
size 128 → 1 pattern
size 139 → 1 pattern
size 143 → 1 pattern
size 144 → 2 pattern
size 145 → 1 pattern
size 151 → 1 pattern
size 158 → 1 pattern
size 159 → 1 pattern
size 163 → 1 pattern
size 169 → 1 pattern
size 173 → 1 pattern
size 196 → 1 pattern
size 204 → 1 pattern
size 234 → 1 pattern
size 258 → 1 pattern
size 323 → 1 pattern
size 416 → 1 pattern
size 450 → 1 pattern
size 522 → 1 pattern
size 576 → 1 pattern
size 800 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 3341

size 2 → 2886 pattern
size 4 → 358 pattern
size 6 → 62 pattern
size 8 → 17 pattern
size 10 → 6 pattern
size 12 → 2 pattern
size 14 → 2 pattern
size 16 → 5 pattern
size 18 → 1 pattern
size 28 → 1 pattern
size 32 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 7782

size 2 → 7065 pattern
size 4 → 570 pattern
size 6 → 100 pattern
size 8 → 27 pattern
size 10 → 6 pattern
size 12 → 3 pattern
size 14 → 4 pattern
size 18 → 4 pattern
size 20 → 1 pattern
size 26 → 1 pattern
size 32 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 5872

size 2 → 5389 pattern
size 4 → 380 pattern
size 6 → 62 pattern
size 8 → 24 pattern
size 10 → 4 pattern
size 12 → 2 pattern
size 14 → 4 pattern
size 18 → 4 pattern
size 20 → 1 pattern
size 26 → 1 pattern
size 30 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 31325
Archi: 63006
Delta (sec): 202404


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 9509

size 2 → 7730 pattern
size 3 → 1432 pattern
size 4 → 277 pattern
size 5 → 53 pattern
size 6 → 12 pattern
size 7 → 2 pattern
size 8 → 1 pattern
size 17 → 1 pattern
size 18 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 9352

size 2 → 7631 pattern
size 3 → 1392 pattern
size 4 → 264 pattern
size 5 → 49 pattern
size 6 → 11 pattern
size 7 → 2 pattern
size 8 → 1 pattern
size 17 → 1 pattern
size 18 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 1281

size 2 → 1228 pattern
size 3 → 37 pattern
size 4 → 15 pattern
size 18 → 1 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 1280

size 2 → 1228 pattern
size 3 → 37 pattern
size 4 → 14 pattern
size 18 → 1 pattern
