=== non-contiguous nft : chains ===
Found 2103 chain interruption in 31325 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100010:	2 
100014:	1 
100015:	3 
100018:	3 
100032:	3 
100033:	1 
100038:	1 
100039:	1 
100040:	2 
100041:	1 
100045:	1 
100049:	4 
100050:	1 
100052:	1 
100053:	1 
100058:	1 
100116:	1 
100117:	2 
100118:	1 
100121:	1 
100122:	2 
100123:	7 
100124:	3 
100125:	3 
100126:	3 
100127:	3 
100152:	1 
100153:	1 
100156:	4 
100157:	2 
100160:	1 
100161:	1 
100162:	3 
100164:	7 
100165:	9 
100166:	9 
100167:	6 2 
100168:	14 
100169:	9 
100170:	1 
100176:	1 
100177:	1 
100178:	2 
100199:	1 
100200:	6 
100201:	3 
100202:	1 
100203:	1 
100204:	1 
100205:	2 
100214:	1 
100217:	1 
100224:	2 
100225:	3 
100226:	9 
100230:	1 2 
100231:	2 1 
100232:	1 1 2 1 
100235:	3 
100254:	1 
100256:	1 
100257:	1 
100258:	1 
100259:	2 
10026:	1 
100268:	1 
100269:	3 
10027:	2 
100274:	1 
100276:	2 
100279:	1 
100285:	1 
100306:	2 
100307:	2 
100308:	1 
100356:	1 
100357:	1 
100358:	1 
100359:	1 
100360:	1 
100440:	3 
100443:	1 5 
100451:	1 
100457:	1 
100509:	3 
100530:	2 
100531:	1 
100561:	1 
100562:	1 
10057:	2 
100573:	1 
100576:	1 
100577:	1 
100584:	1 
100585:	1 
100586:	1 
100591:	1 
100592:	4 
100593:	6 
100594:	1 
100595:	1 2 
100596:	5 
100597:	1 
100598:	1 
100601:	1 
100602:	1 
100605:	1 
100606:	1 
100607:	2 
100608:	1 
100609:	1 
10061:	1 
100611:	1 
100614:	13 
100615:	6 1 
100616:	9 
100617:	11 
100618:	12 
100619:	9 
100625:	1 
10063:	5 
100633:	1 
100635:	1 
10064:	1 
100656:	1 
100657:	1 
100658:	2 
100659:	1 
100660:	2 
100661:	1 
100665:	2 
10068:	1 
10069:	1 
100692:	1 
100698:	1 
10070:	1 
100706:	3 
100707:	1 
100709:	1 
10071:	3 
100710:	2 
100711:	1 
100712:	3 
100713:	3 
100715:	1 
100716:	1 
10072:	2 
10073:	2 
10074:	3 
10075:	2 
10076:	1 
100764:	3 
100765:	1 
100767:	1 
10077:	1 
100771:	1 
10078:	1 
100806:	1 
10081:	2 
10082:	1 
10083:	1 
100830:	1 
10084:	1 
100848:	1 
10085:	2 
100854:	1 
100858:	1 
100917:	1 
100919:	3 
100939:	3 
100940:	2 
100941:	1 
100942:	1 
100968:	3 
100983:	1 
100985:	1 
100992:	1 
100993:	1 
100994:	1 1 
100998:	2 
100999:	1 
101:	1 
101000:	2 
101001:	4 
101002:	2 
101003:	1 4 
101004:	1 
101006:	2 
101017:	1 
101022:	10 
101023:	8 5 
101024:	8 3 
101025:	10 
101026:	8 3 
101027:	8 3 
101042:	1 
101046:	8 
101047:	3 
101048:	1 
101049:	1 
101064:	1 
101066:	2 
101068:	1 
101069:	1 
101082:	1 
101088:	1 
101093:	2 
10110:	1 1 
101100:	1 
101107:	1 
10111:	1 1 
101118:	1 
101119:	2 
10112:	1 2 
101122:	1 
101123:	1 1 
101124:	1 
10113:	1 
101173:	1 
101174:	1 
101175:	1 
101180:	2 
101182:	1 
101183:	1 1 
101238:	3 
101239:	4 
101240:	4 
101256:	3 
101257:	10 
101259:	2 
101260:	2 
101264:	1 
101266:	1 
101270:	1 
101272:	5 
101282:	2 
101285:	2 
101327:	3 
10134:	1 1 
101346:	11 
101347:	4 
101348:	2 
101349:	3 
10135:	1 1 
101350:	1 
10136:	1 1 
10137:	1 1 
10138:	1 1 
101389:	2 
10139:	1 1 
101391:	1 
101392:	2 
101406:	2 
101407:	2 
101409:	3 
101410:	1 2 3 
101411:	2 3 
101412:	2 
101413:	2 
101414:	5 
101417:	1 
101420:	1 
101430:	9 
101431:	8 1 
101432:	9 
101433:	9 
101434:	10 
101435:	9 
101436:	3 
101437:	1 
101451:	3 
101452:	3 
101453:	3 
101454:	3 
101455:	2 
101457:	2 
101472:	1 
101474:	1 
101475:	1 
101476:	1 
101477:	1 
10149:	3 
10150:	3 
10151:	3 
101518:	1 
101523:	1 
101524:	1 
101530:	2 
101532:	1 
101566:	1 
101580:	1 
101583:	1 
101589:	8 
101590:	2 
10166:	1 
101666:	1 
101669:	4 
10167:	1 
101671:	1 
101673:	1 
101688:	4 
101689:	5 
101690:	1 
101748:	2 
101749:	2 1 
101750:	2 
101751:	2 
101752:	1 
101753:	1 1 
101754:	2 
101755:	1 
101756:	1 
101784:	1 
101785:	1 
101787:	3 
101788:	3 
101789:	3 2 
101796:	1 
101797:	2 
101819:	1 
101820:	1 
101821:	2 
101822:	2 
101823:	2 
101824:	5 
101825:	1 1 
101826:	1 
101838:	8 
101839:	8 1 
101840:	10 
101841:	11 
101842:	8 2 
101843:	8 
101844:	2 
101847:	1 
101859:	1 
101861:	1 
101862:	3 
101863:	1 
101880:	2 
101881:	2 
101882:	1 
101884:	6 
101885:	1 
101897:	3 
101937:	1 
101940:	1 
101989:	1 
101990:	2 
101991:	2 
102:	3 
102035:	1 
102054:	1 
102055:	2 
102057:	1 
102076:	1 
102077:	1 
102079:	2 
102080:	1 
102085:	1 
102097:	2 
102098:	1 
102156:	2 1 
102157:	2 
102158:	2 
102159:	1 1 
10216:	2 
102160:	1 
102161:	1 
102162:	3 
102163:	2 
102164:	1 
102195:	1 
102205:	1 
102206:	1 
102227:	2 
102228:	1 
102229:	3 
102242:	1 
102246:	8 
102247:	9 
102248:	15 
102249:	16 
102250:	8 1 
102251:	4 
102253:	4 
102267:	1 
102270:	3 
102276:	1 
102288:	3 
102289:	1 
102290:	2 
102291:	1 
102292:	1 
102301:	5 
102311:	3 
102316:	2 
102341:	1 
102346:	3 
102348:	2 
102397:	2 
102401:	1 3 
102402:	1 
102404:	1 
102437:	1 1 
102438:	2 
102444:	1 
102463:	1 
102465:	1 
102466:	1 
102467:	1 
10248:	1 
102480:	5 
102481:	1 
102483:	3 
102484:	1 
102486:	1 
102487:	1 
102488:	1 3 
102497:	2 
102498:	1 
102503:	1 
102505:	2 
102506:	1 
10251:	1 
10253:	4 
102565:	2 
102566:	2 1 
102567:	1 
102568:	1 
102569:	1 
10257:	2 1 
102570:	1 
102574:	9 
10259:	5 
102603:	1 
102604:	1 
102614:	1 
10262:	1 
102634:	3 
102637:	1 
102638:	1 
10264:	3 
102644:	1 3 
102645:	1 
10265:	1 
102650:	1 
102653:	1 
102654:	10 2 
102655:	8 1 
102656:	8 1 
102657:	11 
102658:	8 
102659:	8 4 
102665:	1 
102671:	3 
102678:	1 
102697:	1 
102699:	1 
10270:	3 
102700:	1 
102701:	1 
102702:	1 
102717:	1 
102732:	1 
102738:	1 
102749:	1 
102753:	1 
102756:	3 
102757:	2 
102767:	1 
102805:	1 
102806:	1 
102807:	1 
10281:	5 
102810:	1 
10282:	3 
10285:	1 5 
102859:	2 
10286:	7 
102861:	1 
102862:	1 
102863:	1 
102872:	1 
102873:	1 
102880:	1 
102886:	1 
102889:	1 
102891:	1 
102892:	2 
102893:	1 
102912:	2 
102913:	2 
102977:	1 
103:	2 
103011:	2 
103012:	1 
103013:	2 
10302:	1 1 
103052:	1 
103080:	1 
103081:	1 
103082:	1 
103085:	1 
103097:	1 
103099:	3 
103109:	2 
103137:	3 
103138:	3 
103139:	1 
103145:	2 
103161:	1 
103167:	1 
103168:	2 
103171:	1 
103173:	1 
103174:	4 
103175:	1 
103203:	1 5 
103204:	1 
103205:	5 
103206:	1 
103207:	1 
103209:	2 
103267:	1 
103268:	4 
103269:	1 
103270:	1 
103271:	1 
103285:	3 
103290:	2 
103293:	1 
103300:	1 
103321:	1 
10333:	3 
103345:	4 
10335:	4 1 
103376:	1 
103377:	1 
103384:	1 
103385:	1 
10339:	2 
103423:	1 
103424:	1 
103436:	1 
10344:	1 
10348:	1 
103488:	1 
103489:	1 
103490:	1 1 
103493:	1 
103505:	3 
103507:	1 
103515:	1 
103516:	1 1 
103522:	3 
10353:	1 
10355:	3 2 
103551:	3 
103552:	1 
10356:	5 
103560:	1 
103566:	1 
10357:	1 
103572:	1 
103576:	1 
103583:	1 
10360:	1 
103614:	1 
103616:	4 
103675:	1 
103677:	1 
103678:	1 
103679:	1 
103686:	1 
103693:	5 
103696:	4 
103697:	1 
103699:	2 
103706:	4 
103707:	5 5 
103709:	1 
103715:	1 
103729:	1 
103730:	1 
103760:	1 
103784:	1 
103785:	1 
103828:	2 
103829:	2 
103835:	1 
103843:	1 
103844:	5 
103896:	1 
103897:	1 
103898:	1 1 
103900:	3 
103916:	1 
103922:	2 
103923:	1 2 
103924:	2 
103925:	1 1 1 2 
103946:	1 
103952:	1 
103958:	1 
103968:	1 
103969:	1 
103982:	1 
103983:	1 
103986:	1 
103991:	1 
104:	2 
104022:	1 
104023:	2 
104024:	1 
104025:	2 
104027:	1 
104082:	1 
104083:	2 
104088:	1 
104101:	3 
104104:	1 
104105:	3 
104109:	2 
104115:	1 
104117:	1 
104119:	1 
104121:	10 
104136:	3 
104137:	3 
104138:	3 
104179:	1 2 
104190:	3 
104194:	3 
104195:	4 
104234:	1 
104236:	1 
104242:	3 
104271:	2 
104275:	2 
104276:	1 
104277:	2 
104278:	1 
104279:	5 
104280:	1 
104291:	1 
104316:	3 
104317:	1 1 
10435:	3 
104352:	1 
104353:	1 
104354:	2 
104361:	1 
104362:	1 
104368:	1 
104382:	2 
104383:	1 
104392:	1 
104396:	1 
104397:	2 
104398:	5 
104426:	2 
104429:	1 
104430:	1 
104432:	1 1 
104433:	3 
104435:	2 
104502:	2 
104504:	1 
104506:	1 
104508:	2 
104511:	1 
104513:	4 
104517:	1 
104518:	1 
104523:	2 
104525:	2 
104526:	5 
104544:	3 
104545:	3 
104546:	3 
104578:	1 
10464:	1 
104641:	2 1 
104642:	1 
104645:	1 
104649:	2 
10465:	1 3 
10466:	1 
104662:	1 
104679:	2 
104681:	2 
104683:	5 
104684:	1 
104685:	2 
104686:	3 
104687:	4 
104688:	2 
10469:	1 
104697:	1 
10472:	1 
104733:	5 8 1 
104734:	1 
10476:	7 
104760:	1 
104761:	1 
104762:	2 
10477:	1 
10478:	1 
10479:	2 
104790:	2 
104792:	2 3 
104793:	2 
104799:	1 
10480:	1 
104800:	1 
104802:	3 
104807:	3 
10481:	3 
10482:	2 
10483:	2 
104834:	2 
104835:	1 
104839:	5 
10484:	2 
10485:	1 
10486:	1 
10487:	1 
10488:	1 
10489:	2 
104898:	2 
10490:	2 
104906:	1 
104909:	1 
10491:	1 
104919:	3 
10492:	2 
104922:	3 
104925:	4 
10493:	1 
104930:	1 
104931:	3 
104932:	3 
104933:	3 
104934:	2 
104939:	1 
104952:	3 
104953:	3 
104954:	5 
104988:	1 
105:	3 
105006:	1 
105008:	1 
105010:	1 
105011:	2 
105048:	1 
105049:	3 
105050:	2 1 
105051:	1 
105053:	1 
105057:	2 
105058:	1 
105059:	3 
105060:	1 
105069:	1 
105096:	2 
105099:	3 
105125:	1 
105126:	1 
105131:	1 
105137:	1 
105143:	1 
105149:	1 
10515:	1 
105168:	1 
105170:	1 
105171:	1 
105174:	3 
105179:	2 1 
10518:	1 1 
105181:	1 
105182:	3 
10519:	1 2 
105195:	6 
105198:	2 
10520:	1 1 
105201:	2 
105206:	1 
105207:	3 
105208:	1 
105209:	2 
105210:	1 
105211:	1 
105212:	4 
105213:	2 
105214:	3 
105233:	1 
105242:	1 
105248:	1 
105251:	3 
105301:	1 
105305:	1 
105309:	1 
105313:	4 
105314:	4 
105316:	3 
105317:	2 
105322:	3 
105323:	11 
105324:	2 
105336:	1 
105337:	6 
105414:	1 
10542:	1 1 
105421:	1 
105422:	2 
105426:	3 
105427:	2 
10543:	1 1 
10544:	1 1 
10545:	1 1 
105456:	3 
105457:	1 
105458:	1 
10546:	1 1 
105463:	1 
105464:	2 
105466:	1 
105469:	2 
10547:	1 1 
105470:	1 
105474:	1 
105477:	2 
105478:	1 
105494:	1 
105499:	1 
105509:	1 
105510:	1 
105540:	1 
105548:	1 
105552:	1 
10557:	3 
10558:	3 
10559:	3 
105602:	1 
105615:	2 
105616:	3 
105617:	2 
105659:	2 
105708:	1 
105713:	1 
105718:	1 
105719:	1 
10572:	3 
105721:	2 
105722:	2 
105726:	1 
105731:	2 
105732:	1 
10574:	1 
105743:	1 
105773:	1 
105813:	1 
105820:	1 
105829:	2 1 
105830:	2 
105864:	3 
105865:	1 
105866:	1 
105870:	5 
105874:	2 
105875:	2 
105876:	1 
105877:	2 
105878:	1 
105882:	1 
105885:	1 
105902:	1 
105907:	2 
105911:	3 
105918:	2 
105919:	3 
105938:	1 
105945:	1 
105950:	1 
105971:	3 
106009:	5 
106010:	2 
106013:	1 
106020:	1 
106022:	1 
106025:	1 
106065:	1 
106066:	1 
106117:	2 
106118:	1 2 
106121:	9 
106127:	1 
106130:	4 
106134:	3 
106136:	6 
106139:	1 
106140:	2 
106141:	1 
106142:	1 
106145:	1 
106151:	1 
106153:	1 
106177:	4 
106178:	3 
106179:	2 
106223:	1 
106236:	1 
106237:	2 1 
106238:	2 
10624:	1 
106241:	1 
10627:	1 
106272:	2 
106273:	2 
106274:	1 
106278:	2 
10628:	3 
106283:	1 
106284:	2 
106285:	1 
106308:	2 
106316:	1 
106319:	1 
106324:	1 
106326:	1 
106327:	2 
106328:	1 
106350:	3 
106351:	1 1 
106354:	1 
106355:	3 
106368:	1 
106370:	1 
106372:	1 
106373:	1 
106374:	1 4 
106375:	4 
106379:	2 
106415:	1 
106416:	1 
106420:	1 
106428:	7 
106429:	2 
106431:	1 
106432:	1 
106433:	2 
106439:	1 
106526:	1 
106527:	3 
106529:	3 
106537:	1 
106539:	7 
106541:	1 
106544:	2 
106547:	1 
106549:	1 
106550:	2 
106553:	1 
10656:	2 
106585:	1 
106589:	1 
10659:	1 
10661:	1 
10664:	1 
106644:	1 
106645:	2 
106646:	2 1 
106647:	1 
106654:	5 
10666:	2 
106680:	1 
106681:	1 
106686:	1 
106688:	1 
106691:	1 
106692:	1 
106694:	3 
106698:	2 
106699:	2 
10670:	9 
106717:	1 
106718:	1 
10672:	1 
106720:	2 
106724:	1 
106725:	2 
106735:	3 
106739:	2 
10674:	1 
106758:	1 
106759:	1 
10676:	3 
106760:	1 
106769:	1 
10677:	2 
106779:	1 
10678:	2 
106781:	1 
106800:	3 
106805:	2 1 
106816:	1 
10682:	1 
106821:	2 
106823:	1 
106824:	2 
106825:	1 
106826:	1 
106828:	3 
106837:	3 
106838:	1 
106841:	1 
10686:	2 
10687:	1 
106880:	5 
106934:	3 
106936:	1 
106938:	1 
106939:	1 
106940:	2 
106942:	3 
106946:	1 
106947:	1 3 
10695:	1 
106950:	1 
106952:	3 
106956:	4 
10696:	2 
106964:	1 
10697:	3 
106972:	4 
106992:	3 
10701:	1 
107052:	4 
107053:	2 
107054:	2 
107057:	24 
107091:	1 
107096:	4 
107097:	3 
107098:	3 
10710:	1 
107100:	1 
107106:	6 
107107:	1 
107108:	2 
107130:	4 
107132:	3 
107133:	5 
10714:	1 
107142:	5 
107144:	1 
107166:	1 
107178:	5 
107179:	1 
107183:	2 1 
107189:	2 
107194:	2 
1072:	5 
107230:	1 
107233:	1 
107244:	1 
107245:	1 
107249:	3 
107250:	1 
10728:	2 
107286:	4 
107287:	1 
107288:	3 
107328:	1 
10733:	1 
107340:	1 
107341:	2 2 
107343:	4 
107345:	3 
107348:	1 
107352:	3 
107353:	1 
107354:	1 
107355:	5 
107359:	3 
107360:	2 
107361:	6 
107363:	2 
107364:	1 
107368:	1 
107369:	1 
107370:	1 
107372:	1 
107375:	1 
107379:	1 
107381:	1 
107454:	1 
107460:	2 1 1 
107461:	2 2 
107468:	3 
107469:	1 
107471:	2 
107472:	1 
10748:	3 
107497:	1 
107498:	4 
107499:	3 
107501:	1 
107502:	3 
107503:	4 
107504:	3 
107505:	1 
107507:	1 
10751:	2 
107513:	1 
107515:	2 
107516:	1 
107533:	1 
107535:	2 
107544:	1 
107549:	1 
107550:	1 
107552:	2 
107576:	2 
107579:	1 
107582:	1 
107583:	1 
10759:	1 
107591:	2 
107594:	1 
107597:	1 
107633:	1 
10764:	1 
107640:	2 
107643:	1 
107646:	1 
107653:	1 
107655:	1 
107657:	4 
107658:	1 1 
10766:	1 4 
107664:	1 
10767:	3 
10768:	2 
107688:	1 
107757:	4 
107772:	4 
107779:	2 
107780:	1 
107785:	5 
107786:	3 
107788:	1 
107794:	1 
107808:	1 
107868:	2 
107869:	1 1 
107871:	2 
107874:	3 
107877:	1 
107878:	1 
107879:	2 
107881:	2 
107882:	1 
107886:	2 
107888:	1 
107892:	1 
107893:	1 
107894:	1 
107895:	1 
107896:	1 
107897:	1 
107911:	3 
107940:	1 
107941:	1 
107942:	1 
107943:	1 
107944:	2 
107945:	1 
107946:	1 
107947:	1 
107948:	1 
107949:	2 
107950:	3 
107951:	1 
107960:	1 
107967:	3 
107976:	5 
107977:	3 
107978:	3 
107981:	1 
107982:	3 
107985:	1 
107987:	1 
107988:	1 
107995:	1 
108001:	2 
108002:	1 
108004:	2 
108015:	1 
108017:	1 
108035:	1 
108080:	1 
108082:	1 
108083:	1 
108150:	2 
108151:	1 3 
108152:	6 
108167:	1 
108183:	1 
108186:	1 
1082:	1 
108276:	1 1 
108277:	2 
108278:	1 
108279:	2 
108280:	1 
108281:	2 
108282:	5 
108286:	2 
108287:	2 
108289:	2 
108290:	2 
108300:	1 
108301:	1 
108302:	1 
108303:	1 
108304:	1 
108305:	1 
108318:	2 
108319:	1 
108323:	2 
108348:	1 
108349:	1 
108350:	1 
108351:	2 
108352:	1 
108353:	1 
108354:	1 
108355:	1 
108356:	2 
108357:	1 
108358:	1 
108359:	1 
108366:	3 
108372:	1 
108377:	2 
108384:	3 
108385:	2 2 
108386:	2 
108389:	1 1 3 
108390:	3 
108391:	3 
108393:	4 
108394:	1 
108411:	2 2 
108412:	2 
10842:	1 
108425:	1 
10847:	1 
108487:	2 
108488:	3 
108489:	1 5 
108490:	1 
10850:	1 
108558:	5 
108559:	1 1 
10856:	1 
108560:	3 
10857:	4 
108572:	2 
108588:	1 
108590:	3 
108599:	1 
108608:	1 
108610:	3 
108684:	1 
108685:	1 
108686:	4 
108689:	1 
108695:	1 
108696:	3 
108697:	3 
108698:	3 
108708:	1 
108709:	1 
108710:	1 
108711:	1 
108712:	1 
108713:	1 
108719:	1 
108726:	1 
108727:	1 
10874:	1 
108756:	1 
108757:	2 
108762:	1 
10877:	4 
108770:	1 
108776:	4 
108781:	2 
10879:	1 
108792:	2 2 
108793:	5 
108794:	1 4 
108797:	3 
108798:	3 
108799:	3 
108800:	3 
108801:	4 
108806:	1 
108816:	1 
108831:	1 
108832:	1 
108833:	2 
10884:	2 
10885:	2 
108852:	1 
10886:	1 
10887:	2 
10888:	1 
10889:	3 
108894:	1 
108896:	1 
108898:	1 
10890:	1 
10891:	2 
10892:	2 
10896:	1 
10897:	1 1 
108978:	3 
10898:	1 
10899:	4 
108996:	3 
108998:	1 
108999:	1 
10900:	2 
109001:	1 
10901:	2 
109019:	1 
109033:	1 
109034:	2 
109093:	1 1 
109094:	1 
109096:	1 
109098:	1 
109099:	1 
109100:	1 
109103:	1 
109116:	1 
109117:	1 
109118:	1 
109119:	1 
109120:	1 
109121:	1 
109152:	6 
109184:	1 
109185:	2 
109187:	1 
109188:	4 
109190:	4 
109191:	3 
1092:	1 
109211:	1 
109215:	1 
109224:	1 
10923:	5 
109236:	1 2 
10924:	1 
10925:	2 
10926:	1 1 
10927:	1 1 
10928:	1 1 
109296:	1 
1093:	1 
109307:	1 
109387:	1 
109388:	3 
109389:	2 
109391:	1 
1094:	2 
109404:	3 
109408:	1 
109419:	1 
109440:	1 
109442:	1 
1095:	1 
10950:	1 1 
109500:	6 
109501:	3 
109504:	2 
109505:	4 
109506:	4 
109509:	1 
10951:	1 1 
109511:	1 
10952:	1 
109524:	1 
109525:	1 
109526:	1 
109527:	1 
109528:	1 
109529:	1 
10953:	1 
10954:	1 
109547:	1 
10955:	2 
109561:	4 
109565:	3 
109574:	1 
109592:	3 
109593:	5 
109595:	1 
109597:	1 
1096:	2 
109601:	2 
109609:	1 
109614:	1 
109615:	1 
109616:	1 
109637:	1 
10964:	3 
10965:	3 
10966:	3 
109661:	1 
10967:	3 
1097:	2 
109714:	3 
109715:	1 
109797:	2 
109798:	1 
109799:	1 
1098:	4 
10980:	2 
109812:	4 
109823:	1 
109826:	1 
109828:	4 
109833:	2 
109848:	2 
109849:	2 
1099:	1 
109908:	1 
109909:	4 
109911:	1 
109912:	1 
109913:	2 
109914:	1 
109915:	1 
109916:	2 
109917:	2 
109920:	1 
109921:	1 
109922:	1 
109925:	2 
109928:	1 
109932:	1 
109933:	1 
109934:	1 
109935:	1 
