
=== GRAPH INFO ===
Nodi: 48543
Archi: 713365
Duration (sec): 180270620 = 5y in interval [1569020031, 1749290651]
Delta (sec): 124673360 = 3y11m2w3d23h29min20s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 124858

size 2 → 25940 pattern
size 3 → 48359 pattern
size 4 → 15267 pattern
size 5 → 8469 pattern
size 6 → 6303 pattern
size 7 → 3824 pattern
size 8 → 2804 pattern
size 9 → 2155 pattern
size 10 → 2225 pattern
size 11 → 1417 pattern
size 12 → 1238 pattern
size 13 → 865 pattern
size 14 → 657 pattern
size 15 → 580 pattern
size 16 → 516 pattern
size 17 → 388 pattern
size 18 → 407 pattern
size 19 → 288 pattern
size 20 → 291 pattern
size 21 → 234 pattern
size 22 → 220 pattern
size 23 → 196 pattern
size 24 → 190 pattern
size 25 → 141 pattern
size 26 → 111 pattern
size 27 → 131 pattern
size 28 → 94 pattern
size 29 → 80 pattern
size 30 → 101 pattern
size 31 → 56 pattern
size 32 → 73 pattern
size 33 → 87 pattern
size 34 → 70 pattern
size 35 → 51 pattern
size 36 → 48 pattern
size 37 → 38 pattern
size 38 → 38 pattern
size 39 → 36 pattern
size 40 → 39 pattern
size 41 → 35 pattern
size 42 → 31 pattern
size 43 → 40 pattern
size 44 → 30 pattern
size 45 → 30 pattern
size 46 → 25 pattern
size 47 → 27 pattern
size 48 → 31 pattern
size 49 → 7 pattern
size 50 → 18 pattern
size 51 → 19 pattern
size 52 → 15 pattern
size 53 → 9 pattern
size 54 → 14 pattern
size 55 → 8 pattern
size 56 → 12 pattern
size 57 → 14 pattern
size 58 → 15 pattern
size 59 → 13 pattern
size 60 → 15 pattern
size 61 → 11 pattern
size 62 → 14 pattern
size 63 → 12 pattern
size 64 → 12 pattern
size 65 → 8 pattern
size 66 → 5 pattern
size 67 → 15 pattern
size 68 → 7 pattern
size 69 → 8 pattern
size 70 → 7 pattern
size 71 → 6 pattern
size 72 → 10 pattern
size 73 → 6 pattern
size 74 → 9 pattern
size 75 → 12 pattern
size 76 → 7 pattern
size 77 → 4 pattern
size 78 → 1 pattern
size 79 → 9 pattern
size 80 → 2 pattern
size 81 → 5 pattern
size 82 → 4 pattern
size 83 → 4 pattern
size 84 → 2 pattern
size 85 → 5 pattern
size 86 → 3 pattern
size 87 → 7 pattern
size 88 → 5 pattern
size 89 → 7 pattern
size 90 → 3 pattern
size 91 → 10 pattern
size 92 → 2 pattern
size 93 → 1 pattern
size 94 → 3 pattern
size 95 → 2 pattern
size 96 → 5 pattern
size 97 → 3 pattern
size 98 → 4 pattern
size 99 → 2 pattern
size 100 → 6 pattern
size 101 → 2 pattern
size 102 → 3 pattern
size 103 → 3 pattern
size 104 → 4 pattern
size 105 → 1 pattern
size 106 → 3 pattern
size 107 → 4 pattern
size 108 → 2 pattern
size 110 → 2 pattern
size 111 → 2 pattern
size 112 → 4 pattern
size 113 → 2 pattern
size 116 → 1 pattern
size 117 → 2 pattern
size 118 → 2 pattern
size 119 → 3 pattern
size 121 → 2 pattern
size 122 → 1 pattern
size 123 → 2 pattern
size 125 → 1 pattern
size 126 → 3 pattern
size 127 → 1 pattern
size 128 → 2 pattern
