=== non-contiguous nft : chains ===
Found 480 chain interruption in 235392 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1000:	4 
100000:	3 
100001:	3 
100002:	3 
100003:	3 
100004:	7 
100005:	4 
100006:	7 
100007:	4 
100008:	3 
100009:	1 
100010:	1 
100011:	1 
100012:	1 
100013:	3 
100014:	3 
100015:	5 
100016:	4 
100017:	1 
100018:	1 
100019:	1 
100020:	1 
100021:	1 
100022:	3 
100023:	4 
100024:	3 
100025:	2 
100026:	2 
100027:	4 
100028:	3 
100029:	3 
100030:	3 
100031:	3 
100032:	1 
100033:	3 
100034:	3 
100035:	3 
100036:	1 
100037:	3 
100038:	3 
100039:	3 
100040:	3 
100041:	3 
100042:	3 
100043:	3 
100044:	7 4 
100045:	3 
100046:	3 
100047:	3 
100048:	3 
100049:	3 
10005:	1 
100050:	4 
100051:	3 
100052:	3 
100053:	4 
100054:	3 
100055:	7 
100056:	2 
100057:	4 
100058:	4 
100059:	4 
100060:	3 
100061:	1 
100062:	1 
100063:	1 
100064:	2 
100065:	2 
100066:	2 
100067:	3 
100068:	3 
100069:	5 
100070:	2 
100071:	3 
100072:	3 
100073:	5 
100074:	4 
100075:	1 
100076:	3 
100077:	1 
100078:	3 
100079:	3 
100080:	2 
100081:	3 
100082:	3 
100083:	3 
100084:	3 
100085:	3 
100086:	2 
100087:	3 
100088:	2 
100089:	2 
100090:	3 
100091:	1 
100092:	2 
100093:	1 
100094:	1 
100095:	3 
100096:	1 
100097:	1 
100098:	1 
100099:	8 
1001:	2 
10010:	6 
100100:	2 
100101:	1 
100102:	3 
100103:	3 
100104:	3 
100105:	1 
100106:	5 
100107:	3 
100108:	1 
100109:	3 
100110:	5 
100111:	4 
100112:	1 
100113:	4 
100114:	1 
100115:	1 
100116:	3 
100117:	3 
100118:	3 
100119:	4 
100120:	3 
100121:	4 
100122:	4 
100123:	3 
100124:	2 
100125:	3 
100126:	3 
100127:	3 
100128:	3 
100129:	3 
100130:	3 
100131:	3 
100132:	3 
100133:	3 
100134:	3 
100135:	4 
100136:	6 
100137:	1 
100138:	1 
100139:	1 
100140:	1 
100141:	3 
100142:	1 
100143:	3 
100144:	7 
100145:	5 
100146:	1 
100147:	10 
100148:	3 
100149:	1 
10015:	1 
100150:	3 
100151:	1 
100152:	1 
100153:	1 
100154:	1 
100155:	4 
100156:	1 
100157:	1 
100158:	3 
100159:	1 
100160:	3 
100161:	3 
100162:	3 
100163:	3 
100164:	1 
100165:	3 
100166:	3 
100167:	7 
100168:	5 
100169:	1 
10017:	1 
100170:	6 
100171:	3 
100172:	3 
100173:	5 
100174:	4 
100175:	4 
100176:	3 
100177:	3 
100178:	3 
100179:	4 
100180:	3 
100181:	4 
100182:	4 
100183:	5 
100184:	4 
100185:	3 
100186:	5 
100187:	3 
100188:	3 
100189:	2 
100190:	4 
100191:	2 2 
100192:	2 2 
100193:	5 
100194:	3 
100195:	13 
100196:	2 
100197:	11 
100198:	3 
100199:	3 
