
=== GRAPH INFO ===
Nodi: 39429
Archi: 421050
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 124 = 2min4s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 39780

size 2 → 18126 pattern
size 3 → 5457 pattern
size 4 → 4024 pattern
size 5 → 1722 pattern
size 6 → 1376 pattern
size 7 → 590 pattern
size 8 → 789 pattern
size 9 → 674 pattern
size 10 → 687 pattern
size 11 → 322 pattern
size 12 → 913 pattern
size 13 → 176 pattern
size 14 → 186 pattern
size 15 → 483 pattern
size 16 → 213 pattern
size 17 → 99 pattern
size 18 → 144 pattern
size 19 → 106 pattern
size 20 → 925 pattern
size 21 → 79 pattern
size 22 → 61 pattern
size 23 → 50 pattern
size 24 → 130 pattern
size 25 → 123 pattern
size 26 → 28 pattern
size 27 → 33 pattern
size 28 → 32 pattern
size 29 → 19 pattern
size 30 → 424 pattern
size 31 → 16 pattern
size 32 → 21 pattern
size 33 → 22 pattern
size 34 → 18 pattern
size 35 → 15 pattern
size 36 → 24 pattern
size 37 → 11 pattern
size 38 → 13 pattern
size 39 → 13 pattern
size 40 → 434 pattern
size 41 → 3 pattern
size 42 → 10 pattern
size 43 → 6 pattern
size 44 → 6 pattern
size 45 → 283 pattern
size 46 → 8 pattern
size 47 → 4 pattern
size 48 → 6 pattern
size 49 → 4 pattern
size 50 → 29 pattern
size 51 → 7 pattern
size 52 → 6 pattern
size 53 → 5 pattern
size 54 → 6 pattern
size 55 → 6 pattern
size 56 → 9 pattern
size 57 → 6 pattern
size 58 → 1 pattern
size 59 → 3 pattern
size 60 → 369 pattern
size 61 → 5 pattern
size 62 → 2 pattern
size 64 → 1 pattern
size 65 → 3 pattern
size 66 → 6 pattern
size 67 → 3 pattern
size 68 → 1 pattern
size 69 → 1 pattern
size 70 → 3 pattern
size 72 → 1 pattern
size 74 → 1 pattern
size 75 → 58 pattern
size 76 → 4 pattern
size 77 → 1 pattern
size 79 → 2 pattern
size 80 → 100 pattern
size 84 → 2 pattern
size 87 → 3 pattern
size 90 → 26 pattern
size 92 → 2 pattern
size 94 → 1 pattern
size 96 → 2 pattern
size 99 → 1 pattern
size 100 → 68 pattern
size 101 → 1 pattern
size 102 → 1 pattern
size 105 → 9 pattern
size 108 → 1 pattern
size 109 → 1 pattern
size 110 → 1 pattern
size 113 → 2 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 118 → 1 pattern
size 120 → 47 pattern
size 121 → 1 pattern
size 122 → 1 pattern
size 132 → 1 pattern
size 135 → 2 pattern
size 140 → 11 pattern
size 150 → 1 pattern
size 160 → 15 pattern
size 168 → 1 pattern
size 180 → 4 pattern
size 190 → 2 pattern
size 200 → 6 pattern
size 211 → 1 pattern
size 220 → 1 pattern
size 240 → 1 pattern
size 250 → 2 pattern
size 259 → 3 pattern
size 280 → 3 pattern
size 296 → 1 pattern
size 300 → 1 pattern
size 301 → 2 pattern
size 311 → 1 pattern
size 462 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 4361

size 2 → 4207 pattern
size 4 → 132 pattern
size 6 → 20 pattern
size 8 → 1 pattern
size 24 → 1 pattern
