
=== GRAPH INFO ===
Nodi: 39429
Archi: 421050
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 81815 = 22h43min35s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 30943

size 2 → 11117 pattern
size 3 → 4640 pattern
size 4 → 3410 pattern
size 5 → 2107 pattern
size 6 → 1555 pattern
size 7 → 1089 pattern
size 8 → 954 pattern
size 9 → 715 pattern
size 10 → 694 pattern
size 11 → 358 pattern
size 12 → 469 pattern
size 13 → 297 pattern
size 14 → 261 pattern
size 15 → 234 pattern
size 16 → 248 pattern
size 17 → 152 pattern
size 18 → 179 pattern
size 19 → 139 pattern
size 20 → 220 pattern
size 21 → 122 pattern
size 22 → 119 pattern
size 23 → 97 pattern
size 24 → 130 pattern
size 25 → 147 pattern
size 26 → 74 pattern
size 27 → 54 pattern
size 28 → 62 pattern
size 29 → 60 pattern
size 30 → 67 pattern
size 31 → 45 pattern
size 32 → 50 pattern
size 33 → 33 pattern
size 34 → 40 pattern
size 35 → 33 pattern
size 36 → 34 pattern
size 37 → 45 pattern
size 38 → 27 pattern
size 39 → 34 pattern
size 40 → 26 pattern
size 41 → 25 pattern
size 42 → 26 pattern
size 43 → 21 pattern
size 44 → 21 pattern
size 45 → 17 pattern
size 46 → 17 pattern
size 47 → 19 pattern
size 48 → 11 pattern
size 49 → 17 pattern
size 50 → 24 pattern
size 51 → 14 pattern
size 52 → 15 pattern
size 53 → 19 pattern
size 54 → 16 pattern
size 55 → 10 pattern
size 56 → 13 pattern
size 57 → 8 pattern
size 58 → 10 pattern
size 59 → 8 pattern
size 60 → 22 pattern
size 61 → 10 pattern
size 62 → 10 pattern
size 63 → 8 pattern
size 64 → 8 pattern
size 65 → 4 pattern
size 66 → 8 pattern
size 67 → 4 pattern
size 68 → 6 pattern
size 69 → 6 pattern
size 70 → 7 pattern
size 71 → 9 pattern
size 72 → 4 pattern
size 73 → 8 pattern
size 74 → 8 pattern
size 75 → 6 pattern
size 76 → 2 pattern
size 77 → 5 pattern
size 78 → 2 pattern
size 79 → 1 pattern
size 80 → 4 pattern
size 81 → 5 pattern
size 82 → 2 pattern
size 83 → 6 pattern
size 84 → 5 pattern
size 85 → 6 pattern
size 86 → 5 pattern
size 87 → 1 pattern
size 88 → 4 pattern
size 89 → 6 pattern
size 90 → 3 pattern
size 91 → 4 pattern
size 92 → 5 pattern
size 93 → 2 pattern
size 94 → 4 pattern
size 95 → 6 pattern
size 96 → 4 pattern
size 97 → 3 pattern
size 98 → 1 pattern
size 99 → 3 pattern
size 100 → 11 pattern
size 101 → 4 pattern
size 102 → 5 pattern
size 103 → 1 pattern
size 104 → 2 pattern
size 105 → 1 pattern
size 106 → 7 pattern
size 107 → 3 pattern
size 108 → 5 pattern
size 109 → 4 pattern
size 110 → 1 pattern
size 112 → 3 pattern
size 113 → 2 pattern
size 114 → 2 pattern
size 115 → 2 pattern
size 116 → 2 pattern
size 117 → 1 pattern
size 118 → 3 pattern
size 119 → 6 pattern
size 120 → 3 pattern
size 121 → 3 pattern
size 122 → 1 pattern
size 123 → 2 pattern
size 125 → 2 pattern
size 126 → 2 pattern
