=== non-contiguous nft : chains ===
Found 274683 chain interruption in 70966 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0.0:	1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 2 1 1 1 1 2 1 
1.0:	1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 2 1 1 1 3 1 
1.0000052477165806e+77:	1 
1.0000061885287646e+77:	3 
1.0000102690098073e+77:	4 
1.0000141239273266e+77:	1 
1.0000244363696052e+77:	2 
1.0000389066231297e+77:	1 
1.0000778649451671e+77:	1 
1.0000808687848583e+77:	2 
1.0000989630945717e+77:	4 
1.0001054609777165e+77:	1 
1.00012004936224e+77:	1 
1.0001229728570278e+77:	2 
1.000126611066323e+77:	3 
1.0001626075870256e+77:	1 
1.0001824783134169e+77:	2 
1.0001841022813129e+77:	1 
1.0002113096829849e+77:	4 
1.000213359646481e+77:	1 
1.0002283620639969e+77:	1 
1.000299072984099e+77:	1 
1.0003009391048187e+77:	1 
1.0003127667873912e+77:	1 
1.0003390979784256e+77:	3 
1.0003967081352243e+77:	2 
1.0004056598720256e+77:	1 
1.0005474408668787e+77:	1 
1.0005481841713928e+77:	2 
1.0005669082227573e+77:	1 
1.0006461610139e+77:	2 
1.0006539153264461e+77:	1 
1.0006646159973743e+77:	1 
1.0006705588891813e+77:	1 
1.0006846992366846e+77:	3 
1.0006918967400917e+77:	1 
1.0007551014686278e+77:	1 
1.0007700952958219e+77:	1 
1.0008078840202354e+77:	1 
1.0008627397850717e+77:	2 
1.0009141572597991e+77:	1 
1.0009165710593898e+77:	1 
1.0009524370728405e+77:	2 
1.0009804342404736e+76:	1 
1.0010018827273037e+77:	1 
1.0010370155926216e+77:	1 
1.0010584090012655e+77:	3 
1.001074272153829e+77:	1 
1.0010828942508759e+77:	2 
1.001116150828651e+77:	1 
1.0011312470865751e+77:	2 
1.0011324026266448e+77:	2 
1.0011849093036781e+77:	9 
1.0011889817685214e+77:	2 
1.0012378969900933e+77:	2 
1.0012802415033526e+77:	1 
1.0012821174111658e+76:	3 
1.0012974013982109e+77:	1 
1.0013469244995098e+77:	1 
1.0013742542483988e+77:	4 
1.0014352691664022e+77:	2 
1.0014364489924027e+77:	3 
1.001479269061603e+75:	2 
1.0015421814700151e+77:	2 
1.0015778729076497e+75:	2 
1.0016611857278881e+77:	1 
1.0017902954275861e+77:	1 
1.0017966541719286e+77:	1 
1.0018807238107273e+77:	1 
1.0018858903080046e+77:	1 
1.0018992981324728e+76:	1 
1.0019279179246349e+76:	2 
1.001985122890853e+77:	1 
1.0019924933616888e+77:	3 
1.002010753478052e+77:	1 
1.0020287002844558e+77:	1 
1.0020817037398635e+77:	2 
1.0020845873388897e+77:	1 
1.0020992185596484e+77:	1 
1.0021119181133937e+75:	1 
1.0021165792652286e+77:	1 
1.002159927580159e+77:	3 
1.0021829334066896e+77:	2 
1.0021939272113405e+77:	1 
1.0022304791192576e+77:	1 
1.0024712168983075e+77:	1 
1.0024775926625282e+77:	1 
1.0025204194826889e+77:	1 
1.002544846967343e+77:	2 
1.0025561402300129e+77:	1 
1.0025754583558231e+77:	1 
1.0025846196973112e+77:	1 
1.0025883088133896e+77:	1 
1.0026010845474751e+77:	4 
1.0026291865029105e+76:	1 
1.002671858693489e+77:	1 
1.0027149173907871e+77:	1 
1.0027269882374063e+76:	1 
1.0027779463018846e+77:	1 
1.0027801068581336e+77:	1 
1.0028313091288457e+77:	1 
1.002887826970356e+77:	1 
1.0029230227309696e+77:	2 
1.00293463183424e+77:	1 
1.0029446522604581e+77:	1 
1.0029560171847785e+77:	1 
1.0029847170337465e+77:	1 
1.0030234267304572e+77:	1 
1.0030357954265348e+77:	2 
1.0030899805654144e+77:	1 
1.0030909379065252e+77:	1 
1.0031094291934536e+77:	3 
1.0031267770687873e+77:	1 
1.0031278118897414e+77:	1 
1.0031668830387714e+77:	1 
1.0031750916328286e+77:	1 
1.0032019478201629e+77:	2 
1.00321155002749e+77:	1 
1.0032230743632561e+77:	1 
1.0032284867233872e+77:	3 
1.0032387825863701e+77:	1 
1.0032447783797487e+77:	2 
1.003270214638872e+77:	1 
1.0032949093598216e+77:	1 
1.0033060438032419e+76:	2 
1.0033261219008552e+77:	1 
1.0033271867081323e+77:	1 
1.0033300420212011e+77:	1 
1.0034116671507509e+75:	1 
1.0035025949076595e+77:	1 
1.0035275275093721e+77:	1 
1.0035904924625912e+77:	1 
1.003635890244146e+77:	2 
1.0036464198386044e+77:	1 
1.003668400718397e+77:	3 
1.0036733318698906e+76:	2 
1.0036736502551145e+77:	1 
1.0037028146429973e+77:	2 
1.0037370397145366e+76:	1 
1.0037929808652797e+77:	1 
1.0038019122545754e+76:	1 
1.0038123237379246e+77:	2 
1.0038297819215347e+77:	1 
1.0038302950435793e+77:	2 
1.0038375026515998e+77:	1 
1.0038395838398126e+77:	1 
1.0038529378523956e+77:	1 
1.0038634753770803e+77:	1 
1.0038960981764489e+76:	2 
1.003918031747737e+77:	1 
1.0039600706508457e+77:	1 
1.00404355053352e+75:	1 
1.0040535169533688e+77:	1 
1.0040622717631472e+77:	1 
1.0040763270155482e+77:	1 
1.0040816127998665e+77:	1 
1.0040926281772188e+77:	1 
1.0040944191466913e+76:	3 
1.0041026177240641e+77:	9 
1.0041164162597112e+77:	1 
1.0041310853878003e+77:	1 
1.0041664608741842e+77:	5 
1.0041910552259224e+77:	1 
1.0041920439924073e+77:	2 
1.004205936273768e+77:	1 
1.0042077038041575e+77:	3 
1.0043174680603998e+77:	1 
1.0043225225617325e+77:	1 
1.0043603810743027e+77:	2 
1.0043702250955847e+77:	2 
1.0043810226986723e+77:	1 
1.0044372125031684e+77:	2 
1.0044426245107189e+77:	2 
1.0044713832057162e+77:	3 
1.0045332331856578e+77:	1 
1.0045695192050993e+77:	1 
1.0045724974617922e+77:	2 
1.0045898369600657e+77:	1 
1.0046035128711363e+77:	1 
1.0046200727470198e+77:	1 
1.0046409227032961e+76:	1 
1.004691731845061e+77:	1 
1.0047421197764837e+77:	1 
1.0047425002485477e+77:	1 
1.0047524831793915e+77:	2 
1.0047705686744028e+77:	1 
1.0047731406556854e+76:	1 
1.0048858350421874e+77:	1 
1.004920306697442e+77:	1 
1.0049314214309845e+77:	2 
1.0049704710292019e+77:	3 
1.005002866418952e+77:	2 
1.0050103916308316e+77:	1 
1.005026826427751e+77:	5 
