
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 90 = 1min30s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 54735

size 2 → 30346 pattern
size 3 → 8510 pattern
size 4 → 4150 pattern
size 5 → 2619 pattern
size 6 → 1379 pattern
size 7 → 853 pattern
size 8 → 616 pattern
size 9 → 2194 pattern
size 10 → 534 pattern
size 11 → 293 pattern
size 12 → 251 pattern
size 13 → 153 pattern
size 14 → 167 pattern
size 15 → 123 pattern
size 16 → 136 pattern
size 17 → 74 pattern
size 18 → 261 pattern
size 19 → 98 pattern
size 20 → 259 pattern
size 21 → 52 pattern
size 22 → 46 pattern
size 23 → 35 pattern
size 24 → 28 pattern
size 25 → 42 pattern
size 26 → 33 pattern
size 27 → 83 pattern
size 28 → 27 pattern
size 29 → 25 pattern
size 30 → 45 pattern
size 31 → 22 pattern
size 32 → 17 pattern
size 33 → 17 pattern
size 34 → 11 pattern
size 35 → 25 pattern
size 36 → 352 pattern
size 37 → 38 pattern
size 38 → 26 pattern
size 39 → 15 pattern
size 40 → 71 pattern
size 41 → 12 pattern
size 42 → 13 pattern
size 43 → 12 pattern
size 44 → 14 pattern
size 45 → 32 pattern
size 46 → 12 pattern
size 47 → 11 pattern
size 48 → 11 pattern
size 49 → 8 pattern
size 50 → 46 pattern
size 51 → 11 pattern
size 52 → 4 pattern
size 53 → 8 pattern
size 54 → 21 pattern
size 55 → 8 pattern
size 56 → 8 pattern
size 57 → 7 pattern
size 58 → 2 pattern
size 59 → 5 pattern
size 60 → 13 pattern
size 61 → 4 pattern
size 62 → 1 pattern
size 63 → 14 pattern
size 64 → 3 pattern
size 65 → 5 pattern
size 66 → 6 pattern
size 67 → 2 pattern
size 68 → 3 pattern
size 69 → 1 pattern
size 70 → 1 pattern
size 71 → 2 pattern
size 72 → 35 pattern
size 73 → 4 pattern
size 74 → 7 pattern
size 75 → 3 pattern
size 76 → 3 pattern
size 77 → 3 pattern
size 78 → 4 pattern
size 79 → 2 pattern
size 80 → 3 pattern
size 81 → 2 pattern
size 82 → 5 pattern
size 83 → 15 pattern
size 84 → 5 pattern
size 85 → 3 pattern
size 87 → 2 pattern
size 88 → 1 pattern
size 89 → 7 pattern
size 90 → 5 pattern
size 91 → 1 pattern
size 93 → 2 pattern
size 94 → 2 pattern
size 96 → 3 pattern
size 98 → 2 pattern
size 99 → 3 pattern
size 100 → 6 pattern
size 101 → 1 pattern
size 102 → 2 pattern
size 103 → 1 pattern
size 104 → 1 pattern
size 105 → 2 pattern
size 108 → 6 pattern
size 110 → 1 pattern
size 111 → 1 pattern
size 113 → 1 pattern
size 114 → 2 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 117 → 2 pattern
size 119 → 1 pattern
size 120 → 1 pattern
size 122 → 2 pattern
size 125 → 1 pattern
size 129 → 1 pattern
size 131 → 3 pattern
size 132 → 1 pattern
size 133 → 2 pattern
size 135 → 1 pattern
size 136 → 1 pattern
size 139 → 1 pattern
size 144 → 85 pattern
size 145 → 2 pattern
size 146 → 3 pattern
size 147 → 1 pattern
size 148 → 3 pattern
