
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 1920 = 32min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 60979

size 2 → 29891 pattern
size 3 → 9872 pattern
size 4 → 5536 pattern
size 5 → 3877 pattern
size 6 → 2351 pattern
size 7 → 1264 pattern
size 8 → 878 pattern
size 9 → 2221 pattern
size 10 → 735 pattern
size 11 → 468 pattern
size 12 → 433 pattern
size 13 → 247 pattern
size 14 → 225 pattern
size 15 → 200 pattern
size 16 → 154 pattern
size 17 → 115 pattern
size 18 → 256 pattern
size 19 → 131 pattern
size 20 → 137 pattern
size 21 → 83 pattern
size 22 → 66 pattern
size 23 → 54 pattern
size 24 → 40 pattern
size 25 → 49 pattern
size 26 → 48 pattern
size 27 → 81 pattern
size 28 → 41 pattern
size 29 → 26 pattern
size 30 → 55 pattern
size 31 → 27 pattern
size 32 → 36 pattern
size 33 → 35 pattern
size 34 → 23 pattern
size 35 → 28 pattern
size 36 → 358 pattern
size 37 → 49 pattern
size 38 → 30 pattern
size 39 → 23 pattern
size 40 → 24 pattern
size 41 → 13 pattern
size 42 → 14 pattern
size 43 → 21 pattern
size 44 → 19 pattern
size 45 → 44 pattern
size 46 → 12 pattern
size 47 → 11 pattern
size 48 → 16 pattern
size 49 → 9 pattern
size 50 → 17 pattern
size 51 → 16 pattern
size 52 → 8 pattern
size 53 → 9 pattern
size 54 → 20 pattern
size 55 → 11 pattern
size 56 → 15 pattern
size 57 → 7 pattern
size 58 → 6 pattern
size 59 → 11 pattern
size 60 → 11 pattern
size 61 → 3 pattern
size 62 → 1 pattern
size 63 → 10 pattern
size 64 → 6 pattern
size 65 → 7 pattern
size 66 → 6 pattern
size 68 → 7 pattern
size 69 → 1 pattern
size 70 → 2 pattern
size 71 → 7 pattern
size 72 → 21 pattern
size 73 → 10 pattern
size 74 → 7 pattern
size 75 → 8 pattern
size 76 → 4 pattern
size 77 → 2 pattern
size 78 → 3 pattern
size 79 → 2 pattern
size 80 → 4 pattern
size 81 → 7 pattern
size 82 → 5 pattern
size 83 → 15 pattern
size 84 → 4 pattern
size 85 → 4 pattern
size 86 → 1 pattern
size 87 → 2 pattern
size 88 → 3 pattern
size 89 → 6 pattern
size 90 → 4 pattern
size 91 → 4 pattern
size 92 → 1 pattern
size 93 → 2 pattern
size 94 → 3 pattern
size 96 → 2 pattern
size 98 → 3 pattern
size 99 → 3 pattern
size 100 → 5 pattern
size 101 → 4 pattern
size 102 → 5 pattern
size 103 → 3 pattern
size 104 → 1 pattern
size 105 → 1 pattern
size 107 → 3 pattern
size 108 → 8 pattern
size 110 → 3 pattern
size 111 → 3 pattern
size 113 → 2 pattern
size 114 → 2 pattern
size 115 → 2 pattern
size 116 → 1 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 120 → 4 pattern
size 121 → 2 pattern
size 122 → 1 pattern
size 123 → 2 pattern
size 124 → 1 pattern
size 126 → 1 pattern
size 129 → 1 pattern
size 131 → 3 pattern
size 132 → 3 pattern
size 133 → 3 pattern
size 134 → 1 pattern
size 135 → 3 pattern
