
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 407124 = 4d17h5min24s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 65957

size 2 → 32602 pattern
size 3 → 10803 pattern
size 4 → 5913 pattern
size 5 → 4071 pattern
size 6 → 2647 pattern
size 7 → 1455 pattern
size 8 → 1005 pattern
size 9 → 1964 pattern
size 10 → 827 pattern
size 11 → 603 pattern
size 12 → 453 pattern
size 13 → 297 pattern
size 14 → 263 pattern
size 15 → 232 pattern
size 16 → 196 pattern
size 17 → 131 pattern
size 18 → 247 pattern
size 19 → 134 pattern
size 20 → 118 pattern
size 21 → 91 pattern
size 22 → 70 pattern
size 23 → 64 pattern
size 24 → 50 pattern
size 25 → 55 pattern
size 26 → 56 pattern
size 27 → 66 pattern
size 28 → 48 pattern
size 29 → 47 pattern
size 30 → 39 pattern
size 31 → 32 pattern
size 32 → 36 pattern
size 33 → 31 pattern
size 34 → 24 pattern
size 35 → 30 pattern
size 36 → 304 pattern
size 37 → 50 pattern
size 38 → 29 pattern
size 39 → 30 pattern
size 40 → 22 pattern
size 41 → 16 pattern
size 42 → 20 pattern
size 43 → 14 pattern
size 44 → 27 pattern
size 45 → 38 pattern
size 46 → 16 pattern
size 47 → 12 pattern
size 48 → 17 pattern
size 49 → 7 pattern
size 50 → 16 pattern
size 51 → 16 pattern
size 52 → 8 pattern
size 53 → 10 pattern
size 54 → 12 pattern
size 55 → 13 pattern
size 56 → 8 pattern
size 57 → 10 pattern
size 58 → 4 pattern
size 59 → 6 pattern
size 60 → 12 pattern
size 61 → 2 pattern
size 62 → 12 pattern
size 63 → 17 pattern
size 64 → 11 pattern
size 65 → 10 pattern
size 66 → 7 pattern
size 67 → 4 pattern
size 68 → 4 pattern
size 69 → 3 pattern
size 70 → 1 pattern
size 71 → 3 pattern
size 72 → 20 pattern
size 73 → 8 pattern
size 74 → 5 pattern
size 75 → 4 pattern
size 76 → 3 pattern
size 77 → 4 pattern
size 78 → 7 pattern
size 79 → 2 pattern
size 80 → 4 pattern
size 81 → 6 pattern
size 82 → 7 pattern
size 83 → 5 pattern
size 84 → 3 pattern
size 85 → 5 pattern
size 86 → 2 pattern
size 87 → 2 pattern
size 88 → 6 pattern
size 89 → 8 pattern
size 90 → 8 pattern
size 91 → 2 pattern
size 92 → 3 pattern
size 93 → 3 pattern
size 94 → 3 pattern
size 95 → 2 pattern
size 96 → 2 pattern
size 97 → 1 pattern
size 98 → 1 pattern
size 99 → 2 pattern
size 100 → 4 pattern
size 101 → 2 pattern
size 102 → 1 pattern
size 103 → 9 pattern
size 105 → 2 pattern
size 107 → 2 pattern
size 108 → 6 pattern
size 110 → 1 pattern
size 111 → 2 pattern
size 114 → 1 pattern
size 115 → 1 pattern
size 116 → 3 pattern
size 117 → 2 pattern
size 119 → 1 pattern
size 120 → 2 pattern
size 121 → 1 pattern
size 122 → 1 pattern
size 123 → 1 pattern
size 127 → 1 pattern
size 128 → 2 pattern
size 129 → 2 pattern
size 130 → 1 pattern
size 131 → 3 pattern
size 133 → 2 pattern
size 134 → 2 pattern
