
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 152483117 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 69581

size 2 → 28783 pattern
size 3 → 11837 pattern
size 4 → 6755 pattern
size 5 → 4524 pattern
size 6 → 3269 pattern
size 7 → 2217 pattern
size 8 → 1523 pattern
size 9 → 2181 pattern
size 10 → 1283 pattern
size 11 → 857 pattern
size 12 → 684 pattern
size 13 → 565 pattern
size 14 → 497 pattern
size 15 → 382 pattern
size 16 → 348 pattern
size 17 → 268 pattern
size 18 → 335 pattern
size 19 → 236 pattern
size 20 → 207 pattern
size 21 → 174 pattern
size 22 → 135 pattern
size 23 → 109 pattern
size 24 → 113 pattern
size 25 → 90 pattern
size 26 → 109 pattern
size 27 → 117 pattern
size 28 → 81 pattern
size 29 → 73 pattern
size 30 → 70 pattern
size 31 → 65 pattern
size 32 → 64 pattern
size 33 → 58 pattern
size 34 → 47 pattern
size 35 → 39 pattern
size 36 → 228 pattern
size 37 → 92 pattern
size 38 → 41 pattern
size 39 → 41 pattern
size 40 → 38 pattern
size 41 → 34 pattern
size 42 → 33 pattern
size 43 → 34 pattern
size 44 → 36 pattern
size 45 → 53 pattern
size 46 → 21 pattern
size 47 → 22 pattern
size 48 → 32 pattern
size 49 → 19 pattern
size 50 → 15 pattern
size 51 → 25 pattern
size 52 → 17 pattern
size 53 → 11 pattern
size 54 → 13 pattern
size 55 → 19 pattern
size 56 → 17 pattern
size 57 → 15 pattern
size 58 → 10 pattern
size 59 → 8 pattern
size 60 → 18 pattern
size 61 → 5 pattern
size 62 → 13 pattern
size 63 → 14 pattern
size 64 → 13 pattern
size 65 → 12 pattern
size 66 → 14 pattern
size 67 → 8 pattern
size 68 → 8 pattern
size 69 → 5 pattern
size 70 → 5 pattern
size 71 → 4 pattern
size 72 → 19 pattern
size 73 → 13 pattern
size 74 → 10 pattern
size 75 → 6 pattern
size 76 → 6 pattern
size 77 → 7 pattern
size 78 → 4 pattern
size 79 → 4 pattern
size 80 → 3 pattern
size 81 → 8 pattern
size 82 → 6 pattern
size 83 → 6 pattern
size 84 → 4 pattern
size 85 → 5 pattern
size 86 → 4 pattern
size 87 → 4 pattern
size 88 → 4 pattern
size 89 → 7 pattern
size 90 → 6 pattern
size 91 → 3 pattern
size 92 → 6 pattern
size 93 → 2 pattern
size 94 → 6 pattern
size 95 → 5 pattern
size 97 → 4 pattern
size 98 → 4 pattern
size 99 → 5 pattern
size 100 → 5 pattern
size 101 → 3 pattern
size 102 → 2 pattern
size 103 → 5 pattern
size 104 → 4 pattern
size 105 → 2 pattern
size 106 → 3 pattern
size 107 → 3 pattern
size 108 → 3 pattern
size 109 → 1 pattern
size 110 → 6 pattern
size 111 → 4 pattern
size 112 → 3 pattern
size 113 → 1 pattern
size 114 → 2 pattern
size 115 → 1 pattern
size 116 → 1 pattern
size 117 → 4 pattern
size 120 → 1 pattern
size 121 → 1 pattern
size 123 → 1 pattern
size 127 → 1 pattern
size 128 → 1 pattern
size 129 → 1 pattern
size 130 → 1 pattern
size 131 → 4 pattern
