
=== GRAPH INFO ===
Nodi: 18046
Archi: 47460
Duration (sec): 86350068 = 2y in interval [1619786339, 1706136407]
Delta (sec): 86350068 = 2y8m4w1d10h7min48s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 7217

size 2 → 4080 pattern
size 3 → 1308 pattern
size 4 → 680 pattern
size 5 → 339 pattern
size 6 → 195 pattern
size 7 → 110 pattern
size 8 → 96 pattern
size 9 → 76 pattern
size 10 → 41 pattern
size 11 → 38 pattern
size 12 → 30 pattern
size 13 → 12 pattern
size 14 → 26 pattern
size 15 → 17 pattern
size 16 → 9 pattern
size 17 → 14 pattern
size 18 → 8 pattern
size 19 → 5 pattern
size 20 → 6 pattern
size 21 → 4 pattern
size 22 → 7 pattern
size 23 → 11 pattern
size 24 → 4 pattern
size 25 → 4 pattern
size 26 → 5 pattern
size 27 → 1 pattern
size 28 → 4 pattern
size 29 → 2 pattern
size 30 → 5 pattern
size 31 → 3 pattern
size 32 → 3 pattern
size 33 → 1 pattern
size 34 → 2 pattern
size 35 → 1 pattern
size 36 → 1 pattern
size 37 → 2 pattern
size 38 → 1 pattern
size 39 → 1 pattern
size 40 → 2 pattern
size 41 → 2 pattern
size 42 → 1 pattern
size 43 → 2 pattern
size 44 → 5 pattern
size 45 → 3 pattern
size 46 → 3 pattern
size 50 → 1 pattern
size 52 → 1 pattern
size 54 → 1 pattern
size 55 → 1 pattern
size 58 → 2 pattern
size 61 → 2 pattern
size 62 → 1 pattern
size 63 → 1 pattern
size 67 → 1 pattern
size 69 → 1 pattern
size 70 → 1 pattern
size 72 → 2 pattern
size 76 → 1 pattern
size 77 → 1 pattern
size 80 → 1 pattern
size 81 → 1 pattern
size 83 → 1 pattern
size 85 → 1 pattern
size 91 → 1 pattern
size 94 → 1 pattern
size 96 → 1 pattern
size 97 → 2 pattern
size 100 → 1 pattern
size 106 → 1 pattern
size 109 → 1 pattern
size 112 → 1 pattern
size 117 → 1 pattern
size 129 → 1 pattern
size 134 → 1 pattern
size 139 → 1 pattern
size 170 → 1 pattern
size 176 → 1 pattern
size 177 → 1 pattern
size 186 → 1 pattern
size 211 → 1 pattern
size 226 → 1 pattern
size 233 → 1 pattern
size 237 → 1 pattern
size 240 → 2 pattern
size 255 → 1 pattern
size 288 → 1 pattern
size 354 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 5683

size 2 → 4187 pattern
size 4 → 924 pattern
size 6 → 297 pattern
size 8 → 112 pattern
size 10 → 59 pattern
size 12 → 36 pattern
size 14 → 18 pattern
size 16 → 13 pattern
size 18 → 14 pattern
size 20 → 6 pattern
size 22 → 4 pattern
size 24 → 5 pattern
size 26 → 3 pattern
size 28 → 1 pattern
size 34 → 2 pattern
size 46 → 2 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 8973

size 2 → 7140 pattern
size 4 → 1177 pattern
size 6 → 360 pattern
size 8 → 120 pattern
size 10 → 61 pattern
size 12 → 40 pattern
size 14 → 26 pattern
size 16 → 9 pattern
size 18 → 14 pattern
size 20 → 9 pattern
size 22 → 3 pattern
size 24 → 3 pattern
size 26 → 6 pattern
