=== non-contiguous nft : chains ===
Found 16429 chain interruption in 9078 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
100:	1 3 1 
1000:	1 
1001:	7 1 
1002:	5 1 
1003:	3 
1004:	2 1 1 
1005:	3 
1006:	1 2 2 
1007:	1 1 4 1 3 2 
1008:	2 1 1 
1009:	6 2 1 1 
101:	3 
1011:	1 
1012:	10 1 1 6 2 1 5 1 1 2 1 1 
1013:	2 
1015:	1 
1017:	4 
1018:	1 1 
102:	6 1 1 1 1 1 1 1 
1020:	1 3 1 
1021:	1 2 1 
1022:	4 
1025:	1 
1026:	1 2 
1027:	1 
1029:	1 
103:	5 
1030:	4 
1032:	3 1 1 1 1 1 
1033:	2 1 1 2 
1036:	1 1 1 
1038:	3 
1039:	2 2 1 
1040:	2 
1041:	2 2 2 
1042:	5 1 
1043:	1 
1044:	2 3 2 
1045:	1 2 
1046:	2 4 1 
1047:	2 
1048:	4 
1049:	4 1 2 2 1 
105:	1 1 1 
1050:	2 1 
1051:	3 2 1 2 
1052:	2 
1053:	2 
1054:	5 2 3 
1055:	7 
1056:	1 1 3 
1057:	2 3 1 
1058:	4 
1059:	1 1 1 1 2 2 1 3 
1060:	3 2 3 
1061:	1 1 
1062:	3 1 
1063:	1 
1064:	5 7 
1065:	3 
1066:	1 2 
1067:	1 1 1 
1068:	1 
1069:	2 
1070:	2 7 1 
1071:	1 1 1 9 
1072:	1 1 1 
1073:	2 
1074:	2 4 1 1 
1075:	2 
1076:	3 
1078:	2 
108:	3 
1080:	10 3 1 2 4 5 1 1 1 1 1 2 1 1 1 1 2 1 1 
1082:	3 
1083:	6 
1084:	2 1 
1085:	1 4 
1086:	3 2 1 1 2 
1087:	1 
1088:	2 
109:	1 
1091:	2 
1092:	4 
1094:	5 
1095:	1 1 1 1 
1096:	1 1 
1097:	1 1 1 1 3 
1098:	7 
1099:	1 
11:	1 
1100:	2 5 5 
1102:	1 1 
1103:	1 
1104:	2 4 1 
1105:	2 4 
1106:	3 
1107:	1 
1108:	1 3 1 1 
1109:	5 2 1 1 1 1 
1111:	1 
1112:	2 1 
1113:	2 7 1 
1115:	1 2 
1118:	1 2 2 6 
1119:	1 
112:	2 1 
1121:	4 
1124:	3 2 1 
1125:	1 1 4 
1126:	2 
1127:	2 
1128:	8 2 
1129:	2 
1130:	2 
1131:	4 1 
1132:	1 
1133:	6 
1134:	7 
1136:	2 2 2 2 
1137:	6 1 
1138:	1 
1139:	5 
114:	1 
1140:	3 
1141:	4 
1142:	1 2 
1143:	1 
1144:	1 
1145:	2 1 
1146:	1 
1147:	1 
1148:	4 1 1 1 
115:	1 2 
1150:	1 1 1 
1151:	1 
1152:	5 1 
1153:	1 
1154:	1 5 1 
1155:	1 1 3 1 1 1 1 1 1 1 1 1 
1156:	3 6 1 2 2 1 1 
1157:	4 
1158:	1 1 
1159:	2 1 
1160:	1 
1161:	2 4 5 1 1 3 
1163:	6 2 
1164:	1 
1165:	3 
1166:	6 2 1 2 1 1 1 1 1 1 1 1 1 
1167:	2 1 1 1 2 1 1 1 1 1 1 
1168:	1 
1169:	1 
117:	4 1 1 
1170:	1 1 1 
1171:	1 
1172:	3 
1173:	4 1 
1174:	1 1 
1176:	3 
1177:	2 
1178:	1 
1179:	2 4 1 3 
118:	1 
1180:	1 1 2 
1181:	1 1 2 
1182:	2 
1183:	2 6 
1184:	5 
1185:	1 
1186:	1 1 
1187:	5 2 
1188:	1 
1189:	2 
119:	5 
1190:	3 1 
1191:	1 1 1 3 
1192:	6 2 
1193:	2 
1194:	4 6 1 
1197:	6 3 
1198:	8 2 
1199:	1 
120:	1 
