=== non-contiguous nft : chains ===
Found 2244 chain interruption in 6179 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1000:	1 
1001:	1 
1002:	1 
1003:	1 1 
1004:	1 
1005:	4 1 
1006:	2 
1007:	1 1 1 
1008:	3 
1009:	3 
101:	4 
1010:	1 1 
1011:	2 
1012:	1 
1013:	2 3 
1014:	1 
1015:	2 
1016:	2 
1017:	3 
1018:	2 
1019:	5 
102:	2 
1020:	2 
1021:	2 2 
1022:	1 1 1 
1023:	1 
1024:	2 
1025:	1 
1026:	1 1 1 1 1 1 1 1 
1027:	5 
1028:	1 
1029:	2 2 
103:	2 
1030:	3 
1031:	2 
1032:	1 
1033:	4 
1034:	2 
1036:	1 
1037:	3 1 1 
1038:	2 
1039:	1 
104:	1 1 1 
1040:	1 
1041:	1 2 1 
1042:	2 
1043:	4 
1044:	2 
1045:	1 1 
1046:	1 
1047:	1 3 
1048:	2 
1049:	1 
105:	1 
1050:	1 
1051:	1 1 
1055:	1 1 
1057:	1 1 
1058:	5 3 
1059:	1 
106:	1 1 1 
1060:	5 
1061:	4 2 
1062:	2 1 
1063:	5 
1064:	2 
1065:	2 3 
1066:	2 1 
1067:	1 
1068:	2 
1069:	1 
107:	3 1 
1072:	1 
1074:	1 
1075:	3 
1076:	2 
1077:	1 2 1 
1078:	1 1 
1079:	2 
108:	1 
1080:	5 
1081:	4 
1082:	4 
1083:	1 1 
1084:	7 
1085:	2 
1086:	1 
1087:	3 1 2 1 
1088:	1 1 1 1 
1089:	3 
109:	2 
1090:	3 
1091:	4 
1093:	3 
1094:	3 
1095:	1 
1099:	1 
110:	1 
1100:	1 
1101:	3 
1102:	3 
1103:	2 
1104:	2 1 
1105:	2 
1106:	1 
1107:	1 
1108:	2 
1109:	3 1 
111:	1 
1110:	1 
1111:	2 
1112:	2 
1113:	2 
1114:	1 
1115:	3 
1116:	1 
1117:	5 
1118:	2 
1119:	2 
112:	2 
