=== non-contiguous nft : chains ===
Found 1752 chain interruption in 5064 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	3 
100:	1 
1000:	7 
1001:	2 2 
1002:	4 1 4 
1003:	2 1 
1004:	1 
1005:	5 
1006:	2 
1007:	6 1 
1008:	4 
1009:	1 
101:	1 1 
1010:	3 
1011:	5 
1012:	2 
1013:	1 4 
1014:	1 
1015:	1 
1016:	3 
1017:	3 3 
1018:	4 
1019:	1 
102:	1 
1020:	1 
1021:	2 
1022:	2 
1023:	3 
1024:	2 
1025:	1 1 
1026:	2 
1027:	1 
1028:	2 
1029:	2 
103:	1 
1030:	3 1 
1031:	3 
1032:	2 2 
1033:	3 
1034:	3 5 
1035:	1 2 
1036:	3 3 
1037:	1 2 1 
1038:	3 
1039:	1 2 
104:	5 
1040:	3 1 
1041:	6 
1042:	2 
1043:	1 
1044:	2 2 2 
1045:	2 1 1 1 
1046:	1 1 
1047:	2 1 
1048:	4 
105:	2 2 
1051:	3 
1052:	5 
1054:	1 1 1 3 
1055:	2 
1056:	2 
1057:	3 
1058:	3 1 
1059:	1 4 
106:	2 2 
1060:	4 
1061:	2 
1062:	2 
1063:	2 2 
1064:	3 
1065:	3 
1066:	4 
1067:	3 5 
1068:	1 1 
1069:	2 
107:	4 
1070:	2 1 
1071:	4 
1072:	2 
1073:	3 1 
1074:	1 
1075:	4 
1076:	1 1 
1077:	2 1 
1078:	1 1 1 
1079:	1 1 
108:	2 1 
1080:	2 
1081:	5 
1082:	4 
1083:	2 4 
1084:	1 
1085:	2 
1086:	3 1 1 2 
1087:	2 
1088:	4 
109:	2 
1090:	3 
1091:	4 
1092:	1 
1093:	2 
1094:	4 
1095:	3 
1096:	2 
1097:	2 
1098:	2 
1099:	2 
11:	2 
110:	3 
1100:	2 2 1 
1101:	2 
1102:	3 
1103:	3 1 
1104:	3 
1105:	2 4 
1106:	1 1 2 
1107:	2 1 1 
1108:	1 
1109:	1 1 
111:	2 
1111:	1 
1112:	3 2 
1113:	3 2 
1115:	2 
1116:	2 
1117:	5 1 
1118:	4 
1119:	3 
112:	6 1 
1120:	5 
1121:	3 
1122:	3 
1123:	4 
1124:	2 
1125:	2 4 
1126:	1 
1127:	3 
1128:	4 
1129:	2 
113:	2 
1130:	2 
1131:	2 
1132:	1 3 
1133:	2 
1134:	1 2 
1135:	3 
1136:	1 
1137:	7 
1138:	2 1 
1139:	2 2 
114:	1 2 
1140:	3 
1141:	1 
1142:	1 
1143:	2 
1144:	6 2 
1145:	1 1 
1146:	3 1 2 1 3 
1147:	2 
1148:	2 1 
1149:	2 2 1 
115:	2 
1150:	1 
1151:	6 
1152:	3 1 
1153:	3 
1154:	3 
1155:	3 3 
1156:	2 1 
1157:	1 2 
1158:	3 3 2 
1159:	1 
116:	4 
1160:	7 
1161:	4 
1162:	2 3 
1163:	1 1 
1164:	4 1 
1165:	3 
1166:	4 
1167:	4 
1168:	1 
1169:	2 
117:	2 
1170:	1 
1171:	1 
1172:	3 
1173:	1 1 
1174:	1 
1175:	3 1 
1176:	1 1 
1177:	4 
1178:	2 
1179:	4 
118:	4 
1180:	4 
1181:	5 1 
1182:	1 
1183:	3 6 
1184:	3 2 
1185:	4 2 
1186:	3 
1187:	1 2 
1188:	3 
1189:	5 
119:	3 
1190:	2 2 
1191:	5 
1192:	1 2 1 
1193:	2 
1194:	4 
1195:	2 
1196:	1 
1197:	4 
1198:	2 2 
1199:	6 
12:	2 
1200:	3 
1201:	4 2 
1202:	2 
1203:	3 
1204:	3 
1205:	2 1 
1208:	3 1 
1209:	1 
121:	2 
1210:	4 
1211:	4 
1212:	5 2 
1213:	2 
1214:	1 1 
1215:	2 
1216:	4 
1217:	1 
1218:	3 
1219:	8 
122:	2 
1220:	1 3 
1221:	3 
1222:	1 1 
1223:	3 
1224:	2 3 
1225:	3 
1226:	2 1 
1227:	4 
1228:	2 
1229:	1 1 1 
1230:	3 
1231:	1 
1232:	2 2 
1233:	1 3 
1234:	1 
1235:	3 2 2 1 
1236:	3 
1237:	4 
1238:	2 1 
1239:	2 2 
124:	1 1 
1240:	3 4 
1241:	3 1 
1242:	5 
1243:	5 
1244:	2 1 
1245:	4 
1246:	2 
1247:	6 
1248:	3 1 4 
1249:	1 
125:	5 
1250:	2 
1251:	1 2 
1252:	3 
1253:	3 
1254:	2 
1255:	4 
1256:	2 
1257:	1 
1258:	4 1 
1259:	4 
126:	3 
1260:	3 1 
1261:	1 1 
1262:	4 
1263:	4 
1264:	3 2 
1265:	4 
1266:	2 1 1 
1267:	1 
1268:	3 4 
1269:	1 1 
127:	6 1 
1270:	3 
1271:	2 
1272:	1 
1273:	4 
1274:	3 
1275:	2 
1276:	4 
1277:	1 1 1 
1278:	2 
1279:	1 
128:	5 
1280:	5 
1281:	3 
1282:	2 
1283:	2 
1284:	2 
1285:	3 
1286:	1 1 
1287:	3 
1288:	1 
1289:	4 
129:	5 1 
1290:	7 
1291:	1 3 
1292:	3 
1293:	3 
1294:	2 
1295:	3 
1296:	2 
1298:	3 
1299:	2 
130:	5 
1300:	2 1 
1302:	5 
1303:	2 1 
1304:	4 1 
1305:	4 2 2 
1306:	2 
1307:	4 
1308:	3 
1309:	2 
131:	4 
1310:	2 
1311:	6 
1312:	3 2 
1313:	1 
1314:	1 
1315:	1 1 
1316:	3 
1317:	3 
1318:	2 
1321:	2 
1322:	4 2 
1323:	2 2 
1324:	5 
1325:	1 
1326:	2 2 
1327:	4 1 
1328:	2 
1329:	2 
133:	1 
1330:	1 1 
1331:	2 
1332:	1 2 
1333:	1 
1334:	3 
1335:	3 
1336:	2 
1337:	1 
1338:	2 
1339:	3 
134:	2 
1340:	5 3 1 
1341:	2 
1342:	1 
1343:	3 
1344:	2 1 
1346:	4 1 
1347:	3 
1348:	3 1 
1349:	3 
135:	1 4 2 
1350:	2 
1351:	5 
1352:	2 1 
1353:	2 
1354:	2 3 
1355:	5 
1356:	3 1 
1357:	1 2 
1358:	2 3 
1359:	4 2 
136:	1 
1360:	1 
1361:	4 
1362:	5 
1363:	4 
1364:	4 1 
1365:	5 1 
1366:	2 
1367:	2 
1368:	5 
1369:	2 
137:	5 
1370:	3 
1372:	2 2 
1373:	1 
1374:	3 
1375:	4 
1376:	2 
1377:	2 
1378:	3 
1379:	1 1 
138:	3 
1380:	1 
1381:	1 
1383:	1 
1384:	2 5 
1385:	1 1 
1386:	3 
1387:	2 
1388:	3 
1389:	3 
139:	3 
1390:	1 
1391:	3 
1392:	3 
1393:	3 
1394:	5 2 
1395:	3 
1396:	3 
1397:	3 1 
1398:	2 1 
1399:	2 
14:	2 2 
140:	1 3 1 
1400:	5 
1401:	1 2 
1402:	1 
1403:	2 1 1 1 
1404:	1 
1405:	6 
1406:	2 4 
1407:	2 
1408:	1 
1409:	4 
141:	2 
1410:	4 2 
1411:	5 
1412:	4 2 
1413:	1 2 
1414:	3 
1415:	2 
1416:	3 
1417:	2 
1418:	4 
1419:	6 1 
142:	3 
1420:	3 
1421:	1 1 
1422:	4 
1423:	2 
1424:	4 
1425:	2 
1426:	2 
1427:	3 
1428:	2 2 
1429:	3 2 
143:	2 
1430:	3 
1431:	3 
1432:	2 
1433:	3 
1434:	2 1 
1435:	1 1 1 3 
1436:	1 3 
1437:	2 
1438:	1 
1439:	1 3 
144:	2 
1440:	2 
1441:	2 
1442:	5 
1443:	2 
1444:	1 
1445:	3 
1446:	6 
1447:	1 2 
1448:	2 
1449:	4 
145:	1 
1450:	8 
1451:	1 1 
1452:	2 
1453:	4 
1454:	4 2 
1455:	3 
1457:	2 
1458:	1 3 
1459:	4 2 
146:	1 
1460:	2 
1461:	2 2 
1462:	8 
1463:	3 
1464:	3 
1465:	1 
1466:	2 
1467:	2 2 
1468:	1 
1469:	3 
147:	3 
1470:	5 
1471:	2 
1472:	1 2 3 
1473:	2 1 
1474:	1 
1475:	1 1 
1476:	3 
1477:	3 
1478:	3 
1479:	5 
148:	1 
1480:	3 
1481:	5 
1482:	2 
1483:	4 
1484:	1 
1485:	1 
1486:	1 
1487:	1 2 
1488:	2 1 
1489:	3 2 3 
1490:	1 
1491:	2 
1492:	1 5 
1493:	3 
1494:	4 
1495:	2 
1496:	3 3 
1497:	1 
1498:	1 
1499:	5 
15:	2 
150:	3 
1500:	2 
1501:	5 
1502:	1 
1503:	2 
1504:	3 
1505:	2 1 
1506:	2 
1508:	3 
1509:	2 2 
151:	3 
1510:	7 
1511:	1 2 
1512:	2 
1513:	3 
1514:	2 
1515:	1 
1516:	4 
1517:	2 
1518:	3 1 
1519:	5 
152:	2 
1520:	1 
1521:	1 2 
1522:	2 
1523:	5 
1524:	1 
1525:	2 
1526:	4 
1527:	4 
1528:	4 
1529:	4 
153:	1 
1530:	6 
1531:	2 2 
1533:	2 
1534:	2 2 
1535:	2 
1536:	2 
1537:	7 
1538:	3 
154:	1 
1541:	3 
1542:	3 
1543:	3 1 1 1 
1544:	4 
1545:	2 
1546:	2 3 1 
1547:	4 1 
1548:	2 1 
1549:	3 
155:	1 
1550:	1 
1551:	2 1 
1552:	1 1 
1553:	2 
1554:	1 
1555:	5 1 
1556:	2 
1557:	3 
1559:	1 
156:	4 
1560:	6 
1561:	1 1 1 3 
1562:	2 
1563:	2 
1564:	6 
1567:	4 
1568:	1 2 1 
1569:	2 
157:	2 
1570:	1 
1571:	3 
1572:	3 
1573:	1 1 3 
1575:	1 2 
1576:	2 
1577:	4 1 
1578:	2 2 
1579:	2 1 
158:	4 
1581:	1 
1582:	4 
1583:	1 
1584:	6 
1585:	1 1 1 3 
1586:	1 
1587:	1 
1588:	5 
1589:	4 
159:	6 
1590:	2 
1591:	1 
1592:	3 
1593:	3 
1594:	2 
1595:	5 
1596:	3 
1597:	1 4 
1598:	2 2 
1599:	1 2 
16:	2 
160:	2 
1600:	2 
1601:	3 
1602:	6 
1603:	2 
1604:	1 
1605:	1 2 
1606:	3 
1607:	2 
1609:	2 
161:	2 
1610:	3 
1611:	5 
1612:	4 2 
1613:	1 
1614:	1 
1615:	4 2 1 2 
1616:	4 
1617:	5 
1618:	4 
1619:	8 
1620:	1 1 1 
1621:	4 
1622:	2 1 1 
1623:	3 2 
1624:	1 2 
1625:	1 
1626:	2 
1627:	2 
1628:	2 
1629:	2 
1630:	3 
1631:	1 
1632:	2 
1633:	2 1 
1634:	3 2 
1635:	2 1 
1636:	2 
1637:	2 2 
1638:	3 
1639:	3 
164:	3 
1640:	1 
1641:	3 3 
1642:	2 
1643:	2 2 
1644:	2 
1645:	2 
1646:	2 
1647:	2 1 
1648:	1 
1649:	4 
165:	2 
1650:	7 
1651:	2 
1652:	3 2 
1653:	1 2 
1654:	4 1 
1655:	5 1 
1656:	3 
1657:	2 
1658:	6 
1659:	1 5 
166:	1 
1660:	2 
1661:	4 
1662:	1 
1663:	1 1 
1664:	1 
1665:	1 
1666:	4 
1667:	1 
1668:	1 1 
1669:	2 1 5 
167:	1 
1670:	2 2 
1673:	2 
1674:	2 3 
1675:	4 
1676:	4 
1677:	1 
1678:	1 1 
1679:	1 6 
168:	3 
1680:	5 
1681:	2 1 3 2 
1682:	3 1 1 
1683:	5 
1684:	3 
1685:	3 
1686:	1 
1687:	2 
1688:	2 
1689:	2 
169:	2 
1690:	2 
1691:	3 
1692:	2 
1693:	2 
1694:	3 
1695:	2 
1696:	1 
1697:	3 
1698:	1 
1699:	3 
17:	2 
1700:	1 
1701:	3 
1702:	4 
1703:	5 
1704:	2 
1705:	4 2 
1706:	2 
1707:	2 
1708:	3 
1709:	1 
171:	3 
1710:	1 
1711:	1 1 
1712:	1 1 
1714:	3 
1716:	2 1 
1717:	3 4 
1718:	1 1 
1719:	3 1 
172:	2 1 
1720:	3 
1721:	3 
1722:	2 
1723:	3 
1724:	4 
1725:	3 
1726:	2 
1727:	3 
1728:	1 1 1 
1729:	2 
1730:	3 
1731:	2 
1732:	2 
1733:	3 3 
1734:	1 
1735:	2 1 
1736:	3 1 
1737:	2 
1738:	2 
1739:	2 
174:	7 2 2 
1740:	3 
1741:	3 1 
1742:	1 
1743:	2 
1744:	2 
1745:	3 
1746:	5 
1747:	1 
1748:	2 
1749:	1 1 1 
1750:	3 
1751:	1 
1752:	2 
1753:	3 
1754:	3 
1755:	1 
1757:	1 
1758:	4 
1759:	2 
176:	3 
1760:	1 
1761:	3 
1762:	5 
1763:	3 2 
1764:	4 
1765:	4 
1766:	2 
1767:	3 
1768:	5 1 
1769:	2 
177:	2 
1770:	1 
1771:	3 1 
1772:	3 1 2 2 
1773:	2 3 
1774:	6 
1775:	2 
1776:	4 
1777:	2 
1778:	1 1 
1779:	1 
178:	3 
1780:	2 
1781:	2 
1782:	1 3 1 
1783:	3 
1784:	4 
1785:	2 
1786:	2 
1787:	4 
1788:	4 2 
1789:	1 
179:	4 
1790:	1 2 
1791:	2 
1792:	2 
1793:	3 
1794:	1 5 
1795:	4 
1796:	2 
1797:	6 
1798:	2 
180:	2 
1801:	5 
1802:	3 
1803:	1 
1804:	1 
1805:	2 
1806:	3 
1807:	2 
1808:	4 
1809:	1 
181:	3 1 
1810:	2 
1811:	1 
1812:	4 
1813:	2 
1814:	2 
1815:	3 
1816:	3 
1818:	2 
1819:	2 
182:	2 
1820:	2 
1821:	2 1 
1822:	5 
1823:	4 
1824:	2 
1825:	3 
1827:	2 
1828:	4 
1829:	2 
183:	1 
1830:	4 
1831:	2 2 
1832:	2 
1833:	2 1 
1834:	1 
1835:	3 
1836:	1 
1837:	1 1 
1838:	1 
1839:	2 
184:	1 
1840:	2 
1841:	2 
1842:	2 
1844:	1 
1845:	4 
1846:	4 4 
1847:	5 
1848:	1 
1849:	2 
185:	5 2 
1850:	2 
1851:	3 
1852:	4 
1854:	4 
1855:	5 
1856:	3 
1857:	3 1 1 
1859:	2 2 
186:	1 
1860:	3 
1861:	2 1 1 
1862:	4 
1863:	3 1 1 1 
