=== non-contiguous nft : chains ===
Found 968 chain interruption in 8014 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 
10:	2 
100:	1 
1000:	1 
1001:	1 
1002:	3 
1003:	3 
1004:	1 
1005:	2 
1006:	1 
1007:	1 
1009:	2 
101:	1 
1012:	1 
1013:	1 
1014:	1 1 
1015:	2 
1016:	1 
1017:	2 
1018:	1 
1019:	2 
1020:	3 
1021:	7 
1022:	1 1 
1023:	3 
1024:	1 
1025:	1 
1026:	2 
1027:	1 
1028:	1 3 3 
103:	5 
1030:	1 
1032:	2 
1033:	1 
1034:	1 
1036:	1 
1037:	4 
1038:	2 
1039:	2 
1040:	3 
1041:	1 3 
1042:	4 
1043:	1 
1044:	2 
1045:	3 
1046:	3 
1047:	2 1 
1049:	2 
105:	3 
1050:	1 
1051:	4 
1052:	1 
1053:	3 
1054:	1 4 
1055:	3 
1056:	1 
1057:	3 2 1 
1058:	1 
1059:	1 
106:	3 
1060:	1 
1061:	2 
1063:	3 
1064:	3 
1066:	1 
1067:	2 
1068:	1 
1069:	3 2 
107:	1 
1070:	1 
1071:	3 
1072:	3 
1073:	4 
1074:	2 
1076:	6 
1077:	1 
1078:	1 
1079:	1 
108:	2 
1080:	2 
1081:	1 1 
1082:	1 
1083:	1 
1084:	1 
1085:	1 
1087:	2 1 
1088:	2 
1089:	1 
109:	2 
1090:	1 
1091:	1 
1092:	3 
1093:	2 
1094:	2 
1095:	1 1 
1096:	1 
1097:	2 
1098:	3 
1099:	2 
11:	1 
110:	1 
1101:	3 
1103:	2 
1104:	1 
1105:	3 
1106:	1 
1107:	4 
1108:	1 
1109:	2 
1110:	5 
1112:	2 
1113:	1 
1115:	2 
1116:	1 
1117:	1 
112:	4 
1120:	1 
1121:	2 
1122:	2 
1123:	2 
1124:	1 
1125:	2 
1126:	3 
1128:	2 
113:	2 
1130:	5 
1131:	1 
1133:	2 
1134:	2 
1135:	1 2 2 
1136:	5 
1137:	1 
1138:	3 
1139:	1 
114:	2 
1140:	2 
1141:	3 
1142:	1 
1143:	1 
1144:	1 
1145:	3 1 
1146:	1 
1147:	2 
1148:	1 
1149:	2 
115:	3 
1150:	1 
1151:	1 
1152:	3 
1153:	1 
1154:	1 1 
1155:	2 
1156:	4 
1157:	1 
1158:	4 
1159:	1 1 
1160:	4 
1161:	3 
1162:	2 
1163:	1 
1165:	1 
1167:	3 
1168:	3 
1169:	1 
1170:	1 
1171:	2 
1172:	2 
1173:	3 
1174:	3 
1178:	4 
1179:	2 
118:	1 
1180:	3 1 
1183:	1 
1184:	1 
1185:	2 
1186:	1 
1187:	2 2 
1190:	1 
1191:	3 
1192:	4 
1193:	1 
1194:	1 
1196:	1 
1197:	1 
1198:	1 
1199:	4 
12:	1 
120:	1 
1200:	2 
1201:	1 
1202:	1 
