=== non-contiguous nft : chains ===
Found 5620 chain interruption in 8659 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	2 
10:	1 1 1 1 1 
100:	2 2 
1000:	2 
1001:	1 2 
1002:	2 1 
1003:	6 
1004:	1 
1005:	5 
1006:	1 
1007:	1 
1008:	1 
1009:	2 
101:	1 
1010:	2 3 3 
1011:	2 1 
1015:	2 
1016:	5 3 2 
1017:	1 
1018:	2 
1019:	8 1 1 2 
102:	1 1 4 
1020:	4 
1021:	2 
1022:	4 1 
1024:	1 
1025:	4 1 
1026:	1 
1027:	2 
1028:	7 
1029:	2 
103:	1 1 
1030:	3 
1031:	2 
1033:	2 
1041:	4 2 1 
1042:	4 1 3 
1043:	4 5 
1044:	2 
1045:	2 
1047:	2 
1048:	3 
1049:	3 
1051:	1 
1052:	3 
1053:	1 3 
1054:	1 3 
1055:	2 1 3 
1057:	1 1 
1058:	3 
1059:	3 
1061:	2 
1062:	1 1 3 
1063:	3 1 1 2 
1064:	2 2 
1065:	2 
1066:	3 
1067:	1 2 
1068:	1 1 
1069:	2 2 3 
1070:	10 1 
1071:	5 3 
1072:	7 
1073:	3 
1074:	3 
1075:	1 2 2 
1077:	1 1 3 2 
1078:	2 3 
1079:	3 
1080:	1 4 
1081:	1 
1082:	1 
1083:	2 
1084:	2 
1085:	5 
1086:	5 
1087:	3 
1088:	1 
1089:	1 2 2 
1090:	1 3 
1091:	3 2 
1092:	4 
1093:	7 2 5 
1094:	2 
1095:	3 
1096:	7 
1097:	2 
1098:	3 1 
1099:	1 3 1 
11:	4 
110:	5 
1100:	3 
1101:	3 
1102:	3 1 
1103:	2 
1104:	1 
1105:	1 
1106:	1 1 
1107:	2 2 2 
1109:	3 
111:	1 
1110:	3 2 
1111:	3 
1113:	2 3 
1114:	2 2 
1115:	3 
1116:	2 
1117:	2 2 
1118:	1 
1119:	1 2 
112:	4 
1120:	1 
1121:	3 
1122:	1 
1123:	1 2 
1124:	1 1 4 
1125:	2 3 1 
1126:	3 
1127:	6 
1128:	3 
1129:	6 
1130:	7 
1131:	3 1 3 
1132:	2 1 2 2 
1133:	1 
1134:	2 
1135:	3 
1136:	4 
1137:	2 1 
1138:	5 
1139:	1 1 
114:	1 
1140:	6 
1141:	3 4 3 
1142:	3 1 
1143:	3 
1146:	2 
1147:	2 
1148:	2 
1149:	3 3 
115:	1 
1150:	1 1 
1151:	2 2 
1152:	4 2 2 
1153:	1 
1154:	5 
1155:	4 
1156:	6 
1157:	1 
1158:	2 
1159:	2 5 
116:	1 
1160:	4 2 1 2 
1161:	1 
1162:	1 
1166:	1 
1167:	2 1 1 2 
117:	1 1 
1171:	4 
1172:	1 2 
1173:	1 
1174:	5 
1177:	4 
1178:	2 
1179:	2 
118:	2 2 2 
1180:	1 2 
1181:	1 1 1 1 
1182:	2 1 
1183:	1 2 
1184:	3 
1185:	2 
1188:	2 
1189:	2 
119:	1 
1190:	4 
1191:	3 
1192:	4 1 
1193:	1 
1194:	2 
1195:	4 1 1 
1196:	1 
1197:	6 
1198:	3 2 1 1 
1199:	4 
12:	1 2 
120:	2 
1200:	5 
1201:	4 2 
1202:	3 
1203:	2 
1204:	2 
1206:	3 
1207:	3 1 
1208:	3 
1209:	1 7 1 
121:	1 
1210:	1 
1211:	4 1 2 1 2 
1212:	2 
1213:	2 
1214:	3 
1215:	1 
1217:	2 1 1 3 
1218:	2 
1219:	1 
122:	3 
1220:	1 
1221:	5 
1222:	3 
1223:	3 
1224:	3 2 
1225:	2 1 
1226:	1 3 
1227:	2 
