=== non-contiguous nft : chains ===
Found 1184 chain interruption in 9304 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
10001:	1 
10002:	1 
10005:	2 
10006:	2 
10007:	2 
10008:	1 
1001:	1 
10013:	4 1 
10014:	1 
10015:	1 
10016:	2 
10017:	2 
10018:	2 2 
10019:	2 1 
1002:	2 
10020:	1 
10021:	1 
10022:	3 
10023:	1 
10024:	1 
10033:	1 
10034:	1 
10035:	2 
10036:	2 
10038:	1 
10040:	1 
10045:	1 
10047:	1 
10053:	1 
10056:	1 
10062:	1 
10063:	1 
10064:	1 
10065:	2 
10066:	2 
10067:	2 
10068:	2 
1008:	1 
10085:	2 
10086:	1 1 
10087:	1 1 
10088:	1 
1009:	1 
10095:	1 1 
101:	2 
1010:	1 1 
10101:	3 
10102:	2 
10103:	1 
1011:	1 1 
10118:	1 
10125:	1 
10126:	2 
10127:	1 
10128:	1 
10141:	1 
10142:	1 1 1 
10152:	1 
1016:	1 1 
10161:	1 
10162:	1 
10163:	1 1 
10164:	1 
10165:	1 
10166:	1 
10167:	1 
10168:	1 
1018:	1 1 
10185:	1 
10186:	1 
10188:	2 
1019:	1 
10193:	2 
10194:	2 
10195:	2 1 
10196:	2 
10197:	1 
10198:	1 
10199:	1 
102:	1 
1020:	2 
10200:	1 
10201:	1 
10204:	1 
10205:	1 
10206:	1 
10207:	1 
10208:	1 
1021:	1 
10219:	1 
1022:	2 1 
10220:	1 
1023:	1 
10249:	1 1 
10250:	1 
10251:	2 
10252:	1 1 
10253:	4 
10254:	1 
10255:	1 
10256:	1 
10270:	4 
10271:	1 
10272:	1 
103:	2 
10311:	1 
10312:	1 
10317:	1 1 
10318:	1 1 
10319:	1 
10320:	1 1 
10345:	2 1 
10346:	2 
10348:	2 
10353:	1 
10354:	1 
10355:	1 1 
10356:	2 1 
10366:	1 
10376:	1 1 
10377:	1 
10378:	1 
10380:	2 1 2 
1039:	1 
10390:	1 
