=== non-contiguous nft : chains ===
Found 259 chain interruption in 6200 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1001:	1 
1003:	1 
1007:	1 
1009:	1 1 
1016:	1 
1017:	1 
1018:	1 
102:	1 
1024:	2 
1027:	1 
103:	1 
1031:	2 
1034:	1 2 
1040:	2 
1041:	1 
1042:	1 
1043:	1 
1045:	1 
1046:	1 
1047:	1 
1048:	1 
1049:	2 
106:	1 
1066:	1 
1071:	1 
1076:	1 
1077:	1 
1082:	1 
1085:	1 
1087:	1 
1089:	1 
1094:	1 
1097:	1 
110:	1 
1100:	1 
1103:	1 
1106:	1 
1107:	2 
1108:	1 
1109:	1 
111:	1 
1111:	1 
1113:	1 
1114:	1 
1118:	1 
1120:	1 
1121:	1 
1122:	2 
1125:	1 1 
1126:	2 
1129:	1 
1130:	2 
1132:	1 
1133:	1 
1137:	1 
1139:	1 
1140:	1 
1143:	1 
1145:	2 
1146:	1 1 
115:	2 1 
1153:	1 
1157:	1 
1158:	2 
116:	3 
1168:	1 
117:	1 
1171:	1 
1172:	2 
1173:	1 
1174:	3 
1175:	1 
1177:	1 
118:	2 
1182:	2 
1184:	2 
1186:	1 
1187:	1 
1188:	1 
1189:	1 
119:	1 
1194:	1 
1200:	1 
1203:	1 
1209:	1 
1214:	3 
1215:	1 
1217:	1 
1219:	1 1 
122:	2 
1222:	1 
1227:	2 
1229:	2 
1233:	1 
1240:	1 
1243:	1 
1246:	1 
1247:	1 
1248:	1 
1249:	1 
1250:	1 
1251:	1 
1258:	2 
126:	1 
1262:	1 1 
1265:	1 
1267:	1 
127:	3 
1270:	2 
1271:	2 
1274:	1 
1278:	1 
128:	1 
1283:	1 
1284:	2 
1288:	1 
1289:	1 
1290:	1 
1298:	2 
1299:	1 
13:	1 
130:	2 
1300:	1 
1306:	1 
1307:	2 
1308:	1 
1309:	1 
1313:	1 
132:	2 
1321:	2 
1327:	1 
1328:	1 
133:	1 
