=== non-contiguous nft : chains ===
Found 5525 chain interruption in 126609 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	2 
100002:	1 
100003:	1 
100004:	3 
100005:	1 
100006:	2 
100007:	1 
100008:	1 
100015:	1 
100016:	1 
100022:	1 
100023:	1 
100024:	1 
100027:	1 
100028:	1 
100029:	1 
100030:	1 
100031:	1 
100033:	1 
100034:	1 
100035:	1 
100037:	1 
100038:	1 
100039:	1 
100040:	1 
100042:	1 
100043:	1 
100044:	1 1 
100045:	1 
100046:	1 
100047:	1 
100048:	1 
100049:	1 
10005:	1 
100050:	1 
100051:	1 
100052:	1 
100053:	1 
100054:	1 
100055:	2 
100057:	1 
100058:	1 
100059:	1 
100060:	1 
100067:	1 
100068:	1 
100069:	2 
100071:	1 
100072:	1 
100073:	1 
100074:	1 
100076:	1 
100078:	1 
100079:	1 
100081:	1 
100082:	1 
100083:	1 
100084:	1 
100085:	1 
100090:	1 
100095:	1 
100099:	2 
1001:	1 
10010:	2 
100102:	1 
100103:	1 
100104:	1 
100106:	2 
100107:	1 
100109:	1 
10011:	1 
100110:	2 
100111:	1 
100113:	1 
100116:	1 
100118:	1 
100119:	1 
10012:	1 
100120:	1 
100121:	1 
100122:	1 
100123:	1 
100125:	1 
100126:	1 
100128:	1 
100129:	1 
100130:	1 
100131:	1 
100132:	1 
100133:	1 
100134:	1 
100135:	1 
100136:	1 
100141:	1 
100143:	1 
100144:	1 1 
100145:	2 
100147:	2 
100148:	1 
10015:	1 
100150:	1 
100155:	1 
100158:	1 
100160:	1 
100161:	1 
100162:	1 
100163:	1 
100165:	1 
100166:	1 
100167:	2 
100168:	1 
100170:	1 
100171:	1 
100172:	1 
100173:	1 
100174:	1 
100175:	1 
100176:	1 
100177:	1 
100178:	1 
100179:	1 
10018:	1 
100181:	1 
100182:	1 
100183:	1 
100184:	1 
100185:	1 
100186:	2 
100187:	1 
100188:	1 
10019:	1 1 
100190:	1 
100191:	1 
100192:	1 
100193:	1 
100194:	1 
100195:	1 
100197:	1 
100198:	1 
100199:	1 
1002:	1 
10020:	2 
100200:	1 
100201:	1 
100203:	1 
100204:	3 
100205:	1 
100206:	1 
100207:	1 
10021:	2 
100210:	3 
100211:	1 
100212:	1 
100214:	1 
100216:	1 
100217:	1 
100219:	1 
10022:	2 
100221:	1 
100222:	1 
100223:	1 
100225:	1 
100226:	1 
100227:	3 
100228:	1 
100229:	1 
10023:	2 1 
100231:	1 
100232:	2 
100233:	2 
100234:	1 
100236:	1 
100238:	1 
100239:	1 
100240:	1 
100241:	1 
100242:	2 
100243:	1 
100244:	1 
100245:	1 
100246:	2 
100247:	2 
100248:	3 
100249:	2 
100250:	1 
100252:	1 
100253:	1 
100254:	1 
100255:	1 
100256:	1 
100257:	2 
100258:	1 
100260:	1 
100261:	2 
100270:	1 
100272:	1 
100273:	1 
100275:	1 
100276:	1 
100278:	1 
100279:	1 
100281:	4 
100282:	1 
100283:	2 
100284:	1 
100285:	2 
100286:	1 
100287:	1 
100290:	1 
100291:	1 
100292:	1 
100293:	1 
100294:	1 
100298:	2 
100299:	2 
1003:	2 
100300:	2 
100302:	1 
100303:	1 
100304:	1 
100306:	1 
100308:	1 
100312:	1 
100314:	1 
100315:	1 
100319:	1 
100320:	1 
100321:	1 
100322:	1 
100323:	1 
100324:	1 
100325:	2 
100326:	2 
100327:	1 
100328:	1 
10033:	2 1 
100330:	1 
100331:	1 
100332:	1 
100333:	3 
100334:	1 
100336:	1 
100337:	1 
100339:	2 
100340:	1 
100341:	1 
100342:	1 
100343:	1 
100344:	1 
100345:	1 
100348:	1 
100349:	2 
100350:	1 
100351:	1 
100352:	1 
100353:	1 
100354:	1 
100355:	1 
100357:	1 
100359:	1 
100360:	1 1 
100361:	1 
100362:	1 
100364:	2 
100366:	2 
100367:	1 
100369:	2 
10037:	2 
100372:	1 
100373:	2 
100375:	2 
100377:	2 
100378:	1 
100379:	1 
100380:	2 
100381:	2 
100382:	2 
100383:	1 
100384:	1 
100385:	1 
100388:	1 
100389:	2 
100390:	1 
100391:	1 
100392:	1 
100393:	1 
100394:	1 
100395:	1 
100396:	1 
100397:	1 
100398:	1 
1004:	1 
10040:	1 
100400:	3 
100401:	1 
100402:	1 
100403:	3 
100404:	1 
100405:	2 
100406:	1 
100407:	1 
100409:	1 
100410:	1 
100411:	3 
100412:	1 
100413:	2 
100414:	2 
100417:	1 
100418:	2 
100420:	1 
100421:	1 
100422:	1 
100424:	1 
100425:	1 
100426:	1 
100427:	1 
100428:	1 
100429:	1 
100431:	1 
100432:	1 
100433:	1 
100434:	1 
100435:	1 
100437:	1 
100438:	2 
100439:	1 
100440:	1 
100441:	2 
100442:	1 
100444:	1 
100446:	1 
100448:	1 
100449:	1 
100450:	1 
100453:	1 
100455:	1 
100457:	1 
100458:	1 
100459:	1 
10046:	1 
100460:	1 
100461:	1 
100462:	1 
100463:	1 
100464:	1 
100465:	2 
100466:	1 
100467:	1 2 
100468:	1 1 
100469:	1 
100475:	1 
100477:	1 
100478:	1 
100481:	1 
100482:	1 
100483:	1 
100484:	1 
100485:	5 
100486:	1 
100487:	1 
100488:	3 
100489:	1 
10049:	1 1 
100490:	1 
100491:	1 
100492:	1 
100493:	1 
100494:	1 
100496:	1 
100497:	1 
100498:	1 
100499:	1 
1005:	1 
10050:	2 
100500:	1 
100501:	1 
100502:	1 
100503:	1 
100504:	1 
100505:	1 
100506:	1 
100507:	1 
100508:	1 
100509:	1 
10051:	4 
100510:	2 
100511:	1 
100512:	1 
100514:	1 
100515:	1 
100516:	1 
100518:	3 
100519:	1 
100520:	1 
100521:	1 
100522:	1 
100523:	2 
100524:	1 
100525:	1 
100526:	1 
100527:	1 
100528:	1 
100529:	1 
100530:	2 
100531:	1 
100532:	1 
100533:	1 
100534:	1 
100535:	1 
100537:	1 
100538:	1 
100539:	1 
100540:	1 
100541:	1 
100542:	1 
100544:	1 
100545:	3 
100546:	1 
100547:	2 
100548:	1 
100549:	2 
100550:	1 
100551:	1 
100552:	1 
100553:	1 
100554:	1 
100555:	1 
100556:	1 
100557:	1 
100558:	1 
100559:	1 
100560:	1 
100561:	1 
100562:	1 
100563:	1 
100564:	1 
100565:	1 
100566:	1 
100567:	1 
100569:	1 
100570:	2 
100571:	2 
100572:	1 
100573:	1 
100574:	2 
100576:	1 
100577:	1 
100578:	1 
100579:	1 
100580:	2 
100583:	1 
100585:	1 
100586:	2 
100587:	1 
100588:	1 1 
100589:	1 
10059:	1 
100590:	1 
100591:	3 
100592:	1 
100594:	1 
100595:	1 
100596:	1 
100597:	1 
100598:	1 
100600:	1 
100601:	2 
100602:	1 
100603:	1 
100604:	2 
100605:	1 
100606:	1 
100607:	1 
100608:	1 
100609:	2 
100610:	1 
100611:	1 
100612:	1 
100613:	1 
100614:	1 1 
100615:	1 
100617:	2 
100618:	1 
100620:	1 
100621:	1 
100623:	1 
100624:	2 
100625:	1 
100626:	1 
100627:	3 
100628:	3 
100629:	2 
10063:	1 2 
100630:	1 
100631:	1 
100632:	1 
100633:	1 
100634:	2 
100635:	1 
100636:	1 
100637:	1 
100638:	1 
100639:	1 
10064:	1 
100641:	1 
100643:	1 
100644:	1 
100645:	1 
100646:	1 
100647:	1 
100649:	1 
100651:	2 
100652:	2 
100653:	1 
100654:	1 
100655:	1 
100656:	3 
100657:	1 
100658:	1 
100659:	2 
10066:	1 
100660:	2 
100661:	1 
